Swabian	Saterland Frisian	probability
a	ə	0.625
a	j_ə	0.199
a	-	0.091
a	ə_n	0.044
a	ˈoː	0.041
b	b	0.657
b	-	0.131
b	v	0.082
b	x	0.047
b	ɣ	0.047
b̥	p	0.508
b̥͡f	p	1.0
d	d	0.591
d	t	0.343
d	-	0.066
d_ʌ	r	1.0
e	ɫ	0.425
e	ə	0.248
e	-	0.145
f	f	0.708
f	p	0.168
f	x	0.041
f	-	0.041
f	v	0.04
h	h	1.0
i	ɪ	0.258
j	j	1.0
k	k	1.0
kʰ	k	0.633
kʰ	s	0.229
kʰ	-	0.089
l	l	0.939
m	m	0.928
m	w	0.06
m	-	0.038
n	n	0.788
n	n_ə	0.083
n	-	0.074
n	ə_n	0.042
p͡f	p	0.195
p͡f	d	0.195
s	s	0.555
s	t	0.291
s	z	0.104
s	t_ə	0.044
t	d	0.699
t	n	0.157
x	x	0.751
x	k	0.243
ç	x	0.334
ç	k_ə	0.224
ç	k	0.224
ŋ	ŋ	1.0
ɐ	ə	0.508
ə	ə	0.508
ɡ	ɣ	0.416
ɡ	-	0.156
ɡ	x	0.124
ɡ	k	0.097
ɡ	j	0.092
ɪ	ə	0.385
ɪ	ɪ	0.099
ʁ	r	0.811
ʁ	r_j	0.091
ʁ	z	0.052
ʁ	-	0.048
ʃ	s	0.561
ʃ	s_k	0.433
ʋ	v	0.966
ʋ	-	0.046
ʌ	ə_r	0.699
ʌ	r	0.277
ʌ	-	0.042
ʕ	r	0.672
ʕ	d_ə	0.131
ʕ	ə_r	0.086
ʕ	-	0.071
ʕ	r_ə	0.05
ʕ_d	d	1.0
ʕ_ʦ	t	1.0
ʦ	t	1.0
ˈa	ˈɔː	0.309
ˈa	ˈoː	0.155
ˈa	ˈaː	0.08
ˈa	ˈɔ	0.08
ˈa	ˈɛː	0.07
ˈae̯	ˈuː	0.366
ˈae̯	ˈɛɪ̯	0.271
ˈae̯	ˈeː	0.138
ˈae̯	ˈyː	0.104
ˈae̯	ˈɛ	0.06
ˈao̯	ˈuː	0.347
ˈao̯	ˈoː	0.331
ˈao̯	ˈaːu̯	0.107
ˈao̯	ˈu	0.107
ˈao̯	ˈɛɪ̯	0.084
ˈaː	ˈaːi̯	0.251
ˈaː	ˈɔː	0.218
ˈaː	ˈoːu̯	0.19
ˈaː	ˈɛ	0.125
ˈaː	ˈoː	0.097
ˈe	ˈɪ	0.633
ˈe	ˈeː	0.168
ˈe	ˈaː	0.117
ˈe	ˈɛ	0.062
ˈeə̯	j	0.45
ˈeə̯	ˈeː	0.229
ˈeə̯	ˈɛɪ̯	0.133
ˈeː	ˈeː	0.503
ˈeː	ˈiː	0.168
ˈeː	j	0.122
ˈeː	ˈœː	0.085
ˈeː	ˈi	0.085
ˈi	ˈɪ	0.306
ˈi	ˈiː	0.182
ˈi	ˈʊ	0.138
ˈi	ˈi	0.113
ˈi	ˈaːu̯	0.091
ˈiə̯	ˈɛɪ̯	0.66
ˈiə̯	j	0.322
ˈiː	ˈoː	0.574
ˈiː	ˈɛɪ̯	0.168
ˈiː	ˈiː	0.168
ˈo	ˈʊ	0.453
ˈo	ˈoːu̯	0.333
ˈo	ˈuː	0.133
ˈo	ˈɔ	0.072
ˈoː	ˈoː	0.56
ˈoː	ˈuː	0.288
ˈoː	ˈɛɪ̯	0.13
ˈu	ˈɛː	0.437
ˈu	ˈɔː	0.219
ˈu	ˈʊ	0.147
ˈu	ˈuː	0.147
ˈuə̯	ˈoːu̯	0.616
ˈuə̯	ˈu	0.203
ˈuə̯	ˈuː	0.142
ˈuː	ˈuː	0.225
ˈuː	ˈoːu̯	0.114
ˈɔ	ˈoːu̯	0.326
ˈɔ	ˈɔ	0.257
ˈɔ	ˈuː	0.151
ˈɔ	ˈaːu̯	0.091
ˈɔe̯	ˈeː	0.312
ˈɔe̯	ˈeː_n	0.155
ˈɔe̯	ˈaː	0.141
ˈɔe̯	ˈɛɪ̯	0.141
ˈɔe̯	ˈɔːɪ̯	0.102
ˈɔə̯	ˈoːu̯	1.0
ˈɔː	ˈiː	0.301
ˈɔː	ˈoː	0.228
ˈɔː	ˈɛ	0.173
ˈɔː	ˈɔː	0.126
ˈɔː	ˈɔ	0.064
ˈəi̯	ˈi	0.405
ˈəi̯	ˈiː	0.262
ˈəi̯	ˈuː	0.165
ˈəi̯	ˈɪ	0.076
ˈəi̯	ˈɛɪ̯	0.051
ˈɛ	ˈa	0.191
ˈɛ	ˈɛɪ̯	0.191
ˈɛ	ˈiː	0.191
ˈɛ	ˈʊ	0.145
ˈɛ	ˈeː	0.076
ˈɛː	ˈoː	0.173
ˈɛː	ˈeːu̯	0.173
ˈɛː	ˈaːi̯	0.173
ˈɛː	ˈɔː	0.16
ˈɛː	ˈiːu̯	0.126
ˈɪ	ˈɪ	0.367
ˈɪ	ˈʊ	0.242
ˈɪ	ˈɔ	0.242
ˈɪ	ˈiː	0.103
ˈʌ	ˈiː	0.335
ˈʌ	ˈɛː	0.17
