Czech	Lower Sorbian	probability
a	a	1.0
b	b	1.0
c	ɕ	1.0
f	-	1.0
j	j	1.0
m̩	ɨ_m	1.0
o	ɔ	1.0
r̝	rʲ	1.0
r̝̊	-	1.0
s	s	1.0
z	z	1.0
ɟ	ʑ	1.0
ɪ	i	1.0
ɲ	ɲ	1.0
ʃ	ʂ	1.0
ʒ	ʐ	1.0
ʦ	ʦ	1.0
ʧ	ʦ	1.0
ˈl̩	w	1.0
ˈou̯	ˈu	1.0
ˈu	ˈu	1.0
ˈɛː	ˈɪ	1.0
k	kʲ	0.101
x	x	0.531
ˈa	ˈɪ	0.11
ˈa	ˈɔ	0.331
ˈɛ	ˈa	0.261
n	n	0.792
p	p	0.472
t	ɕ	0.482
ˈaː	ˈa	0.52
ˈo	ˈɛ	0.512
ˈr̩	ˈa_r	0.122
ˈɪ	ˈɨ	0.462
iː	ɨ	0.803
l	l	0.503
v	v	0.623
m	mʲ	0.384
r	-	0.054
ɛ	ɛ	0.384
ˈuː	ˈɔ	0.784
d	ʑ	0.265
d	d	0.735
l	-	0.05
t	t	0.475
ˈiː	ˈi	0.185
ˈiː	ˈɨ	0.25
ˈiː	ˈɪ	0.565
m	m	0.616
r	r	0.946
ɛ	e	0.456
ɦ	ɡ	0.846
ˈa	ˈa	0.56
ˈuː	ˈɛ	0.216
iː	i	0.197
l	w	0.447
v	vʲ	0.377
ɦ	k	0.057
ɦ	-	0.097
ˈɛ	ˈɛ	0.057
ˈɛ	ˈɔ	0.137
ˈɛ	ˈɪ	0.297
n	ɲ	0.208
p	pʲ	0.528
ˈaː	ˈɔ	0.48
ˈo	ˈɔ	0.488
ˈr̩	r	0.878
ˈɪ	ˈi	0.538
k	k	0.899
x	k	0.469
ɛ	ɔ	0.119
ˈɛ	ˈe	0.249
