Proto-Balto-Slavic	Standard Croatian	probability
́ˀ	̂	1.0
́_ŋ	̌	1.0
ʃ	x	1.0
ɛ	e	1.0
ŋ	-	1.0
zʲ	z	1.0
z	z	1.0
w	ʋ	1.0
uː	i	1.0
sʲ	s	1.0
n_t	t	1.0
n_s	s	1.0
n_i	ɲ	1.0
m_t	t	1.0
m	m	1.0
k_a	k	1.0
j	-	1.0
i_́	u	1.0
i_r	r̩ː	1.0
ei̯	i	1.0
d	d	1.0
b	b	1.0
aː_́ˀ	a	1.0
a_s	a	1.0
a_l	l_aː	1.0
aː	a	0.906
t	t	0.846
oː	a	0.797
r	r	0.785
u	-	0.744
l	l	0.696
p	p	0.686
ɡ	ɡ	0.679
au̯	uː	0.669
i	-	0.639
e	e	0.615
n	n	0.592
́	̂	0.588
s	-	0.554
eː	j	0.554
a_́	̂	0.517
a_́	oː_̂	0.483
s	s	0.446
eː	eː	0.446
k	k	0.438
ˀ	̂	0.385
ai̯	j_e	0.381
a	o	0.355
au̯	-	0.331
ai̯	j	0.323
p	-	0.314
a	uː	0.3
ai̯	j_eː	0.296
n	-	0.27
u	a	0.256
l	-	0.248
a	-	0.237
ˀ	̌	0.231
ˀ	-	0.231
r	-	0.215
k	ʧ	0.212
́	̌	0.206
oː	-	0.203
e	eː	0.195
i	r̩	0.191
i	eː	0.17
ɡ	-	0.169
k	ʦ	0.164
ˀ	a_̂	0.154
t	-	0.154
ɡ	ʒ	0.152
́	-	0.147
n	t	0.138
k	-	0.129
e	-	0.127
a	o_̂	0.108
aː	-	0.094
e	eː_̂	0.063
́	eː_̂	0.059
l	ʎ	0.056
k	ʃ	0.056
