Standard German	Old Frisian	probability
ˈʏ	ˈe	1.0
ˈʊ_n	ˈuː	1.0
ˈɛː	-	1.0
ˈɛ	ˈe	1.0
ˈiː_ɡ	ʣ	1.0
ˈa_n	ˈoː	1.0
ʁ_ˈaɪ̯	r	1.0
ɪ_ç	ə_x	1.0
ɪ	i	1.0
ɡ̊	x	1.0
ə_n	ə	1.0
ɐ_ʦ	r_t	1.0
ɐ_n	r_n	1.0
z_ˈɛ	s_ˈe	1.0
t_n	d_ə	1.0
s_t	s_t	1.0
p͡f	pː	1.0
n_d	n_d	1.0
kʰ	ʦ	1.0
j	j	1.0
h	h	1.0
f_n	p_ə	1.0
eː	iː	1.0
d̥	d	1.0
a	ə_θ	1.0
m	m	0.96
l	l	0.946
ə	ə	0.944
ˈɪ	ˈi	0.909
v	w	0.909
f	f	0.899
ʁ	r	0.862
ˈuː	ˈoː	0.832
s	t	0.824
ʦ	t	0.802
d	θ	0.786
z	s	0.766
ˈyː	ˈeː	0.719
ˈʊ	ˈu	0.705
ŋ	ŋ	0.7
b	b	0.698
ˈiː	ˈi̯aː	0.687
ɐ	r	0.651
n	n	0.627
ʃ	s_k	0.613
ˈɔʏ̯	ˈi̯uː	0.593
ˈɔ	ˈo	0.593
ˈøː	ˈɛː	0.562
t	d	0.561
ˈa	ˈa	0.528
ˈaʊ̯	ˈuː	0.505
x	x	0.5
x	k	0.5
ç	x	0.474
ˈoː	ˈaː	0.462
ˈaɪ̯	ˈɛː	0.46
ˈeː	ˈe	0.457
k	ɡː	0.441
ˈøː	-	0.438
ˈɔʏ̯	-	0.407
k	k	0.405
ɡ	ɣ	0.404
ʃ	s	0.387
ˈaɪ̯	ˈiː	0.365
ˈaʊ̯	ˈaː	0.359
ˈaː	ˈeː	0.346
ç	k_ə	0.329
t	t	0.32
ɡ	ɡ	0.316
ˈoː	ˈu	0.301
ŋ	ŋ_ɡ	0.3
ˈyː	ˈo	0.281
ɡ	j	0.279
ˈɔ	ˈu	0.269
ˈaː	ˈe	0.265
ˈeː	-	0.258
ˈa	ˈɔː	0.256
ˈoː	ˈɔː	0.237
z	z	0.234
b	v	0.23
ɐ	ə_r	0.227
d	ð	0.214
n	ə	0.212
ˈaː	-	0.211
ʦ	tː	0.198
ç	k	0.198
ˈiː	ˈeː	0.179
ˈaː	ˈa	0.177
ˈa	ˈe	0.174
ˈuː	ˈeː	0.168
ˈʊ	ˈo	0.167
k	-	0.154
ˈeː	ˈɛː	0.144
ˈeː	ˈeː	0.141
ˈɔ	-	0.138
ˈaʊ̯	-	0.137
ˈiː	-	0.134
ˈʊ	-	0.128
ɐ	r_ə	0.122
t	dː	0.119
s	t_ə	0.109
f	p	0.101
ˈɪ	ˈe	0.091
v	h_w	0.091
ˈaɪ̯	ˈaː	0.09
n	nː	0.086
ˈaɪ̯	ˈi	0.085
ʁ	h_r	0.085
b	bː	0.072
s	s	0.067
ə	e	0.056
ʁ	-	0.053
