Ukrainian	Latvian	probability
ˈ	-	1.0
ʧʲ	k	1.0
ʦ	-	1.0
ʤ	i_t	1.0
ʒ	ʣ	1.0
ʍ	l	1.0
ʋʲ	v	1.0
ʃʲ	ɛ_ʃ	1.0
ʃ	k	1.0
ɫ_ɔ	l	1.0
ɪ_ˈ	s	1.0
ɦʲ	ɡ	1.0
ɛ_ˈ	i	1.0
ɛ_r	j	1.0
ɔ_ˈ	æ	1.0
ɐ_ʦʲ	e	1.0
zʲ	z	1.0
x	s	1.0
w	v	1.0
tʲ	i	1.0
t_ɪ	t	1.0
t	t	1.0
sʲ	s	1.0
s	s	1.0
rʲ	r	1.0
r_ɔ	r	1.0
pʲ	-	1.0
p	p	1.0
nʲ	n	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
lʲ_i	l	1.0
k_ɔ	ʦ	1.0
i_ˈ	ɛː	1.0
e	-	1.0
b	b	1.0
a	-	1.0
ɫ	l	0.92
r	r	0.787
z	z	0.76
k	k	0.758
d	d	0.711
ʧ	-	0.673
ɦ	ɡ̊_s	0.643
ɦ_ɔ	ɡ_a	0.605
j	-	0.603
u	uɔ̯	0.556
lʲ	ʎ	0.534
ɐ	-	0.529
ʊ	uɔ̯	0.5
ʊ	-	0.5
ɛ	-	0.497
lʲ	l	0.466
ɪ	uː	0.454
ʋ	v_i	0.447
ɑ	ɛ	0.427
ʋ	v	0.407
j	s	0.397
ɦ_ɔ	ɡ	0.395
ɔ	-	0.367
ɦ	ɡ	0.357
i	-	0.354
ɑ	-	0.351
ɛ	ɛ	0.348
i	a	0.337
ʧ	ʧ	0.327
ɪ	iː	0.293
ɔ	i	0.273
ɪ	iɛ̯	0.253
k	s	0.242
z	z̥	0.24
ɐ	ɛ	0.236
ɐ	u	0.236
ɑ	a	0.222
u	au̯	0.222
u	-	0.222
r	r̩	0.213
d	-	0.201
i	iɛ̯	0.171
ɛ	æ	0.156
ɔ	s	0.156
ʋ	l	0.146
ɔ	a_p	0.129
i	aː	0.115
d	d̥	0.088
ɫ	l̩	0.08
ɔ	a	0.076
