Ladin	Latin	probability
b	b	1.0
o	ɔ	1.0
ŋ	ŋ	1.0
ɲ	n	1.0
ʦ	t	1.0
ʧ	k	1.0
ˈu	ˈuː	1.0
a	aː	0.071
d	d	0.531
j	ɛ	0.11
k	k	0.591
l	l	0.161
ˈe	r_ɛ	0.411
a	ãː	0.652
f	w	0.112
s	s	0.92
t	t_ʊ̃ː	0.272
ˈe	ˈɪ_ɡ	0.102
ˈe	ˈɪ	0.22
ˈi	ˈiː_r	0.082
ˈo	ˈʊ	0.42
e	ɛ_r	0.213
j	i	0.473
m	m	0.953
n	n_ɛ̃ː	0.083
t	t	0.513
ˈa	ˈa	0.603
k	kʷ	0.214
v	w	0.744
ɡ	k	0.254
l	lʲː	0.135
n	<#_h	0.085
r	r_ʊ̃ː	0.095
w	ɫ	0.105
ˈi	ˈiː	0.895
a	a	0.176
d	k	0.06
d	t	0.386
k	k_ʊ̃ː	0.196
l	lʲː_ʊ̃ː	0.166
n	n_ʊ̃ː	0.126
n	n	0.626
r	r_ɛ̃ː	0.086
ɡ	ɡ	0.746
ʃ	s	0.546
ˈe	ˈeː	0.226
ˈo	ˈoː	0.346
ˈɔ	ˈɔ	0.96
ˈɛ	ˈɛ	0.656
e	eː	0.067
e	ɪ	0.327
j	lʲ_i	0.417
r	r	0.687
t	t_ɛ̃ː	0.127
ʃ	s_k	0.087
ʃ	-	0.367
ʨ	k	0.867
ˈa	ˈaː	0.397
ˈo	ˈɔ	0.197
ˈɛ	ˈa	0.207
e	ɛ̃ː	0.088
f	f	0.888
t	tː	0.088
v	b	0.058
v	p	0.198
ʒ	ɡ	0.958
ˈɛ	ˈaː	0.138
e	ɛ	0.269
l	ʊ_ɫ	0.089
l	ɫ	0.409
p	p	0.99
w	-	0.379
w	ˈau̯	0.479
ʨ	kʷ	0.119
