Slovenian	Macedonian	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_x	<#	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʋ	<#_v	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʦ	<#_ʦ	1.0
<#_ʧ	<#	1.0
a_#>	a	1.0
àː	ˈa	1.0
àː_l	ˈa_ɫ	1.0
áː	ˈa	1.0
b	b	1.0
d	d	1.0
e	ˈɛ	1.0
éː_#>	ɛ_#>	1.0
éː_s	ˈɛ_s	1.0
ìː	ˈi	1.0
íː	ˈi	1.0
j	-	1.0
k	k	1.0
k_#>	k_#>	1.0
k_a	k_a	1.0
l_àː	ɫ_ˈa	1.0
l_áː	ɫ_ˈa	1.0
m	m	1.0
m_#>	m_#>	1.0
n	n	1.0
n_#>	n_#>	1.0
o	ˈo	1.0
òː	ˈo	1.0
óː_#>	o	1.0
p	p	1.0
p_#>	p_#>	1.0
r_#>	r_#>	1.0
s	s	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t	t	1.0
t_#>	t_#>	1.0
t_i	ɛ_#>	1.0
úː	ˈu	1.0
w_#>	ɫ_#>	1.0
x_#>	f	1.0
z	z	1.0
ɔ_#>	o	1.0
ɔ̀ː	ˈo	1.0
ɔ́	ˈo	1.0
ɔ́ː_w	ˈo_ɫ	1.0
ə̀_r	ˈr̩	1.0
ə́_r	ˈr̩	1.0
ɛ_#>	ɛ_#>	1.0
ɛ̀ː	ˈɛ	1.0
ɛ̀ː_l	ˈɛ_l	1.0
ɡ	ɡ	1.0
ʃ_#>	ʃ	1.0
ʋ	v	1.0
ʋ_#>	f	1.0
ʋ_ɛ	v_ɛ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
óː	ˈa	0.2
ə	a	0.2
<#_z	<#_ʣ	0.333
èː	ɛ	0.143
i	ˈi	0.333
l	ɫ	0.583
ə	u	0.133
éː	ɛ	0.364
ə	o	0.4
r	ˈr̩	0.235
r	r	0.765
ɛ	ɛ	0.5
ɛ	-	0.5
éː	ˈɛ	0.636
<#_z	<#_z	0.667
èː	ˈɛ	0.857
i	i	0.667
l	l	0.417
ə	ɛ	0.267
óː	ˈo	0.8
