Swiss German	Swiss German	probability
χː_sː	k_s	1.0
ˈɒː_r	ˈɑː	1.0
ˈɒ_tː	ˈa_d̥	1.0
ˈɒ_r	ˈɑ	1.0
ˈøː	-	1.0
ˈøi̯	-	1.0
ˈø	ˈe	1.0
ˈyə̯_n	ˈĩː	1.0
ˈyə̯	-	1.0
ˈuː	ˈau̯	1.0
ˈoː_n	ˈõː	1.0
ˈi_r	ˈiː_ɐ	1.0
ˈi	ˈi	1.0
ˈei̯	ˈai̯	1.0
ˈe	ˈe	1.0
ˈau̯	ˈaː	1.0
ʋ_ˈe	v	1.0
ʋ	v	1.0
ɡ̊_r	k_ʀ	1.0
ə_r	æ̆	1.0
æ	ɛː	1.0
z̥	s	1.0
v̥	f	1.0
n_d̥	n	1.0
m	m	1.0
l	l	1.0
j	j	1.0
i	i	1.0
h	h	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_ʀ	1.0
n	n	0.943
d̥	d̥	0.88
ʦ	ʦ	0.867
ʒ̊	ʃ	0.867
ˈiː	ˈai̯	0.857
ɣ̊	kʰ	0.846
p͡f	f	0.75
fː	f	0.75
ˈoː	ˈoː	0.727
ŋ	ŋ	0.727
ə	ə	0.725
ˈy	ˈi	0.7
ˈɒː	ˈɑː	0.667
ˈeː	ˈeː	0.667
sː	s	0.643
ˈuə̯	ˈuː	0.636
ˈæi̯	ˈaː	0.6
ˈiə̯	ˈiː	0.6
b̥	b̥	0.586
tː	d̥	0.568
ˈu	ˈu	0.556
ʃː	ʃ	0.545
ˈæː	ˈɛː	0.5
ˈæː	-	0.5
ˈæ	ˈɛ	0.5
ˈo	ˈo	0.455
kː	ɡ̊	0.455
χː	x	0.444
r	ʀ	0.425
ˈɒ	ˈɑ	0.4
ˈɒ	ˈa	0.4
ˈæi̯	ˈãː	0.4
ˈiə̯	-	0.4
tː	t	0.386
ˈuə̯	ˈu	0.364
kː	k	0.364
ˈyː	ˈiː	0.357
sː	z̥	0.357
r	ɐ	0.35
χː	ʃ	0.333
ˈeː	-	0.333
ɡ̊	ʃ	0.308
ɡ̊	ɡ̊	0.308
ˈy	-	0.3
ˈyː	ˈoi̯	0.286
ˈo	ˈɔ	0.273
ˈo	ˈoː	0.273
ʃː	s	0.273
ŋ	n_d̥	0.273
ə	-	0.255
ˈɒː	ˈɑ	0.25
p͡f	pʰ	0.25
fː	v̥	0.25
b̥	p	0.241
ˈyː	ˈi	0.214
ˈæ	-	0.2
ɡ̊	ɣ̊	0.192
ˈoː	ˈɑː	0.182
ʃː	-	0.182
kː	-	0.182
b̥	v	0.172
ˈu	ˈɔ	0.167
ˈu	-	0.167
ɣ̊	k	0.154
ˈyː	-	0.143
ˈiː	ˈɑ̃i̯	0.143
ʦ	-	0.133
ʒ̊	-	0.133
ˈɒ	ˈɑː	0.12
d̥	t	0.12
ɡ̊	ʒ̊	0.115
χː	ɣ̊	0.111
χː	-	0.111
ˈu	ˈi	0.111
ˈæ	ˈæː	0.1
ˈæ	ˈæ	0.1
ˈæ	ˈe	0.1
r	æ̆	0.1
ˈoː	oː	0.091
ˈɒː	ˈɛ̃ː	0.083
ˈɒ	-	0.08
ɡ̊	x	0.077
r	ˈæ_ɐ	0.075
n	-	0.057
