Eastern Lombard	Piedmontese	probability
b	b	1.0
p	p	1.0
u	u	1.0
w	w	1.0
ø	ˈø	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʋ	v	1.0
ʤ	ʤ	1.0
ˈy	ˈy	1.0
j	j	0.891
k	k	0.921
n	ŋ	0.311
ɡ	ɡ	0.561
ˈu	ˈu_ŋ	0.121
ˈɛ	ˈa	0.051
m	m	0.982
s	z	0.132
ɡ	v	0.072
ˈa	ˈa	0.732
ˈi	ˈi	0.452
ˈo	ˈɔ	0.492
l	-	0.13
t	d	0.083
t	t	0.763
d	d	0.654
f	f	0.774
r	-	0.094
t	-	0.154
ʧ	ʧ	0.444
ˈø	-	0.14
ˈø	ˈy	0.484
ˈɔ	ˈɔ	0.874
e	ˈɛ	0.065
e	j	0.195
i	-	0.065
i	i	0.935
k	ɡ	0.05
o	-	0.125
o	u	0.875
s	s	0.805
z	z	0.465
ˈe	ˈɛ_ŋ	0.075
ˈe	ˈi	0.205
ˈe	ˈe	0.315
ˈi	e	0.125
d	-	0.346
e	e	0.36
f	v	0.226
l	l	0.856
ˈɔ	ˈø	0.126
e	ə	0.067
e	i	0.117
ɡ	-	0.367
ˈe	v_ˈi	0.077
ˈi	ˈe	0.127
ˈi	ˈi_ŋ	0.157
ˈø	ˈø	0.377
ˈɛ	ˈe	0.17
ˈɛ	ˈɛ	0.647
e	a	0.068
e	-	0.128
r	r	0.858
ʧ	j_t	0.098
ʧ	j	0.458
ˈa	ˈe	0.268
ˈi	-	0.08
ˈo	ˈu	0.508
a	a	0.929
j	ˈi_j	0.109
n	n	0.589
z	ʤ	0.49
ˈe	ˈɛ	0.329
ˈu	ˈu	0.879
ˈɛ	v_ˈɛ	0.079
