Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈʊ	ˈu	1.0
ˈɪ_k	ˈe_k	1.0
ˈɛɪ̯	ˈɑː	1.0
ˈœ	-	1.0
ˈøː	ˈu	1.0
ˈuː_æ	ˈu_r	1.0
ˈoː_æ	r	1.0
ˈeː	ˈɑi̯_w	1.0
ˈaɪ̯	-	1.0
ˈa	ˈɑ	1.0
ʃ_l	s_l	1.0
ɪ	ɑ	1.0
ɣ̊	ɣ	1.0
ɣ	w_u	1.0
ɡ̊	ɡ	1.0
ɡ	ɣ	1.0
æ_#>	r_#>	1.0
x	x	1.0
w	w	1.0
v̥	β	1.0
t_ɪ	ɑi̯	1.0
pʰ	-	1.0
kʰ_n	k_n	1.0
j	ɣ	1.0
f	ɸ	1.0
ae̯	e	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ɡ	<#_ɣ	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_j	1.0
l	l	0.923
r	r	0.917
h	x	0.909
v	w	0.88
b	b	0.875
z	s	0.864
ˈuː	ˈuː	0.857
ˈɔ	ˈu	0.818
p	p	0.818
s	s	0.778
ˈɪ	ˈi	0.769
t	t	0.744
ŋ	ŋ	0.733
ˈœː	ˈu	0.714
ˈʏ	ˈu	0.667
ˈɛː	ˈe	0.667
ˈɔʏ̯	ˈɔː	0.667
z̥	s	0.625
k	k	0.625
ˈyː	ˈiu̯	0.6
ʃ	s_k	0.6
<#	<#_x	0.6
ˈɛ	ˈe	0.583
d	θ	0.581
n	n	0.566
ˈiː	ˈiː	0.556
m	m	0.55
ˈoː	ˈɛː	0.5
ˈoː	ˈɑu̯	0.5
ɾ	ð_ɛː	0.5
ɾ	ð	0.5
ˈae̯	ˈɑi̯	0.481
æ	r	0.455
d	d	0.419
ˈaʊ̯	ˈɔː	0.417
ˈaʊ̯	ˈɑu̯	0.417
ˈyː	-	0.4
ʃ	s	0.4
ç	ɣ	0.4
<#	<#_ˈu	0.4
ˈɒː	ˈɛː	0.375
ˈɒː	ˈɑ	0.375
ˈaː	ˈɑ_r	0.375
ˈaː	ˈɑ	0.375
z̥	s_ɑ̃	0.375
#>	ɑ_z_#>	0.347
d̥	ð	0.345
ˈʏ	-	0.333
ˈɛː	ˈɑ	0.333
ˈɛ	ˈɑ	0.333
ˈɔʏ̯	ˈɑu̯	0.333
ˈae̯	ˈeu̯	0.296
ˈœː	-	0.286
#>	ɑ̃_#>	0.282
d̥	d	0.276
n	ɑ_n	0.253
ˈaː	ˈe_r	0.25
ˈiː	ˈi	0.222
s	x_s	0.222
ç	ɣ_j	0.2
k	k_i	0.188
k	-	0.188
ˈɔ	ˈɑ	0.182
æ	r_ɑ̃	0.182
p	pː	0.182
d̥	θ	0.172
ˈiː	ˈe	0.167
#>	z_#>	0.155
m	β	0.15
ˈuː	wː	0.143
d̥	θ_ɑ̃	0.138
z	s_ˈe	0.136
ŋ	ɣ_ɑ	0.133
ŋ	ɣ_j	0.133
ç	ɣ_i	0.133
ç	z	0.133
ç	x_t	0.133
ˈɒː	ˈɑː	0.125
ˈɒː	ˈɑ_x	0.125
b	-	0.125
v	xʷ	0.12
ˈɪ	-	0.115
ˈae̯	ˈe	0.111
m	β_ɑ	0.1
m	ɑ_n	0.1
m	m_b	0.1
t	t_ɑ	0.093
æ	ɛː	0.091
æ	r_u	0.091
æ	j	0.091
æ	e	0.091
h	x_ˈɑu̯	0.091
ˈɛ	mː	0.083
ˈaʊ̯	ˈɑ	0.083
ˈaʊ̯	-	0.083
r	x_r	0.083
ˈɪ	ˈɑi̯	0.077
l	lː	0.077
ˈae̯	-	0.074
n	nː	0.072
t	tː	0.07
d̥	d_u	0.069
ˈiː	ˈeː	0.056
#>	ɔ̃ː_#>	0.052
#>	ɔːː_#>	0.052
