Franco-Provençal	Franco-Provençal	probability
ˈɛ_#>	#>	1.0
ˈɔ	ˈu	1.0
ˈɑ̃	ˈɨ_n	1.0
ˈy	ˈu_p_r	1.0
ˈoː_ʁ	r_t	1.0
ˈo_#>	ˈo_j_#>	1.0
ˈĩ	ˈi_n	1.0
ˈe_v	p	1.0
ˈaː_ð	ˈa_t	1.0
ˈaː	ˈa	1.0
ˈa_#>	k_#>	1.0
ʦ	ʦ	1.0
ʎ	ʎ	1.0
ʁ_o	u	1.0
ɲ	ɲ	1.0
ɔ	r	1.0
ɑ̃	ɨ	1.0
w_ˈɛː	ˈu	1.0
n	n	1.0
k_ʁ	k_r	1.0
k	k	1.0
b	b	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_a	<#	1.0
<#	<#_a	1.0
m	m	0.857
ð	r	0.846
t	t	0.846
a	ə	0.846
<#_l	<#_l	0.833
p	p	0.75
ʁ	r	0.743
ʃ	k	0.714
ɡ	ɡ	0.714
l_#>	r_#>	0.667
e	s	0.667
ə	i	0.643
ˈɔ̃	ˈu_n	0.625
ˈo	ˈo	0.625
ˈɑː	ˈa	0.6
<#_ð	<#_ʤ	0.6
o	-	0.588
l	l	0.562
#>	i_#>	0.54
f	f	0.529
ˈɛ̃	ˈi_n	0.5
ˈø	ˈu	0.5
ˈø	-	0.5
ˈu	ˈu	0.5
ˈu	o̯ˈa	0.5
ˈa	ˈa	0.5
z	ʦ	0.5
z	-	0.5
w_ˈe	ˈo_k	0.5
w_ˈe	ˈo	0.5
w	-	0.5
i	i	0.5
i	-	0.5
d	d	0.5
ˈɛː	e̯ˈa	0.471
v	j	0.471
ˈɛ	e̯ˈa	0.462
s	s	0.435
ˈoː	ˈa_l	0.429
o	u	0.412
ˈɑː	t_ˈi	0.4
<#_ð	<#	0.4
ˈɔ̃	ˈu	0.375
ˈo	ˈu	0.375
d	ʣ	0.357
v	v	0.353
j	ˈa	0.353
j	-	0.353
s	ʦ	0.348
w	ˈo	0.333
l_#>	#>	0.333
e	-	0.333
l	r	0.312
ˈɛ	-	0.308
#>	u_#>	0.302
ˈoː	ˈo_s	0.286
ˈoː	ˈo	0.286
ɡ	-	0.286
ə	ə	0.286
ˈi	ˈi_r	0.273
ˈi	ˈi	0.273
ˈi	e̯ˈa	0.273
ˈɛ̃	ˈɨ_n	0.25
ˈɛ̃	ˈi_m	0.25
p	k	0.25
ˈɛː	ˈa	0.235
ˈe	ˈe	0.235
f	ç	0.235
f	w	0.235
ˈɛ	ˈi	0.231
s	ʃ	0.217
ˈa	ˈɨ	0.188
ˈa	-	0.188
ˈi	-	0.182
ˈɛː	ˈe	0.176
ˈe	ˈi	0.176
ˈe	r_i	0.176
ˈe	i	0.176
v	-	0.176
j	ˈe	0.176
w	ˈu	0.167
<#_l	<#	0.167
ð	t	0.154
t	ʦ	0.154
ʃ	ʦ_i	0.143
ʃ	k_ə	0.143
m	ɲ	0.143
d	-	0.143
#>	ə_#>	0.127
ˈa	ˈa_r	0.125
l	-	0.125
ˈɛː	i	0.118
ˈe	ˈa	0.118
ˈe	-	0.118
j	k	0.118
ʁ	i_r	0.114
ʁ	u	0.086
a	d_ə	0.077
a	-	0.077
ə	-	0.071
ʁ	k	0.057
