Lombard	Ladin	probability
#>	#>	0.943
<#	<#	1.0
<#_ʋ	<#	0.514
a	a	0.876
a	-	0.097
ã	a	0.723
ã	e	0.213
b	b	0.865
b	m	0.074
b	-	0.064
d	d	0.827
d	-	0.167
e	e	0.594
e	j	0.127
e	-	0.11
e	o	0.096
e	i	0.063
ẽ	-	0.514
f	f	0.915
f	v	0.056
i	i	0.386
i	e	0.254
i	-	0.222
i	a	0.1
ĩ	i	0.784
ĩ	n	0.136
j	j	0.465
j	l	0.338
j	-	0.192
k	k	0.599
k	ʨ	0.348
l	l	0.866
l	w	0.092
m	m	0.981
n	n	0.924
o	u	0.574
o	o	0.295
p	p	0.971
r	r	1.0
r_#>	#>	1.0
s	s	0.649
s	ʃ	0.247
s	ʦ	0.059
t	t	0.864
t	n_t	0.076
t_#>	#>	1.0
u	o	0.814
u	e	0.091
u	u	0.091
u_#>	#>	1.0
v	v	0.135
w	-	0.822
w	ɡ	0.122
y	o	0.5
y	u	0.5
z	ʒ	0.74
z	s	0.201
ɛ	e	0.447
ɛ	ˈe	0.061
ɡ	ɡ	0.852
ɡ	-	0.145
ɲ	ɲ	0.839
ɲ	n	0.157
ʃ	ʧ	0.488
ʃ	ʃ	0.322
ʃ	ʒ	0.122
ʋ	v	0.901
ʋ	ˈo	0.067
ʤ	ʒ	0.438
ʤ	ʥ	0.171
ʤ	ɡ	0.149
ʤ	d_l	0.13
ʤ	ʤ	0.086
ʦ	ʦ	0.677
ʦ	ʨ	0.312
ʧ	d_l	0.21
ʧ	t	0.207
ʧ	ʨ	0.156
ʧ	ʧ	0.147
ʧ	k_l	0.095
ʧ	ʒ	0.058
ʧ	d	0.053
ˈa	ˈa	0.485
ˈa	ˈe	0.288
ˈa	ˈɛ	0.21
ˈaː	ˈɛ	0.43
ˈaː	ˈa	0.277
ˈaː	ˈe	0.196
ˈãː	ˈa_n	0.678
ˈãː	ˈa_ŋ	0.214
ˈãː	ˈa	0.093
ˈe	ˈe	0.458
ˈe	j_ˈɛ	0.179
ˈe	ˈe_j	0.162
ˈe	ˈɛ	0.116
ˈe	-	0.055
ˈeː	ˈe	0.561
ˈeː	ˈɛ	0.425
ˈẽː	ˈɛ_n	0.78
ˈẽː	ŋ	0.219
ˈi	ˈi	0.923
ˈi	ˈe	0.065
ˈiː	ˈi	0.135
ˈĩː	ˈi_n	0.822
ˈĩː	ˈi	0.089
ˈo	ˈɔ	1.0
ˈu	ˈo	0.659
ˈu	ˈɔ	0.211
ˈu	w	0.076
ˈu	ˈu	0.056
ˈuː	ˈo	0.339
ˈuː	ˈɛ	0.339
ˈũː	ˈo_n	0.426
ˈũː	ˈo	0.323
ˈũː	n	0.22
ˈy	ˈu	0.767
ˈy	ˈe	0.112
ˈy	ˈo	0.098
ˈyː	ˈu	0.434
ˈyː	ˈo_w	0.4
ˈyː	ˈo	0.142
ˈỹː	ˈu	0.514
ˈø	w_ˈɛ	0.653
ˈø	ˈe	0.134
ˈø	ˈɛ	0.095
ˈø	ˈɔ	0.069
ˈøː	w_ˈɛ	1.0
ˈɔ	ˈɔ	0.606
ˈɔ	ˈa_w	0.122
ˈɔ	w_ˈɛ	0.107
ˈɔ	ˈe	0.094
ˈɔ	ˈa	0.061
ˈɛ	ˈɛ	0.623
ˈɛ	ˈe_j	0.197
ˈɛ	j_ˈɛ	0.077
ˈɛ̃ː	ˈɛ	1.0
ˈˈi	e	1.0
