Ligurian	Ligurian	probability
ˈɛː_r	ˈɛ_r	1.0
ˈɛː_#>	ˈa_#>	1.0
ˈɔː	ˈɔ	1.0
ˈɔ	ˈɔ	1.0
ˈyː_u	ˈu_r	1.0
ˈyː	ˈu	1.0
ˈy	ˈu	1.0
ˈi	ˈi	1.0
ˈa	ˈa	1.0
ʒ	z	1.0
ʃ	s	1.0
ɲ	ɲ	1.0
ɥ	o_d	1.0
ŋ_a	n_a	1.0
y	u	1.0
u_#>	#>	1.0
t	t	1.0
sː	s	1.0
s_ˈa	s_ˈa	1.0
s_u_#>	s_#>	1.0
r_t	r_t	1.0
r_s	r_θ	1.0
r	r	1.0
p	p	1.0
n	n	1.0
l_ˈeː	ˈe_l	1.0
l	l	1.0
k	k	1.0
f	f	1.0
e_#>	#>	1.0
d_u	t	1.0
d	d	1.0
b	b	1.0
<#_ˈɛː	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_f_j	1.0
<#_ɔː	<#_o	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
u	o	0.939
a	a	0.934
ɡ	ɡ	0.909
v	v	0.903
ˈu	ˈo	0.889
m	m	0.889
ŋ	ŋ	0.861
ˈøː	ˈo	0.75
ˈɛ	ˈɛ	0.714
ˈe	ˈe	0.692
z	ð	0.692
ˈø	ˈɔ	0.667
ˈaː	ˈa_r	0.667
ˈiː	ˈi	0.643
s	s	0.611
ˈɛː	ˈa	0.6
ʤ_u	j_o	0.6
i	i	0.556
e	e	0.552
ˈe_j	ˈe_r	0.5
ˈe_j	ˈe	0.5
ʧ	ʧ	0.5
ʧ	-	0.5
ˈeː	ˈɛ	0.471
i	e	0.444
w	w	0.429
ˈuː	ˈo	0.417
ʤ	ʧ	0.417
j	r	0.417
#>	r_#>	0.417
#>	l_#>	0.417
ˈɛː	r_e	0.4
ʤ_u	j	0.4
s	θ	0.389
ˈø	-	0.333
ˈuː	ˈo_l	0.333
ˈaː	ˈa	0.333
ˈe	ˈɛ	0.308
ˈeː	j_ˈe	0.294
ˈɛ	-	0.286
e	e_r	0.276
ˈøː	ˈɔ	0.25
ˈuː	ˈo_r	0.25
ʤ	j	0.25
ʤ	-	0.25
j	a	0.25
ˈiː	-	0.214
j	l	0.167
j	-	0.167
#>	o_#>	0.167
z	z	0.154
z	-	0.154
ˈiː	r	0.143
w	ˈa	0.143
w	o_r	0.143
w	o	0.143
w	-	0.143
ŋ	n	0.139
ˈeː	ˈe	0.118
ˈeː	-	0.118
ˈu	-	0.111
m	ŋ	0.111
e	o	0.103
v	-	0.097
ɡ	-	0.091
ʤ	ʤ	0.083
e	i	0.069
a	-	0.066
u	r_o	0.061
