Sicilian	Neapolitan	probability
c	k	1.0
cː	kː_j	1.0
d	d	1.0
f	f	1.0
k	k	1.0
kː	kː	1.0
l	l	1.0
nː	nː	1.0
p	p	1.0
s	s	1.0
sː	sː	1.0
t	t	1.0
tː	tː	1.0
u	u	1.0
v	v	1.0
ç	ʃ	1.0
ŋ	ŋ	1.0
ɕ	ʃ	1.0
ɖː	lː	1.0
ɟː	ʎː	1.0
ɡ	ɡ	1.0
ɲː	ɲː	1.0
ʃ	ʃ	1.0
ʃː	ʃː	1.0
ʈ	t	1.0
ʐ	r	1.0
ʤ	ʤ	1.0
ʦː	ʦː	1.0
ˈe	ˈe	1.0
ˈo	ˈo	1.0
a	a	0.211
i	i	0.481
m	m	0.91
r	-	0.371
ˈɔ	ˈɔ	0.381
ˈɛ	j_ˈɛ	0.541
j	j	0.382
r	r	0.332
w	w	0.462
ɽ	ɾ	0.932
ˈɔ	w_ˈɔ	0.512
b	b	0.353
i	e	0.33
ʊ	ə	0.963
ˈu	ˈo	0.183
j	j_ə	0.114
j	-	0.504
n	n	0.974
ɪ	-	0.154
ɾ	r	0.075
ɪ	ə	0.786
ɾ	ɾ	0.776
ˈi	ˈe	0.266
b	v	0.647
r	ɾ	0.297
ˈa	ˈa	0.977
ˈu	ˈu	0.817
ˈɔ	ˈu	0.107
w	-	0.538
ɽ	-	0.068
a	ə	0.779
i	ə	0.189
m	mː	0.09
ɾ	-	0.149
ˈi	ˈi	0.689
ˈɛ	ˈɛ	0.459
