Middle Chinese	Middle Chinese	probability
ʨʰ	ʦʰ	1.0
ʨ	ʦ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʥ	s	1.0
ʤ	t_ɑ	1.0
ʣ	ʦ	1.0
ʔˠ	-	1.0
ʑ	s	1.0
ʌ_i	j	1.0
ʈˠ	t	1.0
ʈ	t	1.0
ʃˠ	s	1.0
ʃ	s_a	1.0
ɳ	nˡ	1.0
ɪ_˥˩	j_²⁴²	1.0
ɨ_ʌ	y	1.0
ɨ_u	o_w	1.0
ɦˠ	-	1.0
ɦ	h	1.0
ɡˠ	k	1.0
ɡ	k	1.0
ə_u	a_w	1.0
ɖˠ	t	1.0
ɖ	-	1.0
ɑ_u	o	1.0
ȵ	nˡ	1.0
ŋˠ	-	1.0
æ	ɑ	1.0
w	w	1.0
u_ɑ	w_a	1.0
u_n	u_ŋ	1.0
tʰ	tʰ	1.0
t	t	1.0
sˠ	s	1.0
s	s	1.0
p̚	ɑ_ʔ	1.0
pˠ	p	1.0
pʰˠ	pʰ	1.0
pʰ	pʰ	1.0
p_ɨ	h	1.0
p	p	1.0
o_˧˥	w_²⁴²	1.0
n	ŋ	1.0
mˠ	m	1.0
l	l̃	1.0
k̚	ʔ	1.0
kˠ	k	1.0
kʰˠ	kʰ	1.0
kʰ	kʰ	1.0
k	k	1.0
i_æ	a	1.0
hˠ	h	1.0
h	h	1.0
e_˦	e_⁵³	1.0
e_i	ɛ	1.0
b	p	1.0
a	a	1.0
<#_ʔ	<#	1.0
<#_ɦ	<#	1.0
<#_ȵ	<#	1.0
<#_ŋ	<#_ŋ	1.0
<#_n	<#_nˡ	1.0
<#_m	<#	1.0
˧˥	³³	0.879
ɪ	i	0.8
#>	²⁴_#>	0.783
ʉ	w	0.778
ŋ	ŋ	0.704
t̚	ʔ	0.6
d	t	0.6
ɐ	o	0.583
m	ŋ	0.538
˥˩	²¹³	0.526
˦	⁵³	0.521
ʌ	a	0.5
ɛ	o	0.5
ɛ	a	0.5
ə	ɔ	0.5
ə	-	0.5
ɕ	s	0.5
ɕ	-	0.5
o	ɥ	0.5
o	o	0.5
˦	⁵⁵	0.479
˥˩	²⁴²	0.474
m	m	0.462
ɑ	o	0.444
i	-	0.409
t̚	ʔ_⁵	0.4
d	tʰ	0.4
ɨ	-	0.375
i	j	0.364
u	w	0.316
ʌ	ɔ	0.3
ɑ	ɑ	0.278
ɐ	ɔ	0.25
ʉ	u	0.222
e	ɛ	0.222
e	e	0.222
#>	⁵_#>	0.217
ʌ	i	0.2
ɪ	-	0.2
ɨ	ø	0.188
ɨ	j	0.188
u	u	0.184
ɑ	a	0.167
ɐ	w	0.167
e	j_e	0.167
e	a	0.167
i	ɛ	0.159
ɨ	w	0.156
˧˥	²⁴²	0.121
ɑ	-	0.111
ŋ	ɥ_ŋ	0.111
ŋ	w_ŋ	0.111
e	j	0.111
e	-	0.111
u	ɥ	0.105
u	o	0.105
ɨ	y	0.094
u	ø	0.079
u	e_w	0.079
u	-	0.079
ŋ	j_ŋ	0.074
i	ɥ	0.068
u	o_w	0.053
