Old Norse	English	probability
a	-	0.808
a	əʊ̯	0.192
b	b	0.981
c	-	0.816
c	k	0.184
cʰ	ʧ	0.672
cʰ	kʰ	0.328
cː	ʧ	1.0
d	d	0.988
f	f	0.923
f	ʃ	0.077
h	h	1.0
i	ə	0.546
i	-	0.276
i	ɪ	0.164
j	-	0.563
j	ˈɪ	0.171
j	ˈɛ	0.102
j	ˈaɪ̯	0.06
j	ˈiː	0.052
j	ˈəʊ̯	0.051
k	k	0.48
k	-	0.328
k	ʧ	0.193
kʰ	kʰ	0.808
kʰ	-	0.192
kː	k	0.534
kː	ŋ_k	0.466
l	l	0.495
l	ɫ	0.389
l	-	0.116
lː	ɫ	0.909
lː	l	0.091
l̥	l	1.0
m	m	1.0
mː	v	0.5
mː	m	0.5
n	n	0.948
nː	n	0.736
nː	θ	0.096
nː	-	0.087
p	p	1.0
pː	p	1.0
r	-	0.739
r	ɹ	0.141
r	ə	0.099
rː	ə	0.818
rː	-	0.182
r̥	ɹ	0.9
r̥	h	0.1
s	s	0.725
s	ʃ	0.217
sː	s	1.0
t	t	1.0
tʰ	tʰ	0.926
tʰ	b	0.074
tː	t	1.0
u	-	0.459
u	ˈe	0.205
u	ɪ	0.138
u	n	0.128
u	ə	0.069
v	w	0.408
v	v	0.264
v	f	0.163
v	-	0.15
w	w	1.0
x	-	1.0
ç	h	0.919
ç	w	0.081
ð	d	0.588
ð	ð	0.209
ð	θ	0.124
ð	-	0.08
ŋ	ŋ	0.747
ŋ	n	0.157
ŋ	-	0.097
ɑ	-	0.788
ɑ	ɪ	0.193
ɑː	ˈiː	1.0
ɟ	-	0.672
ɟ	ɡ	0.328
ɟː	ʤ	1.0
ɡ	ɡ	0.493
ɡ	-	0.414
ɡ	j	0.081
ɡː	ɡ	0.586
ɡː	ʤ	0.414
ɣ	-	0.902
ɣ	f	0.098
ɾ	ɹ	1.0
ʝː	-	1.0
ˈa	ˈæ	0.797
ˈa	ˈeɪ̯	0.203
ˈe	ˈe	0.193
ˈe	ˈeɪ̯	0.19
ˈe	ˈɔː	0.188
ˈe	ˈɪ	0.128
ˈe	ˈɛ	0.081
ˈe	ɜː	0.063
ˈe	ɪ	0.061
ˈe	ˈaɪ̯	0.061
ˈeː	ˈiː	0.571
ˈeː	ˈɪ	0.236
ˈeː	ˈaɪ̯	0.128
ˈeː	j	0.064
ˈi	ˈɪ	0.621
ˈi	ˈaɪ̯	0.322
ˈi	ˈiː	0.057
ˈiː	ˈaɪ̯	0.61
ˈiː	ˈiː	0.16
ˈiː	ˈɪ	0.152
ˈiː	-	0.078
ˈo	ˈɔː	0.412
ˈo	ˈɜː	0.194
ˈo	ˈɐ	0.174
ˈo	ˈɪ	0.104
ˈoː	-	0.373
ˈoː	ˈuː	0.177
ˈoː	ˈʊ	0.131
ˈoː	ˈɔː	0.129
ˈoː	ˈɐ	0.121
ˈoː	ˈiː	0.07
ˈu	ˈɐ	0.515
ˈu	ˈaʊ̯	0.183
ˈu	ˈaɪ̯	0.087
ˈu	ˈɪ	0.062
ˈu	w_ˈʊ	0.053
ˈuː	ˈaʊ̯	0.351
ˈuː	-	0.319
ˈuː	ˈaɪ̯	0.237
ˈuː	ˈɐ	0.093
ˈy	ˈɪ	0.536
ˈy	ˈɔː	0.33
ˈy	ˈɐ	0.065
ˈyː	ˈɪ	0.476
ˈyː	ˈaʊ̯	0.35
ˈyː	j	0.157
ˈøy̯	ˈɪ	0.725
ˈøy̯	ˈiː	0.275
ˈøː	ˈiː	0.652
ˈøː	ˈe	0.28
ˈøː	ˈɪ	0.068
ˈɑ	ˈɑː	0.317
ˈɑ	ˈæ	0.17
ˈɑ	ˈɔː	0.116
ˈɑ	ˈeɪ̯	0.104
ˈɑ	ˈəʊ̯	0.077
ˈɑ	ˈɒ	0.067
ˈɑu̯	ˈiː	0.458
ˈɑu̯	ˈe	0.422
ˈɑu̯	ˈaɪ̯	0.119
ˈɑː	ˈaɪ̯	0.184
ˈɑː	j	0.15
ˈɑː	ˈuː	0.141
ˈɑː	ˈiː	0.103
ˈɑː	ˈɐ	0.101
ˈɑː	ˈɛ	0.076
ˈɑː	ˈɪ	0.076
ˈɑː	ˈəʊ̯	0.071
ˈɑː	ˈeɪ̯	0.068
ˈɒu̯	ˈe	1.0
ˈɔ	-	0.305
ˈɔ	ˈe	0.194
ˈɔ	ˈɜː	0.18
ˈɔ	ˈuː	0.125
ˈɔ	ˈæ	0.125
ˈɔː	ˈuː	1.0
ˈɛ	ˈe	0.681
ˈɛ	ˈæ	0.251
ˈɛi̯	ˈəʊ̯	0.64
ˈɛi̯	ˈɐ	0.169
ˈɛi̯	ˈuː	0.164
ˈɛː	ˈiː	0.852
ˈɛː	ˈəʊ̯	0.086
ˈɛː	ˈɑː	0.062
θ	θ	0.933
