Zeelandic	Zeelandic	probability
ˈʏ	ˈœ	1.0
ˈʊə̯	ˈoː	1.0
ˈɛː	ˈɒː	1.0
ˈɒː	-	1.0
ˈɑu̯	ˈu	1.0
ˈuːə̯	ˈuə̯	1.0
ˈuː	ˈuə̯	1.0
ˈoː	ˈoː	1.0
ˈiːə̯	ˈiə̯	1.0
ˈiː	ˈiə̯	1.0
ˈeː	ˈeː	1.0
ʋ	ʋ	1.0
ɾ_ə	ɾ	1.0
ɾ_t	ɾ_t	1.0
ɾ	ɾ	1.0
ɫ_ə	w	1.0
ɪ	ɪ	1.0
ə_ɾ	ɾ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
x_#>	ɦ̥_#>	1.0
w	-	1.0
v_ə	v	1.0
v	v	1.0
t	t	1.0
s_ə	s_ə	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k	k	1.0
iː	iə̯	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
<#_ˈɑ	<#_ˈæ	1.0
z	z	0.923
ˈɑ	ˈɑ	0.9
ˈyː	ˈyː	0.846
ɫ	l	0.828
ˈɪə̯	ˈɛː	0.778
v̥	v̥	0.778
n_ə	n_ə	0.75
s	s	0.714
x	ɦ	0.69
ˈøː	ˈøː	0.667
ˈæ	ˈæ	0.667
ə	ə	0.636
ˈɪ	ˈɪ	0.615
ˈi	ˈi	0.615
ˈæi̯	ˈɛː	0.5
ˈæi̯	ˈeː	0.5
ˈu	ˈuə̯	0.5
ˈu	ˈu	0.5
j	j	0.5
j	-	0.5
ˈɔ	ˈɔ	0.471
ˈi	ˈɪ	0.385
ə	n	0.364
ˈøː	ˈoː	0.333
x	h	0.31
n_ə	n	0.25
ˈɔ	-	0.235
ˈɪ	ˈɛ	0.231
ˈɪə̯	ˈeː	0.222
v̥	v_ə	0.222
ˈæ	ˈɛ	0.2
s	ʃ	0.19
ˈɔ	ˈœ	0.176
ɫ	w	0.172
ˈɪ	ˈiə̯	0.154
ˈyː	-	0.154
ˈæ	-	0.133
ˈɔ	ˈu	0.118
ˈɑ	-	0.1
s	ɾ_s	0.095
z	-	0.077
