Northern Low Saxon	Northern Low Saxon	probability
ˈɛː	ˈyː	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈʊ_ɐ	1.0
ˈœː	-	1.0
ˈøː	-	1.0
ˈoː_n	ˈoː_n	1.0
ˈeɪ̯	ˈeː	1.0
ˈaʊ̯_ɐ	ˈɔː	1.0
ʒ	j	1.0
ʃ	ʃ	1.0
ɪ	ə	1.0
ɡ_n	k_ə	1.0
ɐ	ɐ	1.0
ç	ɕ	1.0
z̥	z̥	1.0
z	z	1.0
v̥	v̥	1.0
v	ʋ	1.0
tʰ	ʦ	1.0
t_#>	#>	1.0
r	ʀ	1.0
pʰ	p	1.0
p	p	1.0
n_n	n_ə	1.0
n_d	ŋ_ɡ̊	1.0
l_d	ɫ_d̥	1.0
kʰ	k	1.0
k	-	1.0
i	ɪ	1.0
h	h	1.0
d_ˈaɪ̯	d_ˈeː	1.0
b_m	f_ə	1.0
aɪ̯	e	1.0
<#_n_ˈoː	<#_n	1.0
m	m	0.788
f	f	0.781
t	t	0.714
b	b	0.714
ˈʏ	ˈœ	0.7
#>	ə_#>	0.688
ˈaː	ˈɛ_ɐ	0.667
ˈa	ˈa	0.652
ŋ	ŋ	0.615
l	l	0.604
ˈyː	ˈyː	0.6
ç_#>	#>	0.6
n	n	0.596
ˈʊ	ˈo	0.571
d_n	s_ə	0.571
x	x	0.556
ˈɔʏ̯	ˈøː	0.545
ˈaɪ̯	ˈeː	0.522
ˈɪ	ˈe	0.52
ˈɛ	ˈɛ	0.5
ˈœ	ˈɛ	0.5
ˈœ	-	0.5
ˈuː	ˈuː	0.5
ˈaʊ̯	ˈoː	0.5
ɐ_n	ʀ_ə	0.5
ɐ_n	n	0.5
s	ʃ	0.5
s	s	0.5
d_#>	ʦ_#>	0.5
d_#>	#>	0.5
d	d	0.492
ˈɔ	ˈɔ	0.444
ˈʊ	ˈɔ	0.429
d_n	d_ə	0.429
ˈyː	-	0.4
ˈeː	ˈɛː	0.4
ˈeː	-	0.4
ç_#>	k_#>	0.4
ˈiː	ˈiː	0.385
ɡ	j	0.37
l	ɫ	0.354
ˈoː	ˈoː	0.353
ˈɔ	-	0.333
ˈaː	ˈa_ɫ	0.333
ˈaʊ̯	ˈuː	0.318
ˈiː	-	0.308
ˈʏ	-	0.3
ɡ	ɕ	0.296
ˈoː	ˈaː	0.294
t	ʦ	0.286
ˈɪ	ˈɪ	0.28
ˈɔʏ̯	ˈyː	0.273
ˈaɪ̯	ˈeɪ̯	0.261
ˈa	ˈaː	0.261
ˈɛ	ˈɛː	0.25
ˈɛ	-	0.25
ˈuː	ˈɔʊ̯	0.25
ˈoː	-	0.235
ˈiː	ˈɪ	0.231
ŋ	ŋ_ɡ̊	0.231
ˈɔ	ˈo	0.222
x	ɣ̊	0.222
x	-	0.222
d	d̥	0.222
n	ə	0.212
ˈeː	ˈɛ	0.2
#>	ɕ_#>	0.188
ˈɔʏ̯	-	0.182
b	p	0.179
d	s	0.159
f	v̥	0.156
ŋ	j_ə	0.154
n	ŋ	0.154
m	v	0.152
ɡ	k	0.148
ˈaɪ̯	ˈiː	0.13
ˈuː	ˈoː	0.125
ˈuː	-	0.125
#>	k_#>	0.125
ˈɪ	ˈeː	0.12
ˈoː	ˈɔ	0.118
ɡ	x	0.111
b	f	0.107
ˈaʊ̯	ˈɔʊ̯	0.091
ˈaʊ̯	ˈa	0.091
ˈaɪ̯	-	0.087
ˈa	ˈɛ	0.087
ˈɪ	ˈa	0.08
ˈiː	ˈøʏ̯	0.077
ɡ	ɣ	0.074
d	t	0.063
f	ə_f	0.062
m	ə	0.061
