Emilian	Lombard	probability
a	a	0.904
a	-	0.066
b	b	1.0
d	d	0.733
d	-	0.137
d	t	0.103
e	-	0.424
e	e	0.394
e	ˈˈi	0.052
f	f	1.0
i	ĩ	0.309
i	ã	0.291
i	e	0.274
i	i	0.064
i	ɛ	0.062
j	j	0.561
j	-	0.242
j	ʋ	0.124
j	ˈɛ	0.074
k	k	0.88
k	ʧ	0.082
l	l	0.977
m	m	0.993
n	n	0.941
o	r	1.0
p	p	0.942
r	r	0.984
s	s	0.942
t	t	0.771
t	ʧ	0.162
u	u	0.645
u	ũ	0.114
u	y	0.101
u	-	0.091
v	ʋ	0.648
v	f	0.236
w	w	1.0
z	s	0.641
z	ʃ	0.139
z	z	0.101
z	ʧ	0.056
ð	ʤ	0.786
ð	ʦ	0.11
ð	ʧ	0.08
ŋ	-	0.527
ŋ	ɲ	0.156
ŋ	ã	0.082
ŋ	ˈãː	0.078
ŋ	ˈũː	0.059
ɡ	ɡ	0.693
ɡ	k	0.269
ɲ	ɲ	0.664
ɲ	ʤ	0.336
ʤ	ʤ	0.923
ʤ	d	0.077
ʧ	ʧ	0.753
ʧ	ʤ	0.247
ˈa	ˈãː	0.524
ˈa	ˈe	0.212
ˈa	ˈɛ	0.113
ˈaː	ˈa	0.744
ˈaː	-	0.2
ˈe	ˈi	0.429
ˈe	ˈĩː	0.366
ˈe	ˈɛ	0.089
ˈe	ˈeː	0.077
ˈi	ˈi	1.0
ˈiː	ˈe	0.449
ˈiː	ˈi	0.42
ˈiː	ˈiː	0.064
ˈo	ˈy	0.674
ˈo	ˈo	0.131
ˈo	ˈø	0.059
ˈuː	ˈyː	0.368
ˈuː	ˈu	0.259
ˈuː	ˈø	0.154
ˈuː	ˈy	0.117
ˈuː	ˈøː	0.102
ˈæ	ˈẽː	0.398
ˈæ	ˈe	0.301
ˈæ	ˈɛ̃ː	0.301
ˈɔ	ˈu	0.373
ˈɔ	ˈø	0.275
ˈɔ	ˈɔ	0.253
ˈɔ	ˈo	0.099
ˈɔː	ˈɔ	0.585
ˈɔː	ˈøː	0.18
ˈɔː	ˈi	0.137
ˈɛ	ˈa	0.605
ˈɛ	ˈɛ	0.255
ˈɛ	ˈaː	0.11
ˈɛː	ˈɛ	0.84
ˈɛː	ˈe	0.102
ˈɛː	-	0.058
ˈʌ	ˈũː	0.319
ˈʌ	e	0.214
ˈʌ	ˈu	0.151
ˈʌ	ˈɔ	0.122
ˈʌ	ˈuː	0.097
ˈʌ	ˈy	0.097
ˈʌu̯	ˈu	0.577
ˈʌu̯	ˈyː	0.34
ˈʌu̯	ˈy	0.084
θ	ʧ	0.411
θ	ʦ	0.247
θ	ʃ	0.123
θ	s	0.098
θ	t	0.074
