Hessian	Hessian	probability
ˈɛ̃ː	ˈɛ_ŋ	1.0
ˈɛː	-	1.0
ˈɑ̃i̯	ˈʊ̯iː_n	1.0
ˈɑ_x	ˈɔ	1.0
ˈæː	-	1.0
ˈuː_d̥	ˈɔːu̯_w	1.0
ˈõː	ˈɔ	1.0
ˈoĩ̯	ˈʊ_ʤ̊ː	1.0
ˈĩː	ˈøː_n	1.0
ˈi_ʃ	ˈeː	1.0
ˈẽː	ˈɔ̯aː	1.0
ˈeː	-	1.0
ˈãː	-	1.0
ˈa_d̥	ˈɛːa̯	1.0
ɡ̊	ʰʧ	1.0
ɛː	a_n	1.0
ə_#>	#>	1.0
ɑ	a_v	1.0
ɐ_n	t͡n̥	1.0
ŋ_ɡ̊	ʰk	1.0
ŋ	ŋ_ɡ̊	1.0
z̥_æ̆	ʰt͡n̥	1.0
v̥	p	1.0
t_ʀ	d̥_ɹ	1.0
s_#>	#>	1.0
p	b̥	1.0
oː	ˈɛːi̯	1.0
n_s	sː	1.0
j	-	1.0
i	-	1.0
f_#>	#>	1.0
d̥_æ̆	w	1.0
d̥_#>	#>	1.0
<#_ʀ	<#_ɹ	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
v	v	0.923
h	h	0.875
s	s	0.867
m	m	0.846
ʀ	ɹ	0.818
ɐ	ɹ	0.818
ə	a	0.8
<#_ɡ̊	<#_ɡ̊	0.8
kʰ	kʰ	0.778
ˈɔ	ˈɔ	0.667
ˈai̯	ˈʊ̯iː	0.667
l	l	0.667
k	-	0.667
f	f	0.667
ˈi	ˈɪ	0.64
ˈæ	ɹ	0.6
ʒ̊	ɡ̊	0.6
ˈɛ	-	0.583
ˈɑ	ˈa	0.583
ˈoː	-	0.571
ˈo	ˈʊ	0.571
ˈe	-	0.571
ɣ̊	-	0.571
ˈau̯	ˈʉːu̯	0.556
#>	ʊ_ɹ_#>	0.553
ˈu	ˈʊ	0.538
b̥	b̥	0.538
ˈuː	ˈɛ_ɡ̊	0.5
ˈuː	-	0.5
ˈoi̯	ˈʊ̯iː	0.5
ˈoi̯	-	0.5
ʦ	tʰ	0.5
z̥	ʰt	0.5
z̥	t	0.5
x	k	0.5
x	-	0.5
ˈiː	-	0.455
t	ʰt	0.455
ˈoː	ˈɔ̯aː	0.429
ˈo	-	0.429
ˈe	ˈɛ	0.429
ɣ̊	ɡ̊	0.429
ˈaː	ˈɛːi̯	0.417
n	n	0.417
ˈæ	-	0.4
ʒ̊	-	0.4
ˈiː	ˈɔːu̯	0.364
ʃ	s	0.35
d̥	d̥	0.344
ˈɔ	-	0.333
ˈai̯	-	0.333
ˈa	ˈa	0.333
æ̆	ʊ	0.333
k	ɡ̊	0.333
b̥	v	0.308
ˈɑː	ˈɛːa̯	0.286
ˈɑː	ˈɔ̯aː	0.286
æ̆	ɪ_ɹ	0.278
t	tʰ	0.273
t	t	0.273
ˈɛ	ˈeː	0.25
ˈɑ	ˈɛːa̯	0.25
ˈaː	-	0.25
ʦ	ʰt	0.25
ʦ	-	0.25
n	nː	0.25
l	t͡l̥	0.233
ˈu	ˈɔːu̯	0.231
ˈu	-	0.231
ˈau̯	ˈʊ	0.222
ˈau̯	-	0.222
ˈa	ˈɛːa̯	0.222
ˈa	ˈɔ	0.222
ˈa	-	0.222
kʰ	ʧʰ	0.222
d̥	tʰ	0.219
#>	ɹ_#>	0.212
ˈi	ˈiː	0.2
ʃ	ʃ	0.2
ʃ	-	0.2
<#_ɡ̊	<#	0.2
ˈiː	ˈɛːa̯	0.182
ʀ	-	0.182
ɐ	a	0.182
ˈɛ	ˈɔ	0.167
ˈɑ	-	0.167
ˈaː	ˈɔːi̯	0.167
ˈaː	ˈai̯	0.167
æ̆	ɹ_ʊ	0.167
ˈi	-	0.16
d̥	t	0.156
d̥	-	0.156
b̥	b̥_j	0.154
#>	a_#>	0.153
ʃ	s_k	0.15
ˈɑː	ˈa_ɹ	0.143
ˈɑː	ˈa	0.143
ˈɑː	-	0.143
s	t_ʊ	0.133
n	n_d̥	0.125
n	-	0.125
h	j	0.125
f	p	0.125
æ̆	ɪ	0.111
æ̆	a_ɹ	0.111
ʃ	k	0.1
l	l̥	0.1
ə	ʤ̊ː_a	0.086
ə	v̥_a	0.086
n	t͡n̥	0.083
f	ʰp	0.083
f	v_ʊ	0.083
v	-	0.077
m	mː	0.077
m	-	0.077
d̥	ʤ̊	0.062
d̥	j_ʊ	0.062
