Auvergnat	Auvergnat	probability
ˈɪ̃	ˈe	1.0
ˈɪ_l	l_ˈeː	1.0
ˈɛ	t_ˈe	1.0
ˈɔ̃	ˈu	1.0
ˈɔ_t	s_t	1.0
ˈɔ_s	s_u	1.0
ˈỹ	ˈy	1.0
ˈy_ʀ	ˈyː	1.0
ˈũ_ŋ	u	1.0
ˈũ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈã	ˈa	1.0
ˈa_l	ˈeː	1.0
ˈa_#>	ˈaː_#>	1.0
ʒ	ʒ	1.0
ʃ	s	1.0
ʀ_ˈɪ	r_ˈe	1.0
ʀ_ˈe	r	1.0
ɲ	ɲ	1.0
ɪ	s	1.0
ɡʲ	-	1.0
ə_#>	#>	1.0
ɔ_#>	#>	1.0
ŋ_d	n	1.0
y	u	1.0
w_ˈɔ̃	ˈu	1.0
w_b	r_b	1.0
w_#>	v_e_#>	1.0
vʲ	v	1.0
v_ˈa	v_ˈa	1.0
v	v	1.0
ũ	u	1.0
s_#>	u_#>	1.0
pʲ	k	1.0
p_l	ʧ	1.0
p	p	1.0
n_ɔ	ŋ_a	1.0
mʲ	m	1.0
lː	s_w	1.0
k_ʀ	k_r	1.0
k_w	k	1.0
k_l	ʧ	1.0
j_ˈɔ	ˈøː	1.0
j_ʀ	d	1.0
j_s	ˈa_ʃ	1.0
ĩ	i	1.0
fʲ	f	1.0
f_l	ʃ	1.0
f	f	1.0
dʲ	d	1.0
b_w	b	1.0
b_l	ʤ	1.0
ã_ŋ	a_ŋ	1.0
a_d	ɥ	1.0
<#_ʀ	<#_r	1.0
<#_ɒ	<#_a	1.0
<#_v	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
m	m	0.923
ɔ	a	0.896
ŋ	ŋ	0.854
ɡ	ɡ	0.8
#>	u_#>	0.78
ˈœ	ˈø	0.75
ʎ	ʤ	0.75
d	-	0.75
ʧ	k	0.731
t	t	0.722
s	s	0.721
ʀ_ɔ	j_a	0.714
w_ˈɔ	ˈøː	0.667
n	n	0.667
b	b	0.615
ˈẽ	ˈe	0.6
z	-	0.6
k	k	0.6
e	e	0.6
ˈɪ	ˈe	0.556
l	l	0.522
ˈa_w	ˈɔː	0.5
ˈa_w	j_ˈaː	0.5
ʀ_ə	ˈe_j	0.5
ʀ_ə	e	0.5
ʀ	r	0.5
i	j	0.5
i	i	0.5
ˈu	ˈuː	0.48
ʤ	z	0.474
ɒ	a	0.462
ˈi	ˈiː	0.444
ˈi	ˈi	0.444
ˈɔ	-	0.429
ə	e	0.425
ˈẽ	-	0.4
ˈa	ˈaː	0.4
z	ʒ	0.4
e	u	0.4
ɒ	-	0.385
j	-	0.385
b	v	0.385
u	u	0.375
u	-	0.375
ˈy	ˈyː	0.333
ˈy	ˈy	0.333
ˈy	ˈu	0.333
n	-	0.333
ʤ	ʤ	0.316
l	-	0.304
ə	u	0.3
ˈɔ	r_t	0.286
ˈɔ	r	0.286
ˈe	ˈeː	0.286
ʀ_ɔ	a	0.286
ˈu	ˈu	0.28
ˈa	ˈa	0.275
ˈe	ˈe	0.257
ˈœ	-	0.25
ʎ	l	0.25
w	ˈɔ	0.25
u	w	0.25
d	d	0.25
ɡ	ɡ_w	0.2
ʀ	-	0.196
ˈe	ˈɛ	0.171
#>	t_u_#>	0.171
ˈɪ	ˈɛː	0.167
ˈɪ	-	0.167
w_ˈɔ	ˈɔː	0.167
w_ˈɔ	ˈɔ	0.167
w	u	0.167
t	s_t	0.167
ˈu	-	0.16
k	ɡ_u	0.16
k	k_w	0.16
ɒ	e	0.154
j	w	0.154
j	t_u	0.154
j	t_e	0.154
j	j	0.154
ˈe	ˈɛː	0.143
ˈa	ˈɛː	0.125
w	ˈɔː	0.125
w	v	0.125
w	j	0.125
w	-	0.125
s	ʒ_e	0.116
ʧ	t	0.115
ˈɪ	ˈeː	0.111
ˈi	e	0.111
t	s	0.111
ʤ	ɡ	0.105
ʤ	-	0.105
ɔ	u	0.104
ʀ	e	0.087
l	ˈe_l	0.087
l	u	0.087
ˈe	-	0.086
w	ˈu	0.083
ˈu	w_ˈiː	0.08
k	ɡ	0.08
ʧ	s	0.077
ʧ	-	0.077
m	ŋ	0.077
ˈa	a	0.075
ˈa	-	0.075
ə	r_u	0.075
ŋ	ŋ_t	0.073
ŋ	n	0.073
s	ʒ	0.07
ʀ	r_n	0.065
ʀ	j	0.065
ˈe	ˈɛː_r	0.057
