Elfdalian	Elfdalian	probability
ˈʏ	ˈʏ	1.0
ˈʉ̃ːə̯	-	1.0
ˈɪ̃ː	ˈiː	1.0
ˈɛː	-	1.0
ˈɛ_r	ɾ	1.0
ˈɔ̃ː	ˈoː	1.0
ˈɑːu̯	ˈʉː	1.0
ˈɑː_ð	ˈɑː	1.0
ˈœ	ˈɔ	1.0
ˈyːœ̯	ˈøː	1.0
ˈyœ̯	ˈʏ	1.0
ˈiːe̯	ˈæɪ̯	1.0
ʨː	çː	1.0
ʨ	ç	1.0
ʥː	ɡː	1.0
ʥ	j	1.0
ʏ	-	1.0
ɽ_j	j	1.0
ɽ	l	1.0
ɣ	ɡ	1.0
ɡ_r	ɡ_ɾ	1.0
ɡ_#>	#>	1.0
ɛ_ɽ	l_e	1.0
ɔ̃	-	1.0
ɑ̃	e_ɾ	1.0
ŋ_ɡ	ŋː	1.0
ð	-	1.0
tʰ_j	ç	1.0
tʰ	tʰ	1.0
sː	sː	1.0
s_ʨ	ʂ	1.0
s_j	ʂ	1.0
s_#>	s_#>	1.0
s	s	1.0
rː	ɾ	1.0
r_t	ɾ_t	1.0
pː	ʰpː	1.0
pʰ	pʰ	1.0
p	p	1.0
nː_#>	ɾ_n_#>	1.0
nː	nː	1.0
n_d	nː	1.0
mː	m	1.0
m	m	1.0
l̥	s_l	1.0
lː	lː	1.0
l_d	lː	1.0
l	l	1.0
kʰ	kʰ	1.0
j_ˈʉːə̯	ˈyː	1.0
j_ˈæ	ˈɛ	1.0
f	f	1.0
b	b	1.0
a	-	1.0
<#_r	<#_ɾ	1.0
<#	<#_h	1.0
r	ɾ	0.942
t	t	0.906
d	d	0.9
n	n	0.897
k	k	0.895
ɡ	ɡ	0.875
ð_#>	#>	0.875
ˈɑ	ˈɑ	0.867
v	ʋ	0.846
ˈʉ	ˈʉ	0.8
ˈɑːi̯	ˈiː	0.778
ɔ	ɑ	0.778
w	ʋ	0.773
ɪ	-	0.75
tː	ʰtː	0.75
ˈɛ	ˈɛ	0.733
ˈæː	-	0.714
ˈɪ	ˈɪ	0.7
ɑ	ɑ	0.688
ɡː	ɡː	0.667
ɛ_r	ɾ	0.667
ˈʉːə̯	ˈuː	0.632
ˈɪː	ˈiː	0.615
ˈɔ	-	0.6
kː	ʰkː	0.6
ˈɔː	ˈoː	0.583
j	j	0.583
ˈɑː	ˈɑː	0.556
ˈœː	ˈæʉ̯	0.556
ˈʉː	ˈʉː	0.545
ˈʏː	ˈyː	0.5
ˈʏː	-	0.5
ʉ	e	0.5
ɛ	ə	0.5
ŋ	ŋ	0.5
ŋ	-	0.5
#>	ɡ_#>	0.5
#>	ɑ_#>	0.5
ˈʉə̯	ˈɔ	0.429
ˈoː	ˈæʉ̯	0.429
j	-	0.417
ˈɔ	ˈɑː	0.4
ˈæ	ˈeː	0.4
ˈæ	-	0.4
kː	k	0.4
ˈɪː	ˈeː	0.385
ʉ	-	0.375
ˈo	ˈɔ	0.333
ˈo	ˈɑ	0.333
ˈo	-	0.333
ɡː	jː	0.333
ɛ_r	e	0.333
ɛ	-	0.3
ˈʉə̯	ˈʊ	0.286
ˈʉə̯	ˈuː	0.286
ˈæː	ˈœʏ̯	0.286
ˈoː	ˈoː	0.286
ˈoː	-	0.286
ˈʉː	-	0.273
ˈɔː	-	0.25
ɪ	ɪ	0.25
tː	tː	0.25
ˈɑːi̯	ˈeː	0.222
ˈɑː	ˈɑ	0.222
ˈɑː	-	0.222
ˈœː	ˈœʏ̯	0.222
ˈœː	-	0.222
ɔ	-	0.222
ˈʉːə̯	ˈʉː	0.211
ɑ	e	0.208
ˈʉ	ˈʏ	0.2
ˈɪ	-	0.2
ˈæ	ˈæ	0.2
ɛ	e	0.2
ˈʉː	ˈʉ	0.182
ˈɔː	ˈɑ	0.167
ˈʉːə̯	-	0.158
v	-	0.154
w	kʰ_ʋ	0.136
ˈɛ	ˈæɪ̯	0.133
ˈɛ	ɾ	0.133
ˈɑ	-	0.133
ʉ	ʉ	0.125
ɡ	ɲ	0.125
ð_#>	d_#>	0.125
k	-	0.105
ˈɪ	ˈɛ	0.1
d	-	0.1
t	ʰtː	0.094
w	v	0.091
ɑ	-	0.062
r	ˈuː_ɾ	0.058
n	nː	0.051
n	-	0.051
