Logudorese	Logudorese	probability
ˈɛ_ɾ	ˈɛ_ɾ	1.0
ˈɔ_n	ˈo	1.0
ˈu_ɾ	ˈo	1.0
ˈi_l	ˈi	1.0
ˈa_n_a_#>	ˈa_#>	1.0
ʦ	θ	1.0
ʃ	-	1.0
ɾ_ˈɛ	ɾ_ˈe	1.0
ɾ_ʦ	l_s	1.0
ɾ_d	ɾ_ð	1.0
ɲ	ɲ	1.0
ɛ̆	-	1.0
ɛ_n	ɪ	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ŋ	-	1.0
z_ɔ̆_#>	s_#>	1.0
ŭ_#>	#>	1.0
u_l	β	1.0
u_#>	#>	1.0
t_a	t_ɐ	1.0
p_ˈi	p_ˈe	1.0
p_ɾ	ʧ	1.0
o_j	o	1.0
n_ʣ	ɲ	1.0
n_ɛ	ŋ	1.0
n_u	ŋ	1.0
n_a	ɐ	1.0
m_b	ŋ_k	1.0
l_ˈa	ˈa	1.0
l_u	ʊ	1.0
k_ɾ	ʧ	1.0
k_i	θ_i	1.0
i_#>	ɪ_#>	1.0
f_ɾ	ʧ	1.0
f	f	1.0
d	d	1.0
ă_#>	#>	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_θ	1.0
<#_b	<#	1.0
<#_a	<#	1.0
<#	<#_a	1.0
m	m	0.944
ɾ	ɾ	0.925
p	p	0.862
k	k	0.85
<#_i	<#_e	0.818
ð	ð	0.81
u	ʊ	0.808
ɣ_ɛ_#>	θ_#>	0.75
s	s	0.741
t	t	0.73
b	b	0.727
β	β	0.714
ɾ_u	ɾ_ʊ	0.714
e	-	0.714
a	ɐ	0.707
l	l	0.692
ˈa	ˈa	0.672
ˈi	ˈi	0.667
ɣ	ɣ	0.625
ɛ_ɾ	ɾ	0.611
ˈu	ˈu	0.588
ˈe	ˈe	0.588
z	s	0.588
ˈo	ˈɔ	0.579
ɔ	o	0.571
n	n	0.567
#>	ɐ_#>	0.556
ˈɛ	ˈɛ	0.545
ɛ	ɪ	0.5
r	ɾ_n	0.5
r	r	0.5
o	o	0.5
o	-	0.5
nː	ɲ	0.5
nː	-	0.5
i	-	0.5
ˈɛ	ˈe	0.455
#>	ɪ_#>	0.444
ˈo	ˈo	0.421
ˈɔ	ˈɔ	0.412
ˈe	ˈɛ	0.412
z	-	0.412
ʣ	ʃ	0.4
ʣ	ɟ	0.4
ɛ_ɾ	ˈe_ɾ	0.389
ˈɔ	ˈo	0.382
ɡ	ɡ	0.375
ɡ	-	0.375
i	e	0.375
l	-	0.308
ˈi	ˈe	0.289
β	-	0.286
ɾ_u	ɾ	0.286
ɔ	-	0.286
j	ɟ	0.286
j	j	0.286
j	-	0.286
e	e	0.286
ˈu	ˈo	0.265
ɣ_ɛ_#>	j_#>	0.25
ɣ	θ	0.25
ɡ	ɣ	0.25
a	a	0.213
ʣ	-	0.2
n	-	0.2
ð	-	0.19
<#_i	<#	0.182
n	ɲ	0.167
s	ʃ	0.148
ˈɔ	o	0.147
ɔ	w	0.143
j	β_j	0.143
ˈa	ˈɑ	0.141
ɛ	β_ɪ	0.139
ɛ	-	0.139
ɣ	-	0.125
i	i	0.125
b	ɡ	0.114
s	-	0.111
u	-	0.096
ˈa	a	0.094
ˈu	ˈɔ	0.088
t	ð	0.081
t	j_t	0.081
k	θ	0.075
k	-	0.075
p	β	0.069
p	ʧ	0.069
b	ʃ	0.068
n	ŋ	0.067
ˈa	ˈo_w	0.062
ˈɔ	ˈo_j	0.059
ˈu	ˈo_j	0.059
ɛ	β	0.056
ɛ	ˈe	0.056
ɛ	ɾ	0.056
ɛ	ŋ	0.056
m	ŋ	0.056
u	u	0.055
t	θ	0.054
t	-	0.054
