Occitan	Emilian	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#	1.0
<#_f	<#_f	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_ˈɔ	1.0
<#_ʤ	<#_ð	1.0
<#_ˈy	<#_ˈo	1.0
<#_ˈɔ	<#_ˈɔ	1.0
a_l	a_l	1.0
b	-	1.0
d_ɾ	d_e	1.0
e_#>	r_#>	1.0
e_r	a_r	1.0
i	i	1.0
j	-	1.0
j_s	s_e	1.0
j_ˈɛ	ˈɛ	1.0
k	k	1.0
l_#>	l_#>	1.0
m_#>	m_#>	1.0
n_#>	ŋ_t_#>	1.0
n_t	ŋ_t	1.0
r	r	1.0
r_#>	r_e_n	1.0
s_#>	s_#>	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t	t	1.0
t_ɾ	t_e	1.0
u_l	u_l	1.0
w_#>	v_#>	1.0
w_ɾ	v_e	1.0
y	u	1.0
z	d	1.0
ŋ	ŋ	1.0
ɔ	-	1.0
ɔ_#>	a_#>	1.0
ɡ_l	ʤ	1.0
ɣ	ɡ	1.0
ɥ	-	1.0
ɥ_ˈɔ	ˈuː	1.0
ɲ	ɲ	1.0
ɲ_ɔ	ɲ_#>	1.0
ɾ_e	e_r	1.0
ʤ_e	d_i	1.0
ʦ_#>	z_#>	1.0
ʧ_#>	t_#>	1.0
ˈa_j	ˈɛ	1.0
ˈa_t	ˈɛ_#>	1.0
ˈa_w	ˈɔː	1.0
ˈa_ɣ	ˈɛ_ɡ	1.0
ˈa_ɲ	ˈaː_ɲ	1.0
ˈe_j	ˈa	1.0
ˈi_#>	ˈiː_r_#>	1.0
ˈu_#>	ˈʌ_ŋ_#>	1.0
ˈɔ_r	ˈɔː_r	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɛ_r	ˈɛ_r	1.0
β_l	b_j	1.0
e	-	0.571
l	j	0.381
ɾ	z	0.061
ɾ	d_e	0.091
ɾ	-	0.091
ˈa	ˈa	0.171
ˈa	ˈaː	0.341
ˈa	ˈɛ	0.341
ˈe	ˈa_j	0.261
ˈi	ˈe	0.391
ˈu	ˈɔ	0.1
ˈu	ˈʌ	0.1
ˈɛ	ˈɛː	0.171
<#_k	<#	0.062
s	-	0.412
ð	t	0.222
β	b	0.2
#>	r_#>	0.733
<#_s	<#_s	0.63
l	ʧ	0.333
m	m	0.833
n	ɲ	0.13
u	-	0.333
ˈe	ˈe	0.13
ˈe	ˈæ	0.13
ˈu	ˈuː	0.133
ˈɔ	ˈɔ	0.333
<#_ˈa	<#	0.444
a	a	0.824
n	ŋ	0.174
t_#>	d_#>	0.364
ʎ	j	0.714
ˈa_#>	ˈɛ_r_#>	0.714
ˈe	ˈiː	0.174
ˈe	ˈa	0.304
ˈi	ˈiː	0.174
ˈi	ˈe_ŋ	0.174
ˈɛ	ˈiː	0.114
ˈɛ	-	0.114
ˈɛ	ˈæ	0.114
ˈɛ	ˈa	0.114
ˈɛ	ˈɛ	0.314
e	e_n	0.095
e	i	0.095
k_#>	ɡ_#>	0.5
k_#>	k_#>	0.5
s	θ	0.235
s	z	0.235
ʤ	ð	0.5
ʤ	-	0.5
ˈy	ˈuː	0.455
ˈy	ˈo	0.545
<#_ˈa	<#_ˈaː	0.556
a	u	0.176
l	l	0.286
n	n	0.696
t_#>	t_#>	0.636
w	ˈɛ	0.286
w	ˈɔː	0.286
ʎ	ʧ	0.286
ˈa_#>	ˈa_ŋ_#>	0.286
#>	θ_#>	0.267
<#_s	<#_θ	0.37
m	ŋ	0.167
u	u	0.667
ˈi	ˈi	0.087
ˈi	e_r	0.087
ˈi	-	0.087
ˈu	-	0.067
ˈu	ˈɔː	0.067
ˈu	ˈo	0.167
ˈu	ˈʌu̯	0.367
ˈɔ	ˈɔː	0.667
ˈɛ	ˈa_j	0.057
<#_k	<#_k	0.938
e	e	0.238
s	p	0.118
ð	d	0.778
ɾ	r	0.758
β	v	0.8
w	-	0.429
