Yiddish	Dutch	probability
b	b	0.664
b	v	0.229
b	f	0.101
d	d	0.578
d	t	0.272
d	-	0.143
d_z	s	1.0
f	v	0.66
f	p	0.23
f	f	0.1
h	ɦ	0.985
h	k	0.043
j	j	1.0
k	k	0.717
k	χ	0.238
k	ŋ	0.047
k	ɦ	0.04
k_s	s	1.0
l	ɫ	0.865
l	l	0.117
m	m	0.976
m	n	0.045
m_ɛ	m	1.0
n	n	0.944
n	-	0.055
p	p	0.644
p	f	0.254
s	t	0.808
s	s	0.176
t	t	0.662
t	d	0.315
t	-	0.041
v	ʋ	0.907
v	v	0.051
v	-	0.048
z	z	0.589
z	s	0.409
ŋ	ŋ	0.355
ŋ	n	0.234
ŋ_ɡ	ŋ	1.0
ə	ə	0.643
ə	-	0.355
ɛ	-	0.519
ɛ_m	m	1.0
ɡ	χ	0.88
ɡ	-	0.071
ɡ	ŋ	0.05
ɪ	ə	0.561
ɪ	ɪ	0.291
ʀ	ɾ	0.951
ʀ	-	0.038
ʁ	ɾ	0.407
ʁ	-	0.269
ʃ	s	0.636
ʃ	s_χ	0.198
ʃ	z	0.154
ʎ	ɫ	0.519
ʦ	t	1.0
ʧ	s	1.0
ˈa	ˈɑ	0.756
ˈa	ˈaː	0.115
ˈa	ˈɛ	0.079
ˈa	ˈɪ	0.045
ˈa_l	ˈɑu̯	1.0
ˈaɪ̯	ˈɛi̯	0.463
ˈaɪ̯	ˈyː	0.109
ˈaɪ̯	ˈœy̯	0.109
ˈaɪ̯	ˈi	0.107
ˈaɪ̯	ˈɪ	0.095
ˈi	ˈoː	0.519
ˈɔ	ˈaː	0.335
ˈɔ	ˈɔ	0.233
ˈɔ	ˈɑ	0.175
ˈɔ	ˈoː	0.128
ˈɔ	ˈɛ	0.059
ˈɔɪ̯	ˈoː	0.666
ˈɔɪ̯	ˈœy̯	0.268
ˈɔɪ̯	ˈɑu̯	0.05
ˈɔɪ̯	ˈɔ	0.04
ˈɛ	ˈeː	0.295
ˈɛ	ˈɛ	0.235
ˈɛ	ˈaː	0.181
ˈɛ	ˈɑ	0.076
ˈɛ	ˈi	0.068
ˈɛɪ̯	ˈeː	0.706
ˈɛɪ̯	ˈɛi̯	0.173
ˈɛɪ̯	ˈoː	0.114
ˈɪ	ˈɪ	0.401
ˈɪ	ˈi	0.182
ˈɪ	ˈɛ	0.112
ˈɪ	ˈu	0.104
ˈɪ	ˈeː	0.071
ˈɪ_n	ˈɛi̯	0.27
ˈʊ	ˈu	0.463
ˈʊ	ˈɔ	0.442
ˈʊ	ˈoː	0.09
ˈʊ_k	ˈɔ	0.519
χ	χ	0.488
χ	k	0.435
χ	-	0.071
