Yiddish	Dutch	probability
h	ɦ	1.0
j	j	1.0
m	m	1.0
p	p	1.0
v	ʋ	1.0
ŋ	ŋ	1.0
ə	ə	1.0
ʦ	t	1.0
ʧ	s	1.0
b	b	0.61
f	p_ə	0.101
s	t	0.431
t	d	0.351
z	z	0.71
ɡ	χ_ə	0.31
ʀ	-	0.081
ʀ	ɾ	0.891
ʃ	z	0.121
ʃ	s	0.511
ˈɪ	ˈi	0.131
t	d̥	0.292
ˈɔ	ˈaː	0.42
ˈɔɪ̯	ˈɔ	0.072
ˈɛɪ̯	ˈeː	0.902
ˈɪ	ˈɛi̯	0.072
d	-	0.103
z	z_ə	0.053
ˈaɪ̯	ˈœy̯	0.113
χ	k	0.523
b	v̥	0.174
k	χ	0.184
s	s	0.184
ɡ	χ	0.634
ˈa	ˈaː	0.104
ˈɔ	ˈɑ	0.104
ˈɪ	ˈɛ	0.134
f	v	0.645
k	k	0.785
n	ə_n	0.145
ɪ	ə	0.355
ɪ	ɪ	0.645
ˈaɪ̯	ˈɪ	0.065
ˈɛ	ˈaː	0.155
b	v	0.216
s	t_ə	0.386
ɡ	-	0.056
ˈaɪ̯	ˈi	0.226
ˈɛ	ˈɑ	0.076
ˈɪ	ˈu	0.066
ˈɪ	ˈʏ	0.076
ˈɪ	ˈɪ	0.496
ˈʊ	ˈoː	0.126
ˈʊ	ˈɔ	0.596
z	s	0.157
ˈa	ˈɑ	0.817
ˈɔɪ̯	ˈœy̯	0.27
ˈɛ	ˈi	0.067
ˈɛ	ˈʏ	0.07
ˈɛ	ˈeː	0.247
ˈɛ	ˈɛ	0.327
χ	χ	0.447
d	d̥	0.318
f	p	0.188
t	t	0.358
ʃ	s_χ	0.368
ˈaɪ̯	ˈeː	0.168
ˈaɪ̯	ˈɛi̯	0.428
ˈɔ	ˈoː	0.218
ˈɔ	ˈɔ	0.218
ˈɔɪ̯	ˈoː	0.658
ˈɛɪ̯	ˈɛi̯	0.098
ˈʊ	ˈu	0.278
d	d	0.579
l	ɫ	0.989
n	n	0.819
z	z̥	0.079
ˈa	ˈɛ	0.079
ˈɛ	ˈoː	0.059
