Gallurese	Gallurese	probability
ˈɛ_ɖː	oʊ̯	1.0
ˈɛ_n	ã	1.0
ˈɔ_r	aœ̯_ʁ	1.0
ˈɔ_n	ɒ̃ʊ̯̃	1.0
ˈɔ_l	ɑɔ̯_ʁ	1.0
ˈɔ_k	øʏ̯	1.0
ˈɔ_j	u	1.0
ˈɔ_d	øʏ̯	1.0
ˈɔ_cː	u	1.0
ˈu_tː	u	1.0
ˈu_t	y	1.0
ˈu_n	œ̃ʏ̯̃	1.0
ˈo_n	ɒ̃ʊ̯̃	1.0
ˈi_n	ẽɪ̯̃	1.0
ˈa_ŋ	ã	1.0
ˈa_z	e	1.0
ˈa_n	ẽɪ̯̃	1.0
ˈa_l	oʊ̯	1.0
ˈa_i	e	1.0
ˈa_#>	e_#>	1.0
ʧː	-	1.0
ʧ_ˈɛ	s	1.0
ʧ_i_#>	#>	1.0
ʦː	-	1.0
ʦ	s	1.0
ʤ	-	1.0
ʣ	-	1.0
ʒ	-	1.0
ʃː	-	1.0
ɲː_u	ẽɪ̯̃	1.0
ɲː_a	ɲ	1.0
ɟː	-	1.0
ɟ	ʒ	1.0
ɖː_u	ʁ	1.0
ɖː_a	l	1.0
ɖː	l	1.0
ɔ	ɒ̃ʊ̯̃	1.0
ŋ	-	1.0
z	-	1.0
w	-	1.0
v	v	1.0
u_n	ɒ̃ʊ̯̃	1.0
u_#>	#>	1.0
tː_u	i	1.0
t_a_#>	#>	1.0
sː_u	s	1.0
s_t	t	1.0
s_p	e_p	1.0
rː	ʁ	1.0
r_ˈa	ʁ	1.0
r	ʁ	1.0
o	-	1.0
n_t	ã	1.0
n_a	n	1.0
k_r	k_ʁ	1.0
k_a	ʃ	1.0
j_u	ʒ	1.0
j	l	1.0
fː	f	1.0
f_j	f_l	1.0
f	f	1.0
e	-	1.0
d_ˈe	ɛ_ʁ	1.0
cː	j	1.0
c	k_l	1.0
bː	-	1.0
a_r	ʁ	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ɔ	1.0
<#_ˈo	<#	1.0
<#_ˈa	<#_æɛ̯	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
s	s	0.85
m	m	0.833
b	b	0.833
p	p	0.743
ɡ	ɡ	0.667
i	-	0.661
tː	t	0.625
d	-	0.6
l	l	0.55
t	-	0.526
ˈo	œ	0.5
ˈo	-	0.5
ʧ	s	0.5
ʧ	-	0.5
nː	d	0.5
nː	-	0.5
mː	m	0.5
mː	-	0.5
l_u	ɛ_l	0.5
l_u	l	0.5
a	a	0.5
<#_a	<#_a	0.5
<#_a	<#	0.5
k	k	0.469
ˈa	æɛ̯	0.448
#>	j_#>	0.429
tː	-	0.375
k	ʃ	0.375
t	t	0.368
ˈɔ	-	0.353
ˈe	j	0.333
ɡ	-	0.333
n	n	0.333
ˈu	y	0.3
l	ʁ	0.3
ˈɛ	w_ɛ	0.286
#>	ʁ_#>	0.286
#>	ɛ_#>	0.286
ˈe	i	0.278
ˈa	a	0.276
ˈi	ɪ	0.27
n	-	0.267
ˈɛ	-	0.238
u	u	0.231
ˈe	-	0.222
ˈu	u	0.2
n	ẽɪ̯̃	0.2
n	ã	0.2
d	ʣ	0.2
d	s	0.2
ˈɛ	æɛ̯	0.19
ˈɔ	ɔ	0.176
ˈɔ	u	0.176
ˈɔ	o	0.176
p	-	0.171
ˈe	ɛ	0.167
m	-	0.167
b	v	0.167
a	æɛ̯	0.167
k	-	0.156
u	-	0.154
ˈu	w	0.15
ˈu	-	0.15
s	e	0.15
l	-	0.15
ˈɛ	ɛ	0.143
ˈɛ	ã	0.143
ˈi	ɛ	0.135
ˈi	i_ʁ	0.135
i	w	0.119
ˈɔ	ɥ	0.118
u	ɔ	0.115
u	øʏ̯	0.115
u	f	0.115
u	e	0.115
a	v	0.111
a	n	0.111
a	-	0.111
t	ʦ	0.105
ˈa	ɛ	0.103
ˈa	-	0.103
ˈu	ʏ	0.1
ˈu	ʊ	0.1
p	v	0.086
i	i	0.085
ˈi	w_ɛ	0.081
ˈi	w	0.081
ˈi	i	0.081
u	ɛ	0.077
u	i	0.077
ˈa	ã	0.069
ˈi	æɛ̯	0.054
ˈi	e	0.054
ˈi	d_ʁ	0.054
ˈi	-	0.054
i	œ	0.051
i	e	0.051
