West Flemish	Alsatian	probability
b	b̥	1.0
h	x	1.0
j	j	1.0
l	l	1.0
m	m	1.0
p	f	1.0
v̥	b̥	1.0
w	l	1.0
ŋ	ŋ	1.0
ɦ̥	-	1.0
ˈi	ˈiː	1.0
ˈɛ	ˈe	1.0
ˈɪ	ˈi	1.0
s	<#_h	0.1
s	s	0.241
t	t	0.241
t	ʦ	0.281
v	f	0.981
z	ʃ	0.11
ɦ	v	0.131
ˈeː	ˈei̯	0.071
ˈiə̯	ˈiː	0.631
ˈoː	ˈeː	0.131
ˈuə̯	ˈiː	0.321
ˈyː	ˈi	0.081
ˈœ	ˈo	0.391
ˈɒː	ˈɒ	0.441
ˈɔ	ˈu	0.891
ˈɛː	ˈeː	0.11
d	t	0.262
k	i_ʃ	0.082
n	ə	0.302
n	n	0.682
s	ʃ	0.632
ˈeː	ˈæː	0.102
ˈoː	ˈʊː	0.112
ˈoː	ˈu	0.122
ˈu	h_ˈu	0.292
ˈæ	ˈi	0.12
d̥	-	0.083
d̥	d̥	0.363
ˈeː	ˈəi̯	0.433
ˈiə̯	ˈeː	0.103
ˈu	ˈɒ_l	0.433
ˈæ	ˈæ	0.513
d̥	t	0.554
ɾ	ə_ʁ	0.164
ˈuə̯	ˈøː	0.054
ˈɑ	ˈɒ	0.704
ˈɒː	ˈæː	0.124
k	ʃ	0.275
k	kʰ	0.525
ə	ə	0.95
ɦ	j	0.105
ˈu	ˈu	0.275
ˈuə̯	ˈʊː	0.625
ˈɒː	ˈoː	0.435
ɦ	ɡ̊	0.636
ɾ	ʁ	0.836
ˈeː	ˈe	0.126
ˈiə̯	ˈei̯	0.266
ˈoː	ˈo	0.346
ˈɑ	ˈɒː	0.296
ɦ	-	0.127
ʋ	ʋ	0.97
d	d̥	0.738
k	k	0.118
ˈoː	ˈoː	0.288
ˈæ	ˈe	0.368
t	s	0.479
z	s	0.89
ˈeː	ˈæ	0.269
ˈyː	ˈyː	0.919
ˈœ	ˈu	0.609
ˈɔ	ˈo	0.109
ˈɛː	ˈəi̯	0.89
