Westphalian	Dutch	probability
aɪ̯	i	1.0
b	b	0.992
d	d	0.62
d	t	0.351
f	v	0.943
f	f	0.057
h	ɦ	1.0
j	j	1.0
k	k	0.887
k	-	0.075
l	ɫ	0.963
m	m	0.946
m	-	0.054
n	n	0.972
p	p	0.975
r	ɾ	1.0
s	z	0.548
s	s	0.452
t	t	0.876
t	ɾ_t	0.078
v	f	0.449
v	v	0.362
v	ʋ	0.189
w	ʋ	1.0
x	χ	1.0
z	z	0.845
z	s	0.155
ç	χ	0.74
ç	χ_t	0.154
ç	ŋ	0.106
ŋ	ŋ	0.831
ŋ	n	0.116
ŋ	-	0.053
ɐ	ɾ	0.554
ɐ	ə	0.37
ɐ	ˈɛi̯	0.052
ə	-	0.945
ə	ə	0.055
ɡ	χ	1.0
ɣ	χ	1.0
ɪ	ə	0.744
ɪ	ɪ	0.256
ʃ	s	0.531
ʃ	s_χ	0.414
ʃ	z	0.055
ˈa	ˈɑ	0.921
ˈa	ˈoː	0.061
ˈaɪ̯	ˈi	0.749
ˈaɪ̯	ˈoː	0.126
ˈaɪ̯	ˈɛi̯	0.057
ˈaʊ̯	ˈoː	0.822
ˈaʊ̯	ˈɑ	0.072
ˈaʊ̯	ˈu	0.053
ˈaʊ̯	ˈɑu̯	0.053
ˈaː	ˈaː	0.633
ˈaː	ˈɑ	0.367
ˈeː	ˈeː	0.89
ˈeː	ˈi	0.099
ˈiə̯	ˈeː	1.0
ˈiɛ̯	ˈeː	0.383
ˈiɛ̯	j	0.25
ˈiɛ̯	ˈɛ	0.237
ˈiɛ̯	ˈaː	0.131
ˈiː	ˈɛi̯	0.837
ˈiː	ˈi	0.125
ˈoː	ˈu	0.907
ˈoː	ˈoː	0.093
ˈuə̯	ˈoː	0.59
ˈuə̯	ˈu	0.41
ˈuː	ˈœy̯	0.714
ˈuː	ˈɔ	0.163
ˈuː	ˈyː	0.123
ˈuːə̯	ˈɔ_ɾ	0.427
ˈuːə̯	ˈoː	0.42
ˈuːə̯	ˈɔ	0.153
ˈyə̯	ˈʏ	1.0
ˈyː	ˈyː	0.405
ˈyː	ˈœy̯	0.337
ˈyː	ˈoː	0.258
ˈyːœ̯	ˈoː	1.0
ˈø	ˈi	0.585
ˈø	ˈɛ	0.415
ˈøː	ˈu	0.814
ˈøː	ˈoː	0.186
ˈœː	ˈoː_ɾ	0.647
ˈœː	ˈaː	0.353
ˈɒː	ˈaː	1.0
ˈɔ	ˈɔ	0.903
ˈɔ	ˈoː	0.097
ˈɔː	ˈaː	0.924
ˈɔː	ˈoː	0.076
ˈɛ	ˈɛ	0.869
ˈɛ	ˈɑ	0.079
ˈɛ	ˈɪ	0.052
ˈɛː	ˈeː	0.407
ˈɛː	ˈɛ	0.339
ˈɛː	ˈɑ	0.133
ˈɛː	ˈaː	0.122
ˈɪ	ˈɪ	0.927
ˈɪə̯	ˈeː	0.784
ˈɪə̯	ˈøː	0.216
ˈɪɛ̯	ˈeː	0.511
ˈɪɛ̯	ˈɛ	0.321
ˈɪɛ̯	ˈi	0.107
ˈɪɛ̯	ɾ	0.06
ˈʊ	ˈɔ	0.907
ˈʊ	ˈœy̯	0.093
ˈʏ	ˈʏ	0.592
ˈʏ	ˈɛ	0.221
ˈʏ	ˈɑu̯	0.186
