Westphalian	Dutch	probability
b	b	0.941
b	p	0.059
d	d	0.535
d	t	0.377
d	-	0.084
f	v	0.822
f	f	0.171
h	ɦ	1.0
j	j	1.0
k	k	0.969
k	χ	0.046
l	ɫ	0.859
l	l	0.075
l_t	t	1.0
m	m	0.938
m	n	0.059
n	n	0.956
n	-	0.044
p	p	1.0
r	ɾ	1.0
s	z	0.464
s	s	0.454
s	n_s	0.075
t	t	0.981
v	v	0.502
v	ʋ	0.324
v	f	0.138
w	ʋ	1.0
x	χ	1.0
z	z_ə	0.644
z	s	0.254
ç	χ	0.57
ç	χ_t	0.238
ç	-	0.094
ç	ŋ	0.094
ŋ	ŋ	0.847
ŋ	ə	0.144
ɐ	ɾ	0.508
ɐ	ə	0.492
ə	-	0.96
ə	ə	0.053
ɡ	χ	1.0
ɣ	χ	1.0
ɪ	ə	0.683
ɪ	ɪ	0.234
ʃ	s	0.553
ʃ	s_χ	0.304
ʃ	z	0.124
ʃ_k	s	1.0
ˈa	ˈɑ	0.916
ˈa	ˈoː	0.049
ˈa	ˈɛ	0.049
ˈaɪ̯	ˈi	0.774
ˈaɪ̯	ˈaː	0.086
ˈaɪ̯	ˈoː	0.064
ˈaɪ̯	ˈɛi̯	0.06
ˈaɪ̯	w	0.054
ˈaʊ̯	ˈoː	0.759
ˈaʊ̯	ˈu	0.085
ˈaʊ̯	ˈɑu̯	0.082
ˈaʊ̯	ˈɑ	0.076
ˈaː	ˈaː	0.603
ˈaː	ˈɑ	0.389
ˈeː	ˈeː	0.743
ˈeː	ˈɛi̯	0.128
ˈeː	ˈi	0.128
ˈiə̯	ˈeː	0.519
ˈiɛ̯	ˈaː	0.519
ˈiː	ˈɛi̯	0.778
ˈiː	ˈi	0.127
ˈiː	w	0.084
ˈoː	ˈu	0.903
ˈoː	ˈoː	0.087
ˈuə̯	ˈoː	0.343
ˈuə̯	ˈu	0.178
ˈuː	ˈœy̯	0.648
ˈuː	ˈɔ	0.328
ˈuːə̯	ˈɔ_ɾ	0.549
ˈuːə̯	ˈɔ	0.174
ˈuːə̯	ˈoː	0.137
ˈyə̯	ˈʏ	0.519
ˈyː	ˈyː	0.306
ˈyː	ˈœy̯	0.306
ˈyː	ˈoː	0.202
ˈyː	-	0.138
ˈyːœ̯	ˈoː	0.519
ˈø	ˈi	1.0
ˈøː	ˈu	0.761
ˈøː	ˈoː	0.232
ˈœː	ˈoː_ɾ	0.629
ˈœː	ˈaː	0.361
ˈɒː	ˈaː	1.0
ˈɔ	ˈɑu̯	0.514
ˈɔ	ˈɔ	0.474
ˈɔː	ˈaː	0.82
ˈɔː	ˈoː	0.176
ˈɛ	ˈɛ	0.831
ˈɛ	ˈɪ	0.095
ˈɛ	ˈɑ	0.076
ˈɛː	ˈaː	0.28
ˈɛː	ˈɛ	0.28
ˈɛː	ˈeː	0.181
ˈɛː	ˈɑ	0.181
ˈɪ	ˈɪ	0.892
ˈɪ	-	0.059
ˈɪ	ˈɛi̯	0.055
ˈɪə̯	ˈeː	0.683
ˈɪə̯	ˈøː	0.234
ˈɪɛ̯	ˈeː	0.617
ˈɪɛ̯	ˈɛ	0.188
ˈɪɛ̯	ɾ	0.097
ˈɪɛ̯	ˈi	0.061
ˈʊ	ˈɔ	0.795
ˈʊ	ˈœy̯	0.199
ˈʏ	ˈɑu̯	0.37
ˈʏ	ˈʏ	0.335
ˈʏ	ˈɛ	0.08
