Old Church Slavonic	Old Church Slavonic	probability
ˈ	-	1.0
ʧ	k	1.0
ʦ	-	1.0
ʒ	ɡ	1.0
ʃ	k	1.0
ɯ_ˈ	u	1.0
ɯ	uː	1.0
ɡ	ɡ	1.0
ɛ_ˈ	e	1.0
ɛ_d	ai̯	1.0
ɔ_ˈ	a	1.0
æ	-	1.0
x	s	1.0
t_ɪ	t	1.0
t	t	1.0
s_t	s_t	1.0
s	s	1.0
r	r	1.0
p	p_i	1.0
m	m	1.0
lʲ_ɑ	eː	1.0
l	l	1.0
j	-	1.0
i_ˈ	oːu̯	1.0
d	d	1.0
b	b	1.0
a	v_o	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#	<#_a	1.0
n	n	0.818
v	v	0.8
#>	s_#>	0.8
i	-	0.778
z	z	0.727
k	k	0.667
ɑ	-	0.583
ɛ	-	0.571
ɪ	-	0.5
ɛ̃	n	0.5
ɛ̃	e_n	0.5
ɔ	-	0.444
ɪ	i	0.438
ɛ	e	0.429
ɑ	o	0.417
u	u	0.4
u	au̯	0.4
ʊ	i	0.355
ɔ	o	0.333
k	-	0.333
z	-	0.273
ɔ	a	0.222
i	o_n	0.222
v	w	0.2
u	aːu̯	0.2
#>	n_#>	0.2
ʊ	a	0.194
n	n_a	0.182
ʊ	-	0.161
ʊ	a_s	0.129
ʊ	e_n	0.097
ʊ	s	0.065
ɪ	aː	0.062
