Occitan	French	probability
b	b	1.0
d	d	1.0
f	f	1.0
i	i	1.0
r	ʁ	1.0
ð	-	1.0
ʎ	-	1.0
ʤ	ʒ	1.0
p	p	0.851
ɲ	ɛ̃	0.541
β	b	0.101
a	-	0.232
a	a	0.672
n	ɛ̃	0.222
n	n	0.752
v	v_w	0.062
z	-	0.832
ɣ	-	0.882
ʒ	ʒ	0.592
ˈa	ɛ	0.252
ˈu	œ_ʁ	0.102
ˈɛ	-	0.152
e	ə	0.203
k	ʃ	0.443
w	ɔ	0.253
ˈa	ɛ̃	0.113
ˈi	i_ʁ	0.133
l	l	0.834
s	-	0.114
t	t	0.64
u	ɔ	0.424
ŋ	ɑ̃	0.124
ɔ	a	0.54
ɡ	ɡ	0.974
ɥ	ɥ	0.604
ˈa	a	0.234
ˈy	y	0.844
ˈɔ	-	0.204
ˈɛ	ɛ	0.164
β	v	0.634
e	-	0.75
j	-	0.355
j	a	0.645
l	-	0.125
ɾ	ʁ	0.955
ˈa	-	0.075
ˈu	ɔ̃	0.345
a	ɛ	0.096
t	-	0.36
ŋ	-	0.876
ɔ	-	0.46
ˈe	ə	0.056
ˈe	ɛ	0.396
ˈi	e	0.056
ˈi	i	0.606
ˈy	w	0.156
ˈɛ	i	0.236
β	-	0.266
k	k	0.557
s	s	0.87
u	u	0.257
w	-	0.747
ɥ	œ	0.257
ˈa	e	0.287
ˈu	u	0.507
ˈɔ	œ	0.057
m	m	0.968
v	v	0.938
z	z	0.168
ɣ	ɡ	0.118
ʒ	-	0.408
ˈi	ɛ̃	0.158
ˈɔ	ɔ	0.738
ˈɛ	j	0.448
p	-	0.149
u	-	0.319
ɥ	-	0.139
ɲ	ɲ	0.459
ˈe	w_a	0.119
ˈe	w	0.429
