Faroese	Bavarian	probability
a	n	0.521
a	a	0.186
a	d̥_n	0.105
a	-	0.085
b̥	b̥	1.0
d̥	d̥	0.808
d̥	t	0.178
f	f	0.979
h	h	0.941
h	-	0.059
j	-	0.565
j	ˈe	0.136
j	d̥	0.101
j	ŋ	0.089
j	ˈɛ	0.068
k	x	0.596
k	ç	0.267
k	ɡ̊	0.082
k	k	0.054
kʰ	kʰ	0.736
kʰ	ʋ	0.211
kʰ	f	0.053
l	l	0.714
l	j	0.149
l	i	0.073
l	-	0.064
l̥	j	0.869
l̥	ə	0.131
m	m	0.977
n	n	0.793
n	d̥	0.098
n	-	0.094
nː	n	0.915
nː	l	0.052
n̥	n	0.802
n̥	a	0.198
p	f	1.0
r	-	0.864
r	r	0.136
s	s	0.743
s	ʃ	0.241
sː	s	1.0
t	-	0.317
t	s	0.302
t	t	0.246
t	ʦ	0.101
tʰ	d̥	0.426
tʰ	ʦ	0.337
tʰ	-	0.136
tʰ	b̥	0.055
tː	p͡f	0.808
tː	p	0.192
v	ʋ	0.354
v	m	0.193
v	b̥	0.177
v	-	0.154
v	f	0.074
w	d̥	0.654
w	-	0.173
w	a	0.109
w	j	0.051
ŋ	ŋ	0.941
ŋ	ˈi	0.059
ɑ	n	1.0
ə	a	1.0
ɛ	-	1.0
ɡ̊	ɡ̊	0.489
ɡ̊	-	0.378
ɡ̊	ŋ	0.134
ɡ̊ː	-	0.403
ɡ̊ː	ɡ̊	0.403
ɡ̊ː	k	0.194
ɪ	-	0.511
ɪ	a	0.288
ɪ	ə	0.201
ɲ	ŋ	1.0
ɹ	-	0.606
ɹ	r	0.217
ɹ	ɐ	0.153
ʃ	ʃ	0.63
ʃ	s	0.256
ʃ	-	0.114
ʈ	ʦ	1.0
ʊ	-	0.887
ʊ	i	0.055
ʊ̯ˈiː	ˈai̯	1.0
ʎ	j	1.0
ʤ̊	ɡ̊	0.649
ʤ̊	n	0.209
ʤ̊	d̥	0.142
ʤ̊ː	-	0.521
ʤ̊ː	ɡ̊	0.479
ʧ	x	0.5
ʧ	ç	0.5
ʧʰ	d̥	0.57
ʧʰ	kʰ	0.388
ʧː	n	1.0
ʰkː	k	0.672
ʰkː	ŋ	0.328
ʰp	f	0.848
ʰp	p͡f	0.152
ʰpː	f	1.0
ʰt	s	1.0
ʰtː	x_t	0.63
ʰtː	ʦ	0.37
ʰʧ	k	1.0
ʰʧː	k	1.0
ˈa	ˈa	0.387
ˈa	ˈoɐ̯	0.176
ˈa	-	0.146
ˈa	ˈo	0.137
ˈa	ˈɒ	0.058
ˈai̯	ˈoɐ̯	0.895
ˈai̯	ˈai̯	0.105
ˈaːi̯	ˈoɐ̯	1.0
ˈeə̯	ˈɛ	1.0
ˈeː	ˈi	0.372
ˈeː	ˈeː	0.271
ˈeː	ˈɛ	0.142
ˈeː	ˈo	0.142
ˈeː	ˈe	0.073
ˈiː	ˈi	0.527
ˈiː	ˈo	0.312
ˈiː	ˈeː	0.094
ˈiː	ˈy	0.067
ˈoː	-	0.545
ˈoː	ˈo	0.266
