Faroese	Bavarian	probability
a	n	0.447
a	-	0.309
a	a	0.16
a	ə	0.034
a	ŋ	0.031
b̥	b̥	1.0
d̥	d̥	0.944
d̥	t	0.056
f	f	0.902
f	-	0.093
h	h	0.981
h	-	0.035
j	-	0.501
j	ˈe	0.17
j	d̥	0.111
j	t	0.097
j	ˈɛ	0.072
j_ʊ	d̥	1.0
k	x	0.409
k	ç	0.303
k	ɡ̊	0.174
k	k	0.081
kʰ	kʰ	0.613
kʰ	ʋ	0.22
kʰ	-	0.063
kʰ	f	0.062
l	l	0.756
l	i	0.074
l	j_b̥	0.074
l	-	0.062
l	j	0.041
l_ʊ	j	1.0
l̥	j	1.0
m	m	1.0
m_ʊ	m	1.0
n	n	0.688
n	-	0.275
n	d̥	0.04
nː	n	0.594
nː	l	0.259
nː	ˈau̯	0.095
n̥	n	0.453
n̥	a	0.276
n̥	-	0.192
p	f	1.0
p_ʊ	f	1.0
r	r	0.486
s	s	0.72
s	ʃ	0.261
s	x	0.029
s_k	ʃ	1.0
sː	s	0.486
t	s	0.447
t	t	0.286
t	-	0.156
t	ʦ	0.1
tʰ	ʦ	0.556
tʰ	d̥	0.403
tː	p	0.486
tː	p͡f	0.056
v	ʋ	0.326
v	-	0.317
v	b̥	0.164
v	f	0.062
v	x	0.054
v_a	m	1.0
v_ʊ	f	0.486
w	d̥	0.637
w	ə	0.128
w	-	0.095
w	j	0.092
w	a	0.037
ŋ	ŋ	0.796
ŋ	ˈi	0.202
ə	a	0.486
ɛ	-	0.486
ɡ̊	-	0.493
ɡ̊	ɡ̊	0.436
ɡ̊	ŋ	0.066
ɪ	-	0.684
ɪ	ə	0.141
ɪ	a	0.091
ɪ_ɹ	a	1.0
ɲ	ŋ	0.486
ɹ	-	0.612
ɹ	r	0.242
ɹ	ɐ	0.13
ɹ_ʈ	ʦ	0.486
ʃ	ʃ	0.677
ʃ	m	0.179
ʃ	s	0.12
ʈ	ʦ	0.486
ʊ	-	0.97
ʊ	i	0.03
ʊ_ɹ	a	0.744
ʊ_ɹ	ɡ̊	0.238
ʊ̯ˈiː	ˈai̯	0.056
ʎ	j	0.236
ʤ̊	-	0.503
ʤ̊	ɡ̊	0.297
ʤ̊	n	0.116
ʤ̊	d̥	0.065
ʧ	ç	1.0
ʧʰ	kʰ	0.66
ʧʰ	d̥	0.156
