Corsican	Franco-Provençal	probability
a	a	0.642
a	ə	0.156
a	-	0.09
b	b	0.942
b	-	0.059
c	k	0.45
c	s	0.297
c	ʎ	0.181
c_u	ʎ	1.0
d	-	0.501
d	d	0.4
d	ð	0.073
e	-	0.526
e	ə	0.126
e	ˈi	0.08
e	ˈe	0.062
e	o	0.055
e_r	ʁ	1.0
f	f	1.0
i	-	0.466
i	ə	0.203
i	j	0.105
i	i	0.092
i	ɛ	0.06
j	-	0.438
j	l	0.381
j	ð	0.066
j	ʎ	0.052
j	ʒ	0.051
k	k	0.405
k	ʃ	0.389
k	-	0.136
k_a	i	1.0
k_k	t	0.489
k_u	ˈa	1.0
l	l	0.622
l	-	0.359
l_a	a	1.0
l_e	l	1.0
l_t	t	0.489
m	m	0.798
m	-	0.16
n	n	0.81
n	-	0.16
n_e	ˈɔ̃	0.489
o	o	0.536
o	u	0.199
o	-	0.112
p	p	0.728
p	-	0.144
p	v	0.081
r	ʁ	0.947
r	-	0.051
r_e	ʁ	0.709
r_e	ə	0.207
r_n	ʁ	1.0
r_t	ʁ	1.0
s	s	0.613
s	-	0.309
s_t	t	1.0
s_u	s	0.489
t	-	0.584
t	t	0.288
t	ð	0.057
t_r	ʁ	1.0
t_ˈa	ˈa	0.239
u	-	0.715
u	o	0.142
v	v	0.808
v	-	0.076
v_e	f	1.0
w	-	0.433
w	w	0.303
w	oː	0.174
w	a	0.059
z	-	0.699
z	z	0.297
ŋ	-	0.519
ŋ	ĩ	0.22
ŋ	ɛ̃	0.142
ŋ	ˈɛ̃	0.059
ɟ	ʒ	0.445
ɟ	ð	0.143
ɟ	-	0.108
ɟ	z	0.074
ɟ	s	0.073
ɟ	d	0.061
ɟ	ʃ	0.054
ɡ	ɡ	0.62
ɡ	ʃ	0.13
ɡ	-	0.099
ɡ	k	0.091
ɲ	ɲ	1.0
ɲ_u	ˈɛ̃	1.0
ʃ	-	0.263
ʃ	t	0.16
ʃ	ʁ	0.16
ʃ	s	0.112
ʎ	ʎ	0.815
ʎ	ˈø	0.148
ʒ	z	1.0
ʤ	ð	0.274
ʤ	-	0.239
ʤ	ʒ	0.134
ʦ	-	0.558
ʦ	s	0.141
ʦ	ʃ	0.129
ʦ	ʦ	0.129
ʧ	s	0.529
ʧ	z	0.18
ʧ	-	0.157
ʧ	t	0.077
ʧ_e	ˈɛ	0.591
ʧ_e	ʃ	0.403
ˈa	ˈa	0.452
ˈa	ˈɔ	0.185
ˈa	ˈɛ	0.138
ˈa	ˈɑ̃	0.056
ˈa_l	ˈoː	0.639
ˈa_l	ˈɔ	0.339
ˈa_n	ˈɑ̃	1.0
ˈa_t	ˈa	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈe	ˈɛ	0.492
ˈe	ˈi	0.172
ˈe	ˈe	0.141
ˈe	j	0.067
ˈe	ˈø	0.051
ˈi	ˈi	0.498
ˈi	ˈeː	0.132
ˈi	ˈe	0.129
ˈi	-	0.081
ˈi	ˈĩ	0.076
ˈi_n	ˈĩ	1.0
ˈo	w	0.195
ˈo	ˈo	0.157
ˈo	ˈoː	0.157
ˈo	-	0.133
ˈo	ˈu	0.077
ˈo	ˈø	0.077
ˈo	ˈɔ	0.059
ˈo_k	w	1.0
ˈo_n	ˈɔ̃	1.0
ˈu	w	0.282
ˈu	ˈo	0.226
ˈu	ˈu	0.146
ˈu	ˈoː	0.084
ˈu	ˈø	0.084
ˈu	ˈɔ	0.084
ˈu	ˈe	0.066
ˈu_n	ˈɔ̃	1.0
ˈɔ	w	0.257
ˈɔ	ˈoː	0.172
ˈɔ	ˈo	0.146
ˈɔ	ˈɔ	0.14
ˈɔ	ˈu	0.135
ˈɔ	ˈø	0.066
ˈɔ_n	ˈɔ̃	1.0
ˈɛ	ˈɛ	0.413
ˈɛ	ˈeː	0.334
ˈɛ	ˈi	0.091
ˈɛ	ˈɛ̃	0.062
ˈɛ_k	ˈɛ	0.489
ˈɛ_n	ˈɛ̃	1.0
