Afrikaans	Middle High German	probability
χ_r	ɡ_r	1.0
ˈɛ_m	mː	1.0
ˈɑː_t	ˈɑ_s̻ː	1.0
ˈœu̯	ˈɑ_l	1.0
ˈyː	ˈyː	1.0
ˈu_j	ˈuə̯	1.0
ˈoː	ˈoː	1.0
ɦ	h	1.0
ə_ŋ	n	1.0
w	ˈeː	1.0
s_ə	s_ə	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
n_d	n_t	1.0
m	m	1.0
j	j	1.0
i	ɛ	1.0
b	b	1.0
ə	ə	0.981
r	r	0.918
d	d	0.902
v	w	0.901
n	n	0.876
ˈa	ˈɑ	0.873
d̥	d̥	0.832
ˈə	ˈi	0.81
ɫ	l	0.766
ˈœɪ̯	ˈuː	0.749
v̥	v	0.735
ˈɛ	ˈe	0.697
ˈœ	ˈy	0.67
s	s	0.661
ˈi	ˈiə̯	0.649
ˈu	ˈuə̯	0.646
ˈɔ	ˈu	0.635
ˈəɪ̯	ˈiː	0.604
ˈɑː	ˈɑː	0.524
ˈɪø̯	ˈu	0.5
ˈɪø̯	-	0.5
ˈæː	ˈɛ	0.5
ˈæː	-	0.5
k	kʰ	0.486
ˈɪə̯	ˈɛ	0.466
ˈæ	ˈɛ	0.398
ˈæ	ˈi	0.398
ˈɪə̯	ˈei̯	0.396
p	p͡f	0.39
ŋ	ŋ_ɡ	0.377
ˈɔ	ˈo	0.365
ˈu	ˈyə̯	0.354
ˈœ	-	0.33
ˈʊə̯	ˈo	0.325
ŋ	ŋ_ɡ̊	0.317
t	s̻	0.317
ˈɑː	ˈɑ	0.315
p	f	0.315
ˈɛ	-	0.303
ˈəɪ̯	ˈei̯	0.288
χ	ɡ̊	0.283
χ	x	0.253
ˈœɪ̯	ˈyː	0.251
χ	ɡ	0.246
t	ʦ	0.223
χ	kː_ə	0.218
k	k	0.213
ˈæ	-	0.204
ˈi	-	0.201
ˈʊə̯	ˈou̯	0.194
s	ʃ	0.184
k	xː_ə	0.183
ˈʊə̯	ˈoː	0.174
t	t	0.174
ŋ	ŋ	0.165
p	f_ə	0.16
ˈi	ˈɛ_h	0.15
ŋ	ɡ̊	0.141
ˈə	-	0.139
ˈɑː	-	0.135
t	s̻ː	0.132
d̥	d_ə	0.128
ˈa	-	0.127
k	kː_ə	0.117
ɫ	l_ə	0.11
ˈəɪ̯	n	0.108
v̥	b̥	0.107
d	t	0.098
t	s̻_ə	0.092
n	nː_ə	0.092
p	p	0.091
ˈʊə̯	ˈøː	0.09
ˈʊə̯	ˈy	0.089
ˈʊə̯	-	0.086
v̥	f	0.085
v̥	b_ə	0.074
ˈɪə̯	-	0.069
ˈɪə̯	ˈi	0.068
ɫ	ə_l	0.067
s	ʃː	0.067
v	-	0.065
t	ʦː_ə	0.062
s	s_ə	0.058
ɫ	lː	0.057
ˈə	ˈiː	0.051
