Hoisanese	Hoisanese	probability
ⁿd	ⁿd	1.0
⁵⁵	⁵⁵	1.0
ᵑɡ	ᵑɡ	1.0
ᵐb	ᵐb	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ɵ	ɵ	1.0
ɬ	ɬ	1.0
ɛ	ɛ	1.0
ɔ	ɔ	1.0
ŋ	ŋ	1.0
³³	³³	1.0
³²	³²	1.0
²¹	²¹	1.0
²²	²²	1.0
²	²	1.0
w	w	1.0
v	v	1.0
u	u	1.0
t̚	t̚	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
n	n	1.0
m̩	m̩	1.0
m	m	1.0
l	l	1.0
k̚	k̚	1.0
kʰ	kʰ	1.0
k	k	1.0
j_²²	j_²²	1.0
j	j	1.0
i	i	1.0
h	h	1.0
f	f	1.0
e	e	1.0
a_n	a_n	1.0
a_j	a_j	1.0
a	a	1.0
