Swedish	Proto-Germanic	probability
a	ɑ_n	0.481
a	ɔ̃ː	0.189
a	ɔːː	0.111
a	ɔː	0.07
a	ɑ	0.058
b	b	1.0
d	d	0.415
d	ð	0.106
d	ð_ɑ̃	0.105
d	θ	0.102
d	θ_ɑ̃	0.07
d	ð_ɑ	0.065
d	ð_i	0.063
e	ɑ̃	1.0
f	ɸ	0.947
h	x	0.958
j	ˈe	0.39
j	ɣ	0.212
j	-	0.21
j	ɣ_ɑ	0.107
jː	j	1.0
k	k	0.447
k	k_i	0.274
k	k_ɑ	0.178
k	kʷ	0.068
kʰ	k	0.914
kː	ŋ_k	0.897
kː	kː	0.085
l	l	0.747
l	l_ɑ	0.119
l	ɑ_l	0.107
lː	lː	0.614
lː	d	0.386
m	m	0.736
m	m_ɑ	0.264
mː	m	0.749
mː	mː	0.251
n	n	0.722
n	-	0.135
n	n_ɑ	0.06
nː	n_θ	0.377
nː	nː	0.311
nː	n	0.251
p	p	1.0
pː	p	1.0
r	r	0.782
r	z	0.153
rː	n	0.5
rː	r	0.5
s	s	0.897
s	s_ɑ̃	0.098
sː	s	0.934
sː	sː	0.066
t	t	0.674
t	t_ɑ	0.233
t	t_ɑ̃	0.08
tʰ	θ	0.463
tʰ	t	0.439
tʰ	b	0.066
tː	t	0.67
tː	t_ɑ	0.206
tː	x_t	0.124
v	w	0.561
v	β	0.222
v	β_ɑ	0.056
v	xʷ	0.05
ŋ	ŋ_ɡ	0.707
ŋ	ɣ	0.102
ŋ	ɑ̃	0.067
ŋ	z	0.052
ŋː	ŋ_ɡ	0.748
ŋː	n	0.139
ŋː	ɡʷ	0.113
ɕ	k	0.73
ɕ	θ	0.192
ɕ	t	0.078
ɖ	θ	0.596
ɖ	ð_ɑ̃	0.404
ɛ	-	0.22
ɛ	ɔːː	0.165
ɛ	i	0.144
ɛ	ɑ	0.142
ɛ	u	0.13
ɛ	ɛː	0.097
ɛ	ɔː	0.059
ɡ	ɣ	0.685
ɡ	ɣ_ɑ	0.247
ɡː	ɣ	0.605
ɡː	jː	0.395
ɧ	s	0.471
ɧ	s_k	0.45
ɧ	-	0.08
ɪ	iː	0.719
ɪ	ɑ	0.213
ɪ	i	0.068
ɳ	n_ɑ̃	0.669
ɳ	ɔːː	0.166
ɳ	n	0.164
ɳː	n	1.0
ɵ	ɑ	0.846
ɵ	u	0.154
ʈː	r_t	0.667
ʈː	t	0.333
ʊ	u	0.686
ʊ	w	0.314
ˈa	ˈɑ	1.0
ˈeː	ˈɑi̯	0.516
ˈeː	ɑ	0.199
ˈeː	ˈi	0.181
ˈeː	ˈe	0.064
ˈiː	ˈiː	0.729
ˈiː	ˈi	0.196
ˈiː	ˈe	0.075
ˈoː	ˈɛː	0.379
ˈoː	ˈɑ_x	0.219
ˈoː	ˈɑ	0.147
ˈoː	ˈɑi̯	0.115
ˈoː	ˈu	0.114
ˈuː	ˈɔː	0.529
ˈuː	ˈu_r	0.233
ˈuː	ˈuː_z	0.127
ˈuː	r	0.11
ˈyː	ˈe	0.293
ˈyː	ˈeu̯	0.281
ˈyː	ˈiu̯	0.259
ˈyː	ɑ	0.102
ˈyː	ˈɔː	0.065
ˈæ	ˈe	0.5
ˈæ	r	0.5
ˈæː	ˈeː	0.637
ˈæː	ˈe_r	0.363
ˈøː	ˈɑu̯	0.523
ˈøː	ˈɔː	0.144
ˈøː	r	0.098
ˈøː	ˈɑ	0.093
ˈøː	ˈu	0.089
ˈœ	ˈɑu̯	0.398
ˈœ	ˈu	0.265
ˈœ	ˈeu̯	0.084
ˈœ	ˈɔː	0.084
ˈœ	ˈe	0.061
ˈœ	ˈuː	0.061
ˈœː	ˈɑu̯	1.0
ˈɑː	ˈɑ	0.868
ˈɑː	-	0.092
ˈɔ	ˈu	0.828
ˈɔ	ˈɑ	0.117
ˈɔ	ˈe	0.054
ˈɛ	ˈɑ	0.412
ˈɛ	ˈi	0.281
ˈɛ	ˈɑi̯	0.166
ˈɛ	ˈe	0.102
ˈɛː	ˈe	0.444
ˈɛː	ˈɑi̯	0.219
ˈɛː	ˈɑ	0.195
ˈɛː	ˈe_w	0.071
ˈɛː	-	0.071
ˈɪ	ˈi	0.868
ˈɪ	ˈe	0.074
ˈɪ	j	0.058
ˈɵ	ˈu	0.889
ˈɵ	ˈi	0.072
ˈʉː	ˈeu̯	0.537
ˈʉː	ˈuː	0.223
ˈʉː	ˈe	0.109
ˈʊ	ˈu	0.84
ˈʊ	ˈɔː	0.16
ˈʏ	ˈu	0.573
ˈʏ	ˈiu̯	0.321
ˈʏ	ˈe	0.106
