Belarusian	Proto-Slavic	probability
b	b	1.0
bʲ	b	1.0
d	d	1.0
e	e	1.0
i	ŭ	1.0
kʲ	k	1.0
mʲ	m	1.0
pʲ	p	1.0
sʲ	s	1.0
u	õː	1.0
v	v	1.0
vʲ	v	1.0
w	ŭ	1.0
xʲ	x	1.0
z	z	1.0
zʲ	z	1.0
ɣ	ɡ	1.0
ʂ	ʒ_ĭ	1.0
ʌ	e	1.0
ʐ	ʒ	1.0
ʣʲ	d	1.0
ʦ	ĭ_ʦ	1.0
ˈɵ	ě	1.0
p	p	0.771
ɫ	d_l	0.071
ʦʲ	t_i	0.251
ʦʲ	t	0.331
ʧ	ʧ	0.711
ˈe	ĭ	0.1
ˈe	ɛˀ	0.31
ˈi	i	0.311
ˈɨ	ɨˀ	0.251
a	a	0.132
k	k_ŭ	0.072
k	k	0.732
t	t_ŭ	0.202
ɨ	e	0.132
ɫ	l_ŭ	0.122
ˈo	ô	0.422
a	ɛː	0.053
lʲ	l	0.913
s	s_ŭ	0.273
ɨ	ŭ	0.33
a	ǒ	0.054
a	ŭ	0.124
m	m_ĭ	0.224
p	b_ŭ	0.144
r	r	0.794
x	x	0.74
ʦʲ	t_ĭ	0.404
ˈa	aˀ	0.14
ˈa	ǎ	0.794
ˈo	ǒ	0.204
nʲ	n	0.515
æ	ẽ	0.225
ˈæ	ẽ̂ː	0.445
ˈæ	ẽ	0.555
ˈɨ	i	0.445
k	l_k	0.196
lʲ	ʎ	0.056
m	m	0.776
p	b_ĭ	0.086
x	ɡ_ŭ	0.26
ˈa	a	0.066
ˈe	ê	0.076
ˈe	ɛ̂ː	0.366
nʲ	n_ĭ	0.347
s	s	0.727
æ	e	0.597
ɨ	ŭ_j	0.537
ˈo	ôː	0.237
a	e	0.118
n	n	0.958
nʲ	ɲ_ĭ	0.138
t	t	0.798
ɫ	l	0.618
ˈɨ	ɨ̌	0.258
a	o	0.519
r	ĭ_#>	0.109
æ	ẽː	0.089
æ	ɛː	0.089
ɫ	-	0.189
ʧ	k_t	0.289
ˈe	ɛ̌	0.149
ˈi	ǐ	0.689
ˈo	ŭ̂	0.059
