French	Eastern Lombard	probability
ʁ_w	r	1.0
ʁ_s	r_s	1.0
ɲ	ɲ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ə	e	1.0
œ_ʁ	ˈu_r	1.0
ø	ˈø_k	1.0
z	z	1.0
y_l	y	1.0
s_i	s_ˈe	1.0
p_a	p_a	1.0
p	p	1.0
m	m	1.0
k	k	1.0
j_ɛ	ˈe	1.0
i_ʁ	ˈi	1.0
f	f	1.0
e_k	s_k	1.0
d	d	1.0
b	b	1.0
s	s	0.941
ʁ	r	0.812
œ	ˈø	0.8
n	n	0.794
ɛ_ʁ	ˈɛ_r	0.756
ʃ	k	0.748
l	l	0.736
t	t	0.682
e	ˈa	0.67
ʒ	z	0.65
w_a	ˈi	0.553
i	ˈi	0.509
ɔ̃	ˈo_n	0.508
ɥ	ˈo	0.5
ɥ	-	0.5
ɔ̃	o_n	0.492
v	ʋ	0.473
y	ˈy	0.447
w_a	ˈɛ	0.447
o	ˈɛ_l	0.437
ɛ̃	ˈa	0.426
ɔ	ˈɔ	0.411
ɛ	ˈa	0.399
j	j	0.392
j	-	0.387
a	a	0.335
e	e	0.33
y	ˈø	0.319
v	e	0.309
u	ˈo	0.299
a	ˈa	0.295
o	ˈo	0.29
w	-	0.281
l	j	0.264
ʃ	k_a	0.252
ɛ_ʁ	r	0.244
y	-	0.234
ɛ	ˈɛ	0.233
i	ˈe	0.224
w	ˈu	0.219
w	ˈe	0.219
ɔ	ˈo	0.218
v	-	0.218
ʒ	e	0.213
ɔ	o	0.209
n	-	0.206
œ	-	0.2
ɛ̃	ˈi	0.191
u	ˈø	0.19
ɑ̃	ˈɛ_n	0.177
ɑ̃	ˈe	0.177
ɑ̃	ŋ	0.172
t	t_e	0.166
ɑ̃	ˈa_ŋ	0.164
ɔ	ˈu	0.162
a	ˈɛ	0.157
ɛ̃	-	0.154
t	s	0.151
w	ˈi_d	0.145
o	ˈa_l	0.144
u	ˈø_ʧ	0.141
u	ˈy	0.141
u	ˈu	0.141
ʒ	ʤ	0.137
w	ˈe_ɡ	0.135
j	ˈe	0.132
i	ˈɛ	0.13
o	ˈɔ_s	0.129
ɛ̃	ɲ	0.117
ɛ̃	n_t	0.112
ɑ̃	a_n	0.109
ɛ	ˈe	0.104
ɑ̃	ˈa_n	0.104
ɑ̃	ˈe_t	0.097
ɛ	-	0.094
j	ʤ_a	0.089
u	o	0.088
i	l	0.08
ɛ	ˈa_d	0.072
ɛ	a_d	0.067
a	w_ˈa	0.064
s	s_ˈa	0.059
ʁ	f	0.058
ʁ	d	0.057
i	i	0.057
a	e	0.057
