Logudorese	Logudorese	probability
β	β	1.0
ˈɛ_ɣ	ˈe_j	1.0
ˈɛ_n	ˈe_n	1.0
ˈi_ʣ	ˈi	1.0
ˈi_nː	ˈe_ɲ	1.0
ʣ	ʝ	1.0
ɾ_ʦ	l_s	1.0
ɾ_u	ɾ_u	1.0
ɾ_d	ɾ_ð	1.0
ɾ_a	ɾ_a	1.0
ɲ	ɲ	1.0
ɛ̆	-	1.0
ɛ_n	e	1.0
ɛ_#>	#>	1.0
ŋ	-	1.0
ð_ɛ	u	1.0
ð_u	u	1.0
z_ɔ̆_#>	s_#>	1.0
ŭ	-	1.0
u_#>	#>	1.0
t_ɛ	t_e	1.0
t_u	u	1.0
o	o	1.0
nː	n	1.0
n_ʣ	ɲ	1.0
n_ɛ	ŋ	1.0
l_ɛ	ʎ_e	1.0
l_u	l_u	1.0
k_ɾ	ʎ	1.0
k_ɛ	ˈe	1.0
e_ɾ	ɾ	1.0
d	d	1.0
b_ˈi	b	1.0
ă	-	1.0
<#_ˈo	<#_ɡ_w	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ʃ	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_a	<#_a	1.0
<#	<#_ɡ	1.0
f	f	0.923
a	a	0.901
p	p	0.875
<#_i	<#_e	0.833
u	u	0.826
n	n	0.824
ɾ	ɾ	0.817
ð	ð	0.8
k	k	0.791
ˈa	ˈa	0.773
t	t	0.767
m	m	0.739
e	e	0.714
s	s	0.692
b	b	0.692
ɡ	-	0.667
ɔ	o	0.643
ʦ	-	0.6
l	ʎ	0.6
ˈi	ˈi	0.595
j	-	0.583
z	s	0.562
ˈu	ˈu	0.545
ɛ_ɾ	ˈe_ɾ	0.538
r	ɾ_n	0.5
r	r	0.5
ˈɔ	ˈo	0.485
ɛ_ɾ	ɾ	0.462
ɣ	θ	0.45
ˈo	ˈo	0.444
z	-	0.438
ɖː	ˈe_ʎ	0.429
ˈɛ	j_ˈe	0.417
ˈe	ˈe	0.412
ˈi	ˈe	0.405
ʦ	t	0.4
ɛ	e	0.391
i	-	0.381
ˈu	ˈo	0.364
ɔ	-	0.357
ˈe	j	0.353
ɣ	ɣ	0.35
ˈo	w	0.333
ɡ	ɡ	0.333
l	l	0.333
i	e	0.333
ˈɛ	ˈe	0.292
ɖː	ʎ	0.286
ɖː	-	0.286
e	-	0.286
ˈɔ	w_ˈe	0.273
ɛ	β_e	0.261
j	ˈe_ʝ	0.25
ˈe	j_ˈe	0.235
ˈo	w_ˈe	0.222
k	θ	0.209
ð	-	0.2
i	i	0.19
ˈɔ	o	0.182
m	ŋ	0.174
ˈɛ	e	0.167
t	ʧ	0.167
j	j	0.167
<#_i	<#	0.167
ɛ	ˈe	0.13
ɛ	l	0.13
ˈɛ	j	0.125
s	ˈe_s	0.115
s	-	0.115
b	ɡ	0.103
ɣ	ˈe_θ	0.1
ɣ	ˈe	0.1
i	ˈi	0.095
ˈu	w	0.091
n	ˈe_n	0.088
n	-	0.088
ɛ	β	0.087
m	ɾ	0.087
ɾ	-	0.083
s	θ	0.077
f	-	0.077
b	ʃ	0.077
b	k	0.077
ˈa	ˈo	0.076
ˈa	a	0.076
a	e	0.07
t	-	0.067
l	-	0.067
p	ʎ	0.062
p	-	0.062
ˈɔ	w	0.061
b	β	0.051
