West Frisian	Pennsylvania German	probability
#>	#>	0.891
#>	t_#>	0.053
<#	<#	1.0
b	b	0.906
b	-	0.086
d	d	0.838
d	ʦ	0.063
d	-	0.054
d	t	0.052
f	f	0.883
f	p	0.107
f_j	f	0.121
h	h	1.0
j	-	0.446
j	j	0.303
j	ˈiː	0.135
j	ˈaɪ̯	0.077
j_#>	#>	0.494
j_ə	ə	1.0
j_ˈuə̯	ˈaɪ̯	0.494
j_ˈɛ	ˈɛː	1.0
k	kʰ	0.328
k	k	0.261
k	ç	0.158
k	x	0.137
k	ɡ	0.051
k_ə	ɪ	1.0
l	l	0.97
m	m	1.0
n	n	0.88
n	-	0.055
n_#>	#>	1.0
p	f	0.734
p	p	0.127
p	p͡f	0.097
r	ɾ	0.477
r	ɑ	0.392
r	d_ɑ	0.061
r_j	ɾ	1.0
s	s	0.487
s	ʃ	0.47
s_k	ʃ	1.0
t	t	0.441
t	s	0.236
t	ʦ	0.138
t	d	0.136
v	ʋ	0.538
v	v	0.189
v	f	0.125
v	m	0.067
v	-	0.056
z	s	0.461
z	ɾ	0.349
z	ɣ	0.113
ŋ	ŋ	0.794
ŋ	ç	0.123
ŋ	n	0.074
ɕ	s	1.0
ə	ə	0.546
ə	-	0.357
ə	ɪ	0.065
ə_#>	#>	1.0
ɡ	ɡ	1.0
ɣ	k	0.416
ɣ	-	0.362
ɣ	ɣ	0.156
ɪ	ɪ	1.0
ʋ	ʋ	1.0
ʦ	kʰ	0.784
ʦ	ʦ	0.126
ʦ_j	d	1.0
ˈa	ˈa	0.576
ˈa	ˈɔː	0.211
ˈa	ˈaː	0.068
ˈa	ˈɛ	0.068
ˈa	ˈɪ	0.068
ˈaː	ˈa	0.311
ˈaː	ˈɔː	0.311
ˈaː	ˈeː	0.094
ˈaː	ˈoː	0.091
ˈaː	ˈɔɪ̯	0.091
ˈaː	ˈɛ	0.069
ˈeː	ˈeː	0.641
ˈeː	ˈoː	0.164
ˈeː	ˈɛ	0.093
ˈi	ˈaɪ̯	0.321
ˈi	ˈɛ	0.195
ˈi	ˈɪ	0.195
ˈi	ˈeː	0.148
ˈi	ˈa	0.105
ˈiə̯	ˈeː	0.376
ˈiə̯	ˈiː	0.287
ˈiə̯	ˈoː	0.176
ˈiə̯	ˈɔː	0.096
ˈiə̯	ˈɛː	0.053
ˈiː	ˈaɪ̯	0.486
ˈiː	ˈɪ	0.258
ˈiː	ˈɛː	0.129
ˈiː	ˈɔː	0.07
ˈiː	ˈeː	0.051
ˈoə̯	ˈoː	0.266
ˈoə̯	ˈaː	0.26
ˈoə̯	ˈa	0.197
ˈoə̯	ˈɔː	0.12
ˈoə̯	ˈʊ	0.12
ˈoː	ˈuː	0.608
ˈoː	ˈʊ	0.262
ˈu	ˈʊ	0.723
ˈu	ˈɔ	0.205
ˈuə̯	ˈuː	0.653
ˈuə̯	ˈɪ	0.158
ˈuə̯	ˈʊ	0.079
ˈuə̯	ˈa	0.076
ˈuː	ˈaʊ̯	0.47
ˈuː	ˈaɪ̯	0.225
ˈuː	ˈʊ	0.18
ˈuː	-	0.052
ˈy	ˈʊ	1.0
ˈyː	ˈaɪ̯	0.205
ˈyː	ˈaʊ̯	0.205
ˈyː	ˈʊ	0.205
ˈø	ʋ	0.361
ˈø	ˈoː	0.361
ˈø	ˈɛː	0.205
ˈøə̯	ˈaɪ̯	0.244
ˈɔ	ˈɔ	0.398
ˈɔ	ˈɪ	0.211
ˈɔ	ˈʊ	0.211
ˈɔ	ˈɛ	0.103
ˈɔ	-	0.057
ˈɔu̯	ˈɔ	0.43
ˈɔu̯	ˈiː	0.105
ˈɔː	ˈa	0.786
ˈɔː	ˈa_l	0.211
ˈɛ	ˈɛː	0.297
ˈɛ	ˈaː	0.139
ˈɛ	-	0.128
ˈɛ	ˈa	0.128
ˈɛ	ˈɔː	0.128
ˈɛ	ˈɛ	0.064
ˈɛ_j	ˈaɪ̯	1.0
ˈɛi̯	ˈeː	0.372
ˈɛi̯	ˈa	0.282
ˈɛi̯	ˈɛ	0.186
ˈɛi̯	ˈɔː	0.127
ˈɛː	ˈɔː	0.229
ˈɛː	ˈɪ	0.229
ˈɛː	ˈaː	0.149
ˈɛː	ˈeː	0.149
ˈɛː	ˈɛː	0.149
ˈɪ	ˈɪ	0.555
ˈɪ	ˈɛ	0.16
ˈɪ	ˈaɪ̯	0.065
ˈɪə̯	ˈoː	0.26
ˈɪə̯	ˈɔː	0.226
ˈɪə̯	ˈeː	0.13
ˈɪə̯	ˈa	0.077
ˈɪə̯	ˈaʊ̯	0.069
ˈɪə̯	ˈaː	0.069
ˈɪə̯	ˈiː	0.069
ˈɵ	ˈiː	0.494
χ	ç	0.446
χ	x	0.277
χ	k	0.22
