West Frisian	Pennsylvania German	probability
b	b	0.946
b	-	0.057
d	d	0.846
d	ʦ	0.06
d	-	0.051
d	t	0.05
f	f	0.883
f	p	0.107
f_j	f	0.121
h	h	1.0
j	-	0.578
j	j	0.279
j	ˈaɪ̯	0.115
j_ˈuə̯	ˈaɪ̯	0.494
j_ˈɛ	ˈɛː	1.0
k	kʰ	0.315
k	k	0.312
k	ç	0.14
k	x	0.132
k	ɡ	0.06
k_ə	ɪ	1.0
l	l	0.946
l	n	0.031
l	-	0.03
l_j	l	1.0
m	m	1.0
n	n	0.768
n	-	0.151
p	f	0.734
p	p	0.127
p	p͡f	0.097
r	ɾ	0.502
r	-	0.201
r	ɑ	0.19
r	d_ɑ	0.06
r	ɾ_ɪ	0.04
r_j	ɾ	1.0
s	s	0.533
s	ʃ	0.465
s_k	ʃ	1.0
t	t	0.469
t	s	0.236
t	ʦ	0.138
t	d	0.136
v	ʋ	0.67
v	v	0.236
v	-	0.063
v_ə	f	1.0
z	s	0.461
z	ɾ	0.349
z	ɣ	0.113
ŋ	ŋ	0.763
ŋ	ç	0.156
ŋ	n	0.072
ɕ	s	1.0
ə	ə	0.409
ə	-	0.357
ə	ɑ	0.162
ə	ɪ	0.068
ɡ	ɡ	1.0
ɣ	k	0.416
ɣ	-	0.362
ɣ	ɣ	0.156
ɪ	ɪ	1.0
ʋ	ʋ	1.0
ʦ	kʰ	0.667
ʦ	ʦ	0.333
ʦ_j	d	1.0
ˈa	ˈa	0.576
ˈa	ˈɔː	0.211
ˈa	ˈaː	0.068
ˈa	ˈɪ	0.068
ˈa	ˈɛ	0.068
ˈaː	ˈa	0.311
ˈaː	ˈɔː	0.311
ˈaː	ˈeː	0.094
ˈaː	ˈɔɪ̯	0.091
ˈaː	ˈoː	0.091
ˈeː	ˈeː	0.641
ˈeː	ˈoː	0.164
ˈeː	ˈɛ	0.093
ˈi	ˈaɪ̯	0.366
ˈi	ˈɪ	0.222
ˈi	ˈeː	0.169
ˈi	ˈa	0.115
ˈi	ˈɛ	0.078
ˈiə̯	ˈiː	0.349
ˈiə̯	ˈeː	0.246
ˈiə̯	ˈoː	0.214
ˈiə̯	ˈɔː	0.117
ˈiə̯	ˈɛː	0.062
ˈiə̯_n	ˈeː	1.0
ˈiː	ˈaɪ̯	0.498
ˈiː	ˈɪ	0.264
ˈiː	ˈɛː	0.132
ˈiː	ˈɔː	0.072
ˈiː	ˈeː	0.039
ˈoə̯	ˈoː	0.275
ˈoə̯	ˈaː	0.268
ˈoə̯	ˈa	0.144
ˈoə̯	ˈʊ	0.124
ˈoə̯	ˈɔː	0.124
ˈoː	ˈuː	0.608
ˈoː	ˈʊ	0.262
ˈu	ˈʊ	0.723
ˈu	ˈɔ	0.205
ˈuə̯	ˈuː	0.744
ˈuə̯	ˈʊ	0.087
ˈuə̯	ˈa	0.084
ˈuə̯	ˈɪ	0.043
ˈuː	ˈaʊ̯	0.42
ˈuː	ˈʊ	0.282
ˈuː	ˈaɪ̯	0.127
ˈuː	-	0.111
ˈuː	ˈoː	0.045
ˈy	ˈʊ	1.0
ˈyː	ˈʊ	0.205
ˈyː	ˈaɪ̯	0.205
ˈyː	ˈaʊ̯	0.205
ˈø	ʋ	0.361
ˈø	ˈoː	0.361
ˈø	ˈɛː	0.205
ˈøə̯	ˈaɪ̯	0.244
ˈɔ	ˈɔ	0.398
ˈɔ	ˈʊ	0.211
ˈɔ	ˈɪ	0.211
ˈɔ	ˈɛ	0.103
ˈɔ	-	0.057
ˈɔu̯	ˈɔ	0.43
ˈɔu̯	ˈiː	0.105
ˈɔː	ˈa	0.457
ˈɔː	ˈa_l	0.432
ˈɔː	ˈɪ	0.064
ˈɛ	ˈɛː	0.351
ˈɛ	ˈaː	0.158
ˈɛ	ˈɔː	0.151
ˈɛ	ˈa	0.143
ˈɛ	ˈɛ	0.066
ˈɛ_j	ˈaɪ̯	1.0
ˈɛi̯	ˈeː	0.348
ˈɛi̯	ˈa	0.263
ˈɛi̯	ˈɛ	0.174
ˈɛi̯	ˈɔː	0.123
ˈɛi̯	j	0.057
ˈɛː	ˈɔː	0.229
ˈɛː	ˈɪ	0.229
ˈɛː	ˈeː	0.149
ˈɛː	ˈaː	0.149
ˈɛː	ˈɛː	0.149
ˈɪ	ˈɪ	0.546
ˈɪ	ˈɛ	0.152
ˈɪ	ˈiː	0.068
ˈɪ	ˈaɪ̯	0.062
ˈɪ	ˈʊ	0.045
ˈɪə̯	ˈɔː	0.217
ˈɪə̯	ˈoː	0.132
ˈɪə̯	ˈeː	0.125
ˈɪə̯	ˈoː_t	0.115
ˈɪə̯	ˈa	0.115
ˈɵ	ˈiː	0.494
χ	ç	0.411
χ	k	0.287
χ	x	0.239
χ	-	0.054
