German	Icelandic	probability
ˈʏ	ˈɪ	1.0
ˈɔʏ̯	ˈiː	1.0
ˈyː	ˈaːi̯	1.0
ˈuː	ˈoːu̯	1.0
ɐ_#>	#>	1.0
ŋ_k	ʰk	1.0
ŋ	ŋ	1.0
tʰ	d̥	1.0
t_ɐ	ɪ	1.0
s_n	t_a	1.0
s_#>	s_#>	1.0
n_ə	nː	1.0
n_d	nː	1.0
n_#>	#>	1.0
m	m	1.0
j	-	1.0
f_n	p_a	1.0
b̥	v_ʏ	1.0
b_ɐ	v_ʏ	1.0
b_n	v_a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
b	b̥	0.913
h	h	0.895
z	s	0.842
d	θ	0.812
ʁ	r	0.8
f	f	0.8
v	v	0.783
ˈaʊ̯	ˈuː	0.714
ˈoː	ˈœːy̯	0.667
ʦ	tʰ	0.667
kʰ	kʰ	0.667
<#_ʁ	<#_r	0.625
ç	k_ʏ	0.6
t	ð	0.571
l	l	0.571
#>	r̥_#>	0.548
ˈɪ	ˈɪ	0.533
ə	a	0.531
ˈaɪ̯	ˈiː	0.524
ˈɛ	ˈɛ	0.5
ˈeː	ˈɛː	0.5
ˈeː	j	0.5
ˈaː	ˈaː	0.5
ɡ̊	ɣ_ʏ	0.5
ɡ̊	ɡ̊	0.5
ɡ	ɟ̊	0.5
x	ʰt	0.5
x	k	0.5
k	ʰk	0.5
k	k	0.5
ʃ	s	0.478
ˈa	ˈa	0.458
l	l̥	0.429
ˈɔ	ˈɔ	0.417
n	n	0.415
ç	k	0.4
s	t_ʏ	0.4
<#_ʁ	<#_r̥	0.375
#>	ʏ_r̥_#>	0.366
ˈʊ	ˈʏ	0.357
ˈoː	ˈaːu̯	0.333
ˈaː	ˈɑːu̯	0.333
s	t	0.333
kʰ	cʰ	0.333
ə	-	0.312
ɐ	r̥	0.31
ˈiː	j_ˈuː	0.308
ˈiː	j_ˈoːu̯	0.308
d̥	d̥_ʏ	0.308
d̥	d̥	0.308
n	a	0.302
ɡ	ɡ̊	0.3
ˈʊ	ˈɔ	0.286
ˈaʊ̯	ˈœːy̯	0.286
ˈaɪ̯	ˈɛːi̯	0.286
ˈɪ	ˈɪː	0.267
s	s	0.267
t	t	0.257
ˈɔ	ˈʏ_t	0.25
ˈa	ˈaː	0.25
ɐ	r	0.238
ˈiː	j	0.231
d̥	ʏ	0.231
ʃ	s_k	0.217
ʃ	s_c	0.217
ˈʊ	ˈu	0.214
ˈa	ˈɑu̯	0.208
ˈɪ	ˈi	0.2
ɡ	-	0.2
f	p	0.2
n	n̥	0.189
d	d̥	0.188
ˈɛ	ˈɛː	0.167
ˈɛ	ˈau̯	0.167
ˈɛ	j_ˈɛ	0.167
ˈɔ	ˈʏː	0.167
ˈɔ	ˈɪ	0.167
ˈaː	ˈœ	0.167
ʦ	ʰt	0.167
ʦ	t	0.167
z	s_j	0.158
ˈiː	ˈɛː	0.154
d̥	ɪ	0.154
ˈʊ	ˈoːu̯	0.143
v	kʰ_v	0.13
ɐ	ɪ	0.119
ɐ	r_t	0.119
t	ʏ	0.114
h	ç	0.105
ʁ	r̥	0.1
ʁ	r_ˈai̯	0.1
ˈaɪ̯	ˈɛi̯_t	0.095
ˈaɪ̯	ˈɛ	0.095
ə	ɡ̊_a	0.094
n	nː	0.094
ʃ	s_t	0.087
v	-	0.087
b	v	0.087
ˈa	ˈœ	0.083
ɐ	r_ɪ	0.071
ə	ɪ	0.062
t	ɪ	0.057
