Gascon	Sicilian	probability
ð	t	1.0
ʒ	j	1.0
ˈɔ	ˈɔ	1.0
d	d	0.771
e	ɪ_ɾ	0.131
e	a	0.161
p	-	0.051
w	ɪ	0.231
ŋ	n_ɪ	0.191
ɣ	ɡ	0.571
ʎ	cː_ʊ	0.211
ˈi	ˈi	0.971
ˈu	ˈɔ	0.401
i	mː	0.112
k	k_ʊ	0.142
m	m	0.942
s	-	0.12
ŋ	ŋ	0.202
ʎ	ɟː	0.682
ˈa	ˈa_ɾ	0.112
ˈu	ˈu	0.32
β	p	0.262
b	b	0.343
i	i	0.33
r	r	0.13
r	ɾ	0.353
s	ʃ	0.153
s	s	0.53
t	t_ʊ	0.063
ɡ	ɡ	0.803
ɾ	ɪ_ɾ	0.193
ʦ	ʦː_ʊ	0.073
ˈe	ˈe	0.083
ˈɛ	ˈa	0.193
e	ʊ	0.124
j	ʊ	0.124
l	ɖː	0.14
l	-	0.24
n	n	0.784
p	p_ʊ	0.064
r	ɾ_n	0.124
t	-	0.074
t	tː_ʊ	0.094
z	-	0.094
ɲ	ɲː	0.674
ɾ	ɾ	0.64
ˈe	ˈɛ	0.334
ˈu	ˈo	0.184
u	o	0.355
w	l_ʊ	0.135
ŋ	nː	0.05
ˈu	ˈu_ɾ	0.095
ˈy	ˈu	0.975
e	ɪ	0.146
n	n_t	0.216
p	p	0.886
t	ɖː_ʊ	0.276
u	u	0.586
w	-	0.126
w	ʊ	0.136
ŋ	n_ʊ	0.556
ɲ	ɲː_ʊ	0.326
ˈa	ˈa_r	0.076
b	v	0.657
e	i	0.277
h	f	0.987
j	-	0.437
k	k	0.7
ɔ	a	0.97
ɡ	-	0.197
ʎ	l	0.07
ʦ	ɕ_ɪ	0.927
ˈe	ˈi	0.527
ˈɛ	ˈɛ	0.807
a	a	0.978
e	ɽ_ʊ	0.068
i	ʊ	0.558
l	l	0.598
r	ɽ_ɪ	0.108
w	w	0.338
z	ɕ	0.348
ˈa	ˈa	0.78
d	-	0.229
e	ɪ_r	0.069
j	j	0.089
j	ʈ	0.349
k	kː	0.119
r	-	0.279
s	ɕ	0.179
t	t	0.389
u	ˈu	0.059
z	z	0.559
ɣ	k	0.429
ɾ	r	0.109
β	v	0.719
