Occitan	Logudorese	probability
f	f	1.0
i	i	1.0
p	p	1.0
v	b	1.0
z	ɣ	1.0
ð	ð	1.0
ʦ	ɣ_e	1.0
ˈy	ˈu	1.0
ˈɔ	ˈo	1.0
d	-	0.241
e	a	0.081
l	l	0.381
n	-	0.061
r	r_e	0.071
s	s	0.611
w	o	0.11
ʧ	t	0.401
ˈa	ˈa_r	0.141
j	e	0.142
w	β_u	0.062
ɔ	a	0.962
ɾ	-	0.122
ʎ	-	0.642
e	u	0.193
e	e	0.303
m	m	0.973
ŋ	ŋ	0.173
ɲ	ɲː	0.663
ɾ	o_r	0.073
ʤ	ɣ	0.743
ˈa	-	0.053
ˈi	ˈi_n	0.083
ˈu	ˈu	0.593
s	-	0.054
u	e	0.424
ɣ	ɣ	0.514
ʒ	ɡ	0.414
ˈe	ˈe	0.534
j	j	0.5
k	ɣ_u	0.065
k	k	0.695
l	r	0.165
s	k	0.125
t	ð_u	0.125
ɡ	ɡ	0.965
ˈi	ˈi	0.755
β	-	0.375
l	ʣ	0.056
t	t_e	0.136
u	o	0.576
w	u	0.116
ɣ	-	0.486
ˈa	ˈa_n	0.096
ˈe	ˈi	0.466
β	β	0.476
a	-	0.107
b	b	0.977
l	l_e	0.057
l	ɖː	0.07
s	s_k	0.067
w	e	0.637
ŋ	m	0.827
ɲ	ʣ	0.337
ʒ	-	0.517
ʤ	-	0.257
ʧ	t_u	0.37
a	a	0.848
j	ð	0.358
k	b	0.108
l	ɖː_u	0.08
n	n_t	0.148
r	rː	0.148
r	r	0.78
ʎ	ʣ	0.358
ˈu	ˈo	0.368
ˈɛ	ˈe	0.958
d	d	0.759
e	i	0.349
l	-	0.059
l	l_u	0.089
n	n	0.689
t	t	0.719
ɾ	r	0.749
ʒ	j	0.069
ʧ	z	0.229
ˈa	ˈa	0.69
ˈi	e	0.119
β	p	0.119
