Old Prussian	Old Prussian	probability
ɡ_i	ɡ̊	1.0
z	z	1.0
w	vʲ_e	1.0
v_i	vʲ	1.0
v	v	1.0
uː	ɨ	1.0
t_o	ɕ	1.0
s_#>	#>	1.0
p	-	1.0
oːu̯	i	1.0
o_#>	#>	1.0
n_a	n	1.0
l_i	w	1.0
j	j	1.0
iː	-	1.0
eːi̯	-	1.0
eː	a	1.0
e_n	ɪ	1.0
e_#>	#>	1.0
d_u	d	1.0
b	b	1.0
aːu̯	u	1.0
aː	ɲ	1.0
ai̯	d_e	1.0
a_ŋ	u	1.0
a_n	ɔ	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_j	1.0
l	l	0.75
ɡ	ɡ	0.667
r	r	0.667
i	-	0.643
k	k	0.625
n	-	0.615
o	a	0.6
t	t	0.571
u	-	0.556
a	ɔ	0.556
m	mʲ	0.5
au̯	u	0.5
au̯	-	0.5
s	s	0.462
u	u	0.444
t	ɕ	0.429
d	ʑ	0.429
k	ʦ	0.375
e	a	0.357
ɡ	ʒ	0.333
r	-	0.333
s	x	0.308
d	d̥	0.286
d	d	0.286
a	-	0.278
m	ɨ_m	0.25
m	-	0.25
l	w	0.25
s	ɨ	0.231
n	ɪ	0.231
i	ɔ	0.214
e	ɔ	0.214
e	e	0.214
e	-	0.214
o	ɔ	0.2
o	-	0.2
a	j	0.167
n	ɨ	0.154
i	a	0.143
