Luxembourgish	Luxembourgish	probability
ˈɛː	-	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈʊ	1.0
ˈɑʊ̯	ˈuː	1.0
ˈɑ_l	l	1.0
ˈæːʊ̯	ˈuː	1.0
ˈæːɪ̯_#>	ˈɛɪ̯_#>	1.0
ˈæ	-	1.0
ˈiː_ɐ_#>	ˈi_#>	1.0
ˈaː_s	ˈɔː_t	1.0
ʦ	t	1.0
ʑ	j	1.0
ɡ̊	-	1.0
ɡ	ɡ	1.0
ɕ_#>	k_#>	1.0
z̥_#>	s_#>	1.0
z̥	z	1.0
z	s	1.0
w	v	1.0
v̥_#>	f_#>	1.0
v̥	v	1.0
v_ə	ɣ_ə	1.0
v	v	1.0
tʰ	t	1.0
t	t	1.0
pʰ	p	1.0
p	p	1.0
n_ə	n_ə	1.0
n_#>	#>	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
j	j	1.0
h	h	1.0
f_ə	p_ə	1.0
f_#>	p_#>	1.0
e	i	1.0
d̥	d	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_l	<#_l	1.0
f	f	0.92
s	t	0.882
ə_n	ə	0.833
<#_kʰ	<#_k	0.818
ʀ	r	0.808
ˈæːɪ̯	ˈi	0.778
n	n	0.766
ˈiə̯	ˈeː	0.75
ɕ	x	0.733
ŋ	ŋ	0.733
ˈeː	ˈeː	0.714
<#_d	<#_d	0.704
ʃ	s	0.688
χ	k	0.667
d	d	0.667
k	k	0.625
ˈəʊ̯	ˈoː	0.6
ˈuː	ˈɔː	0.6
ˈuə̯	-	0.6
<#_ɡ	<#_ɣ	0.6
ˈɑɪ̯	ˈuː	0.571
ˈiː	-	0.556
ˈʊ	ˈoːu̯	0.5
ˈʊ	-	0.5
ˈi	ˈɛɪ̯	0.5
ˈu	ˈuː	0.444
ə	-	0.435
ˈɑɪ̯	-	0.429
ɐ	ə_r	0.429
#>	ə_#>	0.429
ˈəʊ̯	ˈoːu̯	0.4
ˈuː	-	0.4
ˈuə̯	ˈɔː	0.4
ɐ	r	0.4
<#_ɡ	<#_j	0.4
ˈe	ˈɛː	0.375
ˈe	j	0.375
k	x	0.375
ˈo	ˈʊ	0.353
ˈaː	ˈoː	0.346
χ	x	0.333
ˈu	ˈoːu̯	0.333
ˈoː	-	0.333
d	j	0.333
ʃ	s_k	0.312
ˈɑ	ˈɪ	0.3
<#_d	<#_t	0.296
ˈo	ˈoːu̯	0.294
ŋ	n	0.267
ˈɜɪ̯	j_ˈoː	0.261
ˈə	ˈɪ	0.25
ˈə	ˈiː	0.25
ˈiə̯	ˈiːu̯	0.25
ˈi	ˈœː	0.25
ˈi	ˈeːu̯	0.25
ˈe	ˈɪ	0.25
ˈæːɪ̯	-	0.222
ˈu	-	0.222
ˈoː	ˈɛɪ̯	0.222
ˈoː	ˈɔː	0.222
ˈoː	ˈiː	0.222
ˈiː	ˈʊ	0.222
ˈiː	ˈɔː	0.222
ˈɜɪ̯	ˈeː	0.217
ˈɑ	ˈoːu̯	0.2
<#_kʰ	<#	0.182
ˈo	ˈuː	0.176
ˈo	-	0.176
ˈɜɪ̯	ˈɛɪ̯	0.174
ˈɜɪ̯	ˈoː	0.174
ə	ɣ	0.174
ə	ə	0.174
ə_n	j_ə	0.167
ˈaː	ˈɔː	0.154
ˈaː	-	0.154
ˈɑ	ˈɔ	0.15
ˈɑ	ˈiː	0.15
ˈeː	ˈoː	0.143
ˈeː	ˈaː	0.143
#>	n_#>	0.143
ɕ	k_ə	0.133
ɕ	k	0.133
ə	ɪ	0.13
ˈə	ˈʊ	0.125
ˈə	ˈɔː	0.125
ˈə	ˈɔ	0.125
ˈə	-	0.125
#>	k_#>	0.119
s	-	0.118
ˈaː	ˈaː	0.115
ʀ	ə	0.115
ˈɑ	ˈoː	0.1
ˈɑ	-	0.1
#>	x_#>	0.095
#>	d_#>	0.095
ˈɜɪ̯	ˈiː	0.087
ˈɜɪ̯	j	0.087
ə	ˈoː	0.087
n	n_d	0.085
f	p_ə	0.08
ˈaː	ˈɛ	0.077
ˈaː	ˈoːu̯_d	0.077
ˈaː	ˈa	0.077
ʀ	-	0.077
#>	ɣ_ə_#>	0.071
n	ə	0.064
ɐ	ˈiː_r	0.057
ɐ	ə	0.057
ɐ	-	0.057
