Lombard	Franco-Provençal	probability
a	a	0.589
a	-	0.15
a	ə	0.149
ã	ĩ	0.259
ã	ˈĩ	0.259
ã	ɛ̃	0.146
b	b	0.929
b	ʒ	0.07
d	d	0.382
d	-	0.225
d	ð	0.142
d	v	0.06
d	s	0.053
d	ʁ	0.051
d	ʒ	0.051
e	ə	0.34
e	o	0.207
e	e	0.103
e	eː	0.103
e	ˈɛː	0.08
e	j	0.075
e	-	0.059
e_r	ʁ	0.574
e_r	ə	0.281
ẽ	-	0.489
f	f	0.881
f	v	0.055
i	e	0.389
i	ə	0.219
i	-	0.151
i	i	0.085
ĩ	i	0.361
ĩ	o	0.361
ĩ	ĩ	0.203
j	l	0.423
j	j	0.249
j	-	0.232
j	ʎ	0.071
k	k	0.376
k	ʃ	0.37
k	-	0.223
l	l	0.788
l	-	0.165
l_t	t	0.489
m	m	0.891
m	-	0.093
n	n	0.877
o	o	1.0
p	p	0.85
p	-	0.086
r	ʁ	0.88
r	-	0.074
r_n	ʁ	1.0
r_t	ʁ	1.0
s	s	0.451
s	-	0.27
s	ʃ	0.22
s	t_ʁ	0.052
s_t	t	1.0
t	t	0.66
t	-	0.336
t_e	t	1.0
u	o	0.281
u	ɔ	0.266
u	-	0.197
u	u	0.13
u	a	0.091
ũ	ɔ̃	1.0
v	v	0.489
w	w	0.45
w	-	0.341
w	ɡ	0.117
y	y	0.323
y	u	0.158
z	z	0.805
z	ʁ	0.154
ɛ	o	0.117
ɡ	ɡ	0.699
ɡ	-	0.19
ɡ	v	0.093
ɲ	ɲ	0.538
ɲ	ˈɛ̃	0.142
ɲ	ˈĩ	0.136
ɲ	n	0.092
ʃ	z	0.392
ʃ	-	0.22
ʃ	s	0.22
ʋ	v	0.801
ʋ	-	0.082
ʤ	ʒ	0.519
ʤ	ð	0.233
ʤ	ʎ	0.138
ʤ	s	0.063
ʦ	-	0.389
ʦ	s	0.339
ʦ	ʦ	0.126
ʦ	d	0.085
ʧ	s	0.37
ʧ	-	0.196
ʧ	ʎ	0.129
ʧ	z	0.067
ʧ	ð	0.056
ʧ	k	0.055
ˈa	ˈa	0.423
ˈa	ˈɔ	0.254
ˈa	ˈɛ	0.137
ˈa	j	0.051
ˈa	ˈɑ̃	0.051
ˈa_l	ˈoː	0.644
ˈa_l	ˈi	0.239
ˈaː	ˈa	0.314
ˈaː	ˈɔ	0.314
ˈaː	ˈeː	0.126
ˈaː	ˈoː	0.094
ˈaː	ˈɛ	0.058
ˈãː	ˈɑ̃	0.6
ˈãː	-	0.125
ˈãː	ˈĩ	0.125
ˈãː	ˈɛ̃	0.119
ˈãː_t	ˈɑ̃	1.0
ˈe	ˈeː	0.28
ˈe	ˈɛ	0.231
ˈe	j_ˈɛ	0.158
ˈe	-	0.092
ˈe	ˈi	0.087
ˈe	w_ˈɛ	0.053
ˈe	ˈɔ	0.053
ˈe_j	ˈi	1.0
ˈeː	ˈɛ̃	0.53
ˈeː	ˈɛ	0.146
ˈeː	ˈeː	0.082
ˈẽː	ˈɛ̃	1.0
ˈi	ˈi	0.56
ˈi	ˈɛ	0.207
ˈi	ˈe	0.086
ˈi	-	0.067
ˈi	ˈo	0.063
ˈiː	ˈe	0.489
ˈĩː	ˈĩ	0.699
ˈĩː	ˈɛ̃	0.297
ˈo	ˈa	0.323
ˈo	ˈɔ̃	0.158
ˈu	w	0.22
ˈu	ˈo	0.167
ˈu	w_ˈeː	0.114
ˈu	ˈu	0.099
ˈu	ˈoː	0.086
ˈu	ˈø	0.073
ˈu	w_ˈɛ	0.065
ˈu	ˈɔ	0.065
ˈu	ˈy	0.053
ˈuː	ˈo	0.66
ˈuː	ˈɛ	0.158
ˈũː	ˈɔ̃	0.906
ˈũː	ˈɛ̃	0.076
ˈy	ˈo	0.278
ˈy	ˈu	0.218
ˈy	w	0.165
ˈy	ˈe	0.125
ˈy	u	0.091
ˈy	ˈɛ	0.069
ˈyː	ˈoː	0.289
ˈyː	ˈu	0.246
ˈyː	ˈø	0.141
ˈyː	ˈɔ	0.091
ˈỹː	ˈɔ̃	0.489
ˈø	w	0.384
ˈø	ˈu	0.284
ˈø	ˈo	0.121
ˈø	w_ˈe	0.092
ˈøː	ˈoː	0.367
ˈøː	ˈa	0.242
ˈøː	ˈɔ	0.242
ˈøː	ˈo	0.095
ˈɔ	ˈoː	0.438
ˈɔ	w_ˈe	0.178
ˈɔ	ˈu	0.112
ˈɔ	ˈɔ	0.085
ˈɔ	ˈo	0.059
ˈɔ	ˈø	0.059
ˈɔ_s	ˈoː	1.0
ˈɛ	ˈɛ	0.597
ˈɛ	ˈeː	0.16
ˈɛ	ˈeː_ʁ	0.083
ˈɛ	ˈe	0.075
ˈɛ	ˈi	0.063
ˈɛ̃ː	ˈɛ̃	1.0
ˈˈi	ə	0.489
