American English	Alsatian	probability
b	b̥	1.0
d	t	0.543
d	d̥	0.432
f	f	0.927
h	h	0.951
h	-	0.055
i	i	1.0
j	j	0.594
j	ɡ̊	0.392
k	ʃ	0.582
k	k	0.384
kʰ	kʰ	1.0
l	l	1.0
m	m	0.946
m	-	0.058
n	n	0.875
n	-	0.115
oʊ̯	-	0.574
oʊ̯	i	0.288
p	f	0.503
p	f_ə	0.24
p	p	0.182
p	p͡f	0.06
s	s	0.681
s	ʃ	0.315
t	s	0.361
t	t	0.191
t	ʦ	0.163
t	s_ə	0.105
t	x_t	0.094
t	ʃ_t	0.06
tʰ	ʦ	0.956
v	f	0.407
v	v	0.375
v	n	0.124
v	b̥	0.061
w	ʋ	0.848
w	w	0.096
w	-	0.055
z	s	1.0
ð	t	0.558
ð	d̥	0.437
ŋ	ŋ	0.883
ŋ	i	0.106
ŋ_ɡ	ŋ	1.0
ə	ə	0.415
ə	-	0.208
ə	ˈeː	0.208
ɚ	ə_ʁ	0.645
ɚ	-	0.32
ɡ	ɡ̊	0.859
ɡ	-	0.14
ɫ	l	0.935
ɫ	n	0.064
ɹ	ʁ	0.966
ɾ	s	1.0
ʃ	ʃ	1.0
ʤ	k	1.0
ʧ	kʰ	0.591
ʧ	x	0.232
ʧ	ʁ	0.145
ˈaɪ̯	ˈiː	0.558
ˈaɪ̯	ˈi	0.23
ˈaɪ̯	ˈoː	0.063
ˈaɪ̯	ə	0.054
ˈaɪ̯	ˈyː	0.053
ˈaɪ̯	ˈɒː	0.053
ˈaʊ̯	ˈyː	0.575
ˈaʊ̯	ˈø	0.147
ˈaʊ̯	ˈi	0.074
ˈaʊ̯	ˈu	0.072
ˈaʊ̯	ˈʊː	0.072
ˈeɪ̯	ˈɒ	0.359
ˈeɪ̯	j	0.219
ˈeɪ̯	ˈaː	0.219
ˈeɪ̯	ˈɒː	0.126
ˈeɪ̯	ˈoː	0.066
ˈi	ˈiː	0.209
ˈi	ˈoː	0.193
ˈi	ˈʊː	0.143
ˈi	ˈeː	0.137
ˈi	ˈei̯	0.119
ˈi	ˈæː	0.077
ˈi	ˈɒː	0.051
ˈoʊ̯	ˈəi̯	0.53
ˈoʊ̯	ˈeː	0.186
ˈoʊ̯	ˈɒ	0.186
ˈoʊ̯	ˈɒː	0.081
ˈu	ˈɒː	0.196
ˈu	ˈɒ	0.135
ˈu	ˈəi̯	0.135
ˈu	ˈʊː	0.135
ˈu	ˈei̯	0.129
ˈu	ˈøː	0.089
ˈu	ˈoː	0.062
ˈæ	ˈɒ	0.706
ˈæ	ˈɒː	0.171
ˈæ	ˈæ	0.103
ˈɑ	ˈɒ	0.501
ˈɑ	ˈɒː	0.105
ˈɑ	ˈo	0.083
ˈɑ	ˈəi̯	0.081
ˈɑ	ˈe	0.08
ˈɑ	ˈoː	0.08
ˈɑ	ˈu	0.063
ˈɔ	ˈo	0.478
ˈɔ	ˈiː	0.187
ˈɔ	ˈɒ	0.187
ˈɔ	ˈɒː	0.124
ˈɛ	ˈoː	0.182
ˈɛ	ˈi	0.15
ˈɛ	ˈe	0.138
ˈɛ	ˈæː	0.127
ˈɛ	ˈəi̯	0.097
ˈɛ	ˈɛ	0.083
ˈɛ	ˈeː	0.057
ˈɛ	ə	0.054
ˈɛ	ˈu	0.054
ˈɝ	ˈo	0.392
ˈɝ	ˈiː	0.226
ˈɝ	ˈu	0.226
ˈɪ	ˈi	0.672
ˈɪ	ˈe	0.115
ˈɪ	ˈu	0.092
ˈɪ	ˈæ	0.061
ˈɪ	ˈiː	0.053
ˈʊ	ˈo	0.519
ˈʊ	ˈʊː	0.478
ˈʌ	ˈu	0.437
ˈʌ	ˈʊː	0.167
ˈʌ	ˈɒ	0.145
ˈʌ	ˈøː	0.096
ˈʌ	ˈo	0.076
ˈʌ	ˈoː	0.058
θ	d̥	0.514
θ	n	0.19
θ	l	0.126
θ	t	0.126
