Old High German	Standard German	probability
ˈɛ_h	ˈeː	1.0
ˈɑ_h	ˈɛː	1.0
ˈou̯	ˈaʊ̯	1.0
ˈiː	ˈaɪ̯	1.0
ˈiu̯	ˈɔʏ̯	1.0
ˈio̯	ˈiː	1.0
ˈie̯	ˈiː	1.0
ˈi_r	ˈiː_ɐ	1.0
ˈeː	ˈeː	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ɡ_ɑ	ɡ	1.0
ɡ_r	ɡ_ʁ	1.0
ɛ_r	ɐ	1.0
ɛ_h	eː	1.0
ə	ə	1.0
ɑ_ɡ	ɪ_ç	1.0
ɑ_r	ɐ	1.0
ɑ_n	n	1.0
ɑ	ə	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː_e	x	1.0
x_s	k_s	1.0
v	v	1.0
u	-	1.0
tː	t	1.0
t_ɑ	d	1.0
s̻ː	s	1.0
s̻	s	1.0
s_ˈɑ	z_ˈa	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
rː	-	1.0
r_t	ɐ_t	1.0
r_n	ɐ_n	1.0
p͡f	p͡f	1.0
p	p	1.0
ou̯	ˈaʊ̯	1.0
nː_ɑ	n_ə	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ˈio̯	l	1.0
l	l	1.0
kː	k	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
fː	f	1.0
f	f	1.0
eː_n	n	1.0
e_n	n	1.0
e	ə	1.0
d_ɑ	d	1.0
d_r	d_ʁ	1.0
b_ɑ	b	1.0
n	n	0.97
ɡ	ɡ	0.943
b	b	0.934
ˈi	ˈɪ	0.916
ˈuː	ˈaʊ̯	0.882
ˈei̯	ˈaɪ̯	0.838
t	t	0.829
ˈo	ˈɔ	0.827
w	v	0.806
h	h	0.803
i	-	0.794
oː	-	0.783
xː	ç	0.771
ˈɑ	ˈa	0.739
d	d	0.736
x	ç	0.733
ˈuo̯	ˈuː	0.724
ˈɛ	ˈɛ	0.697
r	ɐ	0.682
ˈoː	ˈoː	0.676
ˈe	ˈɛ	0.674
o	-	0.63
s	z	0.611
ˈu	ˈʊ	0.603
ˈɑː	ˈaː	0.551
s	ʃ	0.389
o	ə	0.37
ˈe	ˈeː	0.326
ˈoː	ˈøː	0.324
r	ʁ	0.318
ˈuo̯	ˈyː	0.276
x	x	0.267
d	d̥	0.264
ˈɑ	ˈaː	0.261
xː	x	0.229
ˈu	ˈʏ	0.217
oː	a	0.217
i	ə	0.206
h	-	0.197
ˈɑː	ˈoː	0.194
ˈɛ	ˈeː	0.176
ˈo	ˈoː	0.173
t	d̥	0.171
ˈei̯	-	0.162
ˈɑː	-	0.15
w	-	0.148
ˈɛ	-	0.127
ˈu	-	0.122
ˈuː	-	0.118
ˈɑː	ˈɛː	0.105
ˈi	ˈiː	0.084
b	-	0.066
ˈu	ˈyː	0.057
ɡ	ɪ_ç	0.057
