Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʉː_#>	ˈuː_#>	1.0
ˈʉː	ˈʉː	1.0
ˈɪ	ˈɪ	1.0
ˈøː_t	ˈœ_tː	1.0
ˈøː	ˈøː	1.0
ˈæː	ˈæː	1.0
ˈæ	ˈɛ	1.0
ʰpː	pː	1.0
ʰkː	kː	1.0
ʋ	v	1.0
ʉ	ɵ	1.0
ʂ	ɧ	1.0
ɾ_ɑ	r_a	1.0
ɾ_n	ɳ	1.0
ɲ	ŋː	1.0
ɪ	ɪ	1.0
ɡː	ɡː	1.0
ɛ	-	1.0
ɑ_#>	#>	1.0
ɑ	a	1.0
ŋː	ŋː	1.0
ŋ	ŋ	1.0
çː	-	1.0
tː	tː	1.0
tʰ	tʰ	1.0
t_ə	ʈ	1.0
sː	sː	1.0
pʰ	pʰ	1.0
p	p	1.0
mː	mː	1.0
kʰ_ʋ	v	1.0
kʰ	kʰ	1.0
jː	ɡː	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
l	l	0.95
s	s	0.923
ˈɑ	ˈa	0.913
ˈɛ	ˈɛ	0.9
n	n	0.9
ˈiː	ˈiː	0.882
ˈuː	ˈuː	0.867
ɡ	ɡ	0.862
t	t	0.862
k	k	0.842
j	j	0.824
m	m	0.808
ɾ	r	0.797
ˈoː	ˈoː	0.789
ə	ɛ	0.75
ç	ɕ	0.727
ˈyː	ˈyː	0.714
ˈʊ	-	0.667
ˈʉ	ˈɵ	0.667
ˈæɪ̯	ˈeː	0.667
ʰtː	tː	0.667
ˈɑː	ˈɑː	0.643
ˈʏ	ˈʏ	0.571
ˈœʏ̯	ˈœː	0.5
ˈœʏ̯	-	0.5
ˈœ	ˈøː	0.5
ˈœ	-	0.5
ˈæʉ̯	ˈøː_d	0.5
ˈæʉ̯	ˈøː	0.5
lː	lː	0.5
lː	l_d	0.5
nː	nː	0.471
e	a	0.444
ˈɔ	ˈɔ	0.385
ˈɔ	-	0.385
e	ɛ	0.361
ˈeː	ˈeː	0.357
nː	n_d	0.353
ˈʊ	ˈuː	0.333
ˈæɪ̯	ˈɛ	0.333
ʰtː	t	0.333
ˈyː	j_ˈʉː	0.286
ˈeː	ˈɛː	0.286
ç	k	0.273
ə	-	0.25
ˈɔ	ˈɵ	0.231
ˈʏ	ˈœ	0.214
ˈʏ	-	0.214
ˈɑː	ˈɑː_d	0.214
ˈeː	ˈɛ	0.214
ˈoː	-	0.211
m	mː	0.192
nː	n	0.176
e	-	0.167
k	kː	0.158
ˈɑː	ˈɛː	0.143
ˈeː	-	0.143
ɡ	-	0.138
ˈuː	ˈʉː	0.133
ˈiː	-	0.118
j	-	0.118
ˈʉ	ˈʊ	0.111
ˈʉ	ˈɔ	0.111
ˈʉ	-	0.111
ˈɛ	-	0.1
ˈɑ	ˈɑː	0.087
t	tː	0.069
t	-	0.069
ɾ	-	0.062
j	jː	0.059
s	-	0.058
