Afrikaans	Afrikaans	probability
ˈɛː	ɡ_n	1.0
ˈɛ	-	1.0
ˈɔː	-	1.0
ˈæː	ˈɑː	1.0
ˈyː	-	1.0
ɦ	h	1.0
ə_ŋ	n	1.0
ə_r	ɐ	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
w	-	1.0
v̥_#>	v̥_#>	1.0
v̥	f	1.0
t_#>	#>	1.0
t	t	1.0
r_ˈɑː	r_ˈɒːɒ̯	1.0
r_ˈu	r	1.0
r_t	ɐ_t	1.0
r_s	s_t	1.0
p	p	1.0
m	m	1.0
k	k	1.0
i	ɑɪ̯	1.0
b	b	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
n	n	0.956
ɫ	l	0.94
ˈə	ˈɪ	0.917
#>	n_#>	0.912
d̥	d̥	0.867
d	d	0.857
v	v	0.839
ˈœɪ̯	ˈuː	0.727
ˈu	ˈɑʊ̯	0.714
ˈʊə̯	ˈoː	0.682
ˈəɪ̯	ˈiː	0.667
ˈœu̯	ˈɔ_l	0.667
ˈæ	ˈɛ	0.667
ˈɑː	ˈɒː	0.625
r	ɐ	0.617
j	j	0.6
ˈœ	-	0.571
ˈa	ˈɑ	0.545
ˈɪø̯	ˈøːø̯	0.5
ˈɪø̯	-	0.5
n_d̥	n_n	0.5
n_d̥	n	0.5
<#_ˈʊə̯	<#_ˈoːo̯	0.5
<#_ˈʊə̯	<#_ˈoː_v	0.5
χ	ɡ	0.488
ˈɔ	ˈʊ	0.435
ˈœ	ˈʏə̯	0.429
s	s	0.413
ˈɪə̯	ˈæɪ̯	0.4
ə	-	0.4
j	-	0.4
ˈɪə̯	ˈeː	0.35
ˈi	ˈæɪ̯	0.35
ˈi	-	0.35
χ	ɣ̊	0.341
r	r	0.34
ˈœu̯	ˈɑːʊ̯	0.333
ˈæ	-	0.333
s	z	0.317
ə	ɐ	0.3
ə	n	0.3
ˈœɪ̯	-	0.273
ˈɔ	ˈɔ	0.261
ˈʊə̯	ˈøː	0.227
ˈəɪ̯	-	0.222
ˈɑː	-	0.208
ˈi	ˈɛːɪ̯	0.2
ˈa	ˈɑː	0.182
ˈɔ	-	0.174
v	w	0.161
ˈa	ˈɑːɑ̯	0.152
ˈɪə̯	ˈeːe̯	0.15
ˈu	-	0.143
d	-	0.143
s	z̥	0.127
χ	χ_t	0.122
ˈa	-	0.121
ˈəɪ̯	ˈɪə̯	0.111
s	s_k	0.111
ˈɪə̯	-	0.1
ˈi	ˈæː	0.1
ˈʊə̯	-	0.091
#>	ˈɛːɪ̯_#>	0.088
ˈɔ	ˈœ	0.087
ˈə	-	0.083
ˈɑː	ˈɔː	0.083
ˈɑː	ˈɒːɒ̯	0.083
ˈu	ˈøy̯	0.071
ˈu	ʊ	0.071
d̥	n	0.067
d̥	-	0.067
