Afrikaans	Limburgish	probability
b	b	1.0
d	d	0.86
d	-	0.097
d	t	0.041
f	v	0.711
f	f	0.234
f	ˈv	0.039
f	-	0.032
j	j	1.0
k	k	0.727
k	ə_k	0.114
k	x	0.085
k	k_ə	0.064
l	l	0.763
l	l_ə	0.23
m	m	0.81
m	ə_m	0.099
m	m_ə	0.08
n	n	0.921
n	-	0.077
p	p	1.0
r	ʀ	0.983
s	s	0.605
s	z	0.34
s	-	0.041
s_k	ʃ	1.0
t	t	0.824
t	j_ə	0.057
t	-	0.041
t	d_ə	0.038
t	j	0.033
v	β	0.857
v	v	0.138
w	β	0.901
w	-	0.08
ŋ	ŋ	0.815
ŋ	-	0.178
ə	ə	0.712
ə	-	0.099
ə	j_ə	0.097
ə	ɪ	0.082
ɦ	ɦ	1.0
ɫ	l	0.937
ɫ	-	0.062
ˈa	ˈɑ	0.4
ˈa	ˈaː	0.252
ˈa	ˈɑː	0.23
ˈa	ˈæ	0.051
ˈa	ˈæː	0.037
ˈi	ˈeː	0.525
ˈi	ˈi	0.188
ˈi	ˈiː	0.103
ˈi	ˈʏː	0.068
ˈi	ˈɛi̯	0.058
ˈoːi̯	ˈu	0.242
ˈu	ˈʊː	0.418
ˈu	ˈøː	0.394
ˈu	ˈoː	0.178
ˈuː	ˈøː	0.492
ˈuːi̯	ˈoː	0.492
ˈyː	ˈøː	0.324
ˈyː	ˈyː	0.16
ˈæ	ˈæː	0.361
ˈæ	ə	0.361
ˈæ	ˈi	0.204
ˈæː	ˈæː	0.574
ˈæː	ˈaː	0.282
ˈœ	ˈœ	0.379
ˈœ	ˈʏː	0.186
ˈœ	ˈʏ	0.162
ˈœ	ˈœː	0.105
ˈœi̯	ˈiː	0.242
ˈœu̯	ˈaː_j	0.341
ˈœu̯	w	0.182
ˈœu̯	ˈɔu̯	0.182
ˈœu̯	ˈɑ	0.111
ˈœɪ̯	ˈuː	0.654
ˈœɪ̯	ˈœi̯	0.331
ˈɑː	ˈɒː	0.512
ˈɑː	ˈaː	0.21
ˈɑː	ˈi	0.085
ˈɑː	ˈeː	0.074
ˈɑː	ˈʊː	0.056
ˈɔ	ˈɔ	0.475
ˈɔ	ˈʊː	0.213
ˈɔ	ˈɔː	0.086
ˈɔ	-	0.057
ˈɔ	ˈʊ	0.057
ˈɔː	ˈʊː	0.66
ˈɔː	ˈaː	0.16
ˈə	ˈɪː	0.414
ˈə	ˈeː	0.158
ˈə	ˈɪ	0.122
ˈə	ˈi	0.102
ˈə	ˈɛ	0.102
ˈəɪ̯	ˈiː	0.462
ˈəɪ̯	ˈɛː	0.267
ˈəɪ̯	ˈɛːi̯	0.103
ˈəɪ̯	ˈɛ_j	0.071
ˈəɪ̯	ˈi	0.069
ˈɛ	ˈɛ	0.194
ˈɛ	ˈɛː	0.169
ˈɛ	ˈeː	0.169
ˈɛ	ˈɪ	0.129
ˈɛ	ˈæː	0.111
ˈɛː	ˈɛ	0.66
ˈɛː	ˈœ	0.16
ˈɪ	ˈɪː	0.492
ˈɪø̯	ˈoː	0.45
ˈɪø̯	ˈʊː	0.221
ˈɪø̯	ˈɒː	0.125
ˈɪə̯	ˈeː	0.59
ˈɪə̯	ˈɛː	0.284
ˈɪə̯	ˈi	0.12
ˈʊə̯	ˈu	0.217
ˈʊə̯	ˈʊː	0.187
ˈʊə̯	ˈɔː	0.169
ˈʊə̯	ˈyː	0.105
ˈʊə̯	ˈøː	0.095
χ	x	0.543
χ	ɣ	0.379
χ	k	0.044
χ	-	0.033
