Afrikaans	Limburgish	probability
b	b	1.0
d	d	0.904
d	-	0.07
f	v	0.723
f	f	0.161
f	ə_f	0.084
i	i	1.0
j	j	0.602
j	ˈøː	0.398
k	k	0.769
k	-	0.156
k	x	0.063
m	m	1.0
n	n	0.9
n	-	0.1
p	p	0.952
r	ʀ	0.99
s	s	0.474
s	z	0.379
s	ʃ	0.09
s	-	0.05
t	t	0.833
t	-	0.091
t	j	0.054
v	β	0.903
v	v	0.097
w	β	0.962
ŋ	ŋ	1.0
ə	ə	0.881
ə	ɪ	0.064
ə	j_ə	0.055
ɦ	ɦ	1.0
ɫ	l	0.987
ˈa	ˈaː	0.321
ˈa	ˈɑ	0.288
ˈa	ˈɑː	0.259
ˈa	ˈæ	0.072
ˈi	ˈeː	0.442
ˈi	ˈiː	0.185
ˈi	ˈi	0.174
ˈi	ˈʏː	0.102
ˈi	ˈɛi̯	0.054
ˈoːi̯	ˈu	1.0
ˈu	ˈʊː	0.414
ˈu	ˈøː	0.384
ˈu	ˈoː	0.202
ˈuː	ˈøː	1.0
ˈuːi̯	ˈoː	0.67
ˈuːi̯	j	0.33
ˈyː	ˈyː	0.606
ˈyː	ˈøː	0.298
ˈyː	ˈuː	0.095
ˈæ	ə	0.894
ˈæ	ˈi	0.106
ˈæː	ˈæː	0.602
ˈæː	ˈaː	0.398
ˈœ	ˈœ	0.527
ˈœ	ˈœː	0.321
ˈœ	ˈʏː	0.108
ˈœi̯	ˈiː	1.0
ˈœu̯	ˈaː_j	0.507
ˈœu̯	w	0.287
ˈœu̯	ˈɔu̯	0.146
ˈœu̯	ˈɑ	0.061
ˈœɪ̯	ˈuː	0.586
ˈœɪ̯	ˈœi̯	0.336
ˈœɪ̯	ˈɔu̯	0.078
ˈɑː	ˈɒː	0.502
ˈɑː	ˈaː	0.207
ˈɑː	ˈʊː	0.109
ˈɑː	ˈeː	0.102
ˈɑː	ˈi	0.052
ˈɔ	ˈʊː	0.4
ˈɔ	ˈɔ	0.259
ˈɔ	ˈɔː	0.096
ˈɔ	ˈœː	0.079
ˈɔ	ˈʊ	0.056
ˈɔː	ˈʊː	0.846
ˈɔː	ˈaː	0.154
ˈə	ˈɪː	0.549
ˈə	ˈeː	0.155
ˈə	ˈɪ	0.08
ˈə	ˈi	0.059
ˈə	ɪː	0.058
ˈə	ˈøː	0.054
ˈəɪ̯	ˈiː	0.42
ˈəɪ̯	ˈɛː	0.199
ˈəɪ̯	ʀ	0.135
ˈəɪ̯	ˈɛ	0.114
ˈəɪ̯	ˈɛːi̯	0.091
ˈɛ	ˈɪ	0.266
ˈɛ	ˈɪː	0.175
ˈɛ	ˈʏ	0.175
ˈɛ	ˈɛ	0.112
ˈɛ	ˈeː	0.097
ˈɛ	ˈæː	0.095
ˈɛ	ˈɛː	0.081
ˈɛː	ˈœ	0.67
ˈɛː	ˈɛ	0.33
ˈɪ	ˈɪː	0.747
ˈɪ	ˈɛː	0.253
ˈɪø̯	ˈʊː	0.578
ˈɪø̯	ˈoː	0.284
ˈɪø̯	ˈɒː	0.137
ˈɪə̯	ˈeː	0.661
ˈɪə̯	ˈɛː	0.286
ˈɪə̯	ˈi	0.053
ˈʊə̯	ˈʊː	0.313
ˈʊə̯	ˈu	0.157
ˈʊə̯	ˈøː	0.138
ˈʊə̯	ˈɔː	0.113
ˈʊə̯	ˈyː	0.072
ˈʊə̯	ˈoː	0.066
ˈʊə̯	ˈi	0.053
χ	ɣ	0.425
χ	x	0.408
χ	k	0.157
