Proto-Germanic	East Low German	probability
θ	d	1.0
β_ɑ_z_#>	f_#>	1.0
β_ɑ	m	1.0
β	f	1.0
ˈɑː	ˈɒː	1.0
ˈɑi̯_w	ˈeː	1.0
ˈɑ_x	ˈɒː	1.0
ˈɑ_r	ˈaː	1.0
ˈuː	ˈuː	1.0
ˈu_ŋ	ˈʊ	1.0
ˈu_r	ˈuː_æ	1.0
ˈiː	ˈiː	1.0
ˈiu̯	ˈyː	1.0
ˈeu̯	ˈae̯	1.0
ˈe_r	ˈaː	1.0
ˈe_k	ˈɪ_k	1.0
ɸ	f	1.0
ɣ_ɑ	ŋ	1.0
ɣ_j	ç	1.0
ɔ̃ː	-	1.0
ɔːː	-	1.0
ɔː	-	1.0
ɑ̃_#>	#>	1.0
ɑː	-	1.0
ɑ_z_#>	#>	1.0
ɑ_n_ɑ̃_#>	#>	1.0
ɑ_n	m	1.0
ŋ	ŋ	1.0
ð_ɛː	ɾ	1.0
ð_ɑ	d	1.0
z_#>	#>	1.0
z	ç	1.0
x_t	ç	1.0
x_r	r	1.0
wː	ˈuː	1.0
u	-	1.0
tː	t	1.0
t_ɛː	t	1.0
t_ɑ	t	1.0
s_ˈe	z	1.0
s_ɑ̃	s	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_ɑ̃	æ	1.0
r_ɑ	æ	1.0
r_u	æ	1.0
r_n	æ_n	1.0
r_i	æ	1.0
pː	p	1.0
p	p	1.0
nː	n	1.0
n_θ	n	1.0
n_ɑ̃_#>	#>	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
k_s	k	1.0
k_i	k	1.0
k	k	1.0
iː	-	1.0
i	-	1.0
e_r	æ	1.0
<#_ˈɑi̯	<#_ˈae̯	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ɣ	<#_ɡ	1.0
<#_x	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
b	b	0.917
d	d	0.913
j	-	0.9
ð	t	0.867
ˈɑi̯	ˈae̯	0.846
ɑ	-	0.842
ˈi	ˈɪ	0.792
ˈɛː	ˈɒː	0.75
x	h	0.75
t	t	0.706
ˈɔː	ˈaʊ̯	0.667
ˈɑu̯	ˈaʊ̯	0.667
w	v	0.647
ɡ	-	0.625
xʷ	v	0.6
r	r	0.583
ˈɑ	ˈa	0.512
xʷ	-	0.4
ˈe	ˈɛ	0.389
ɡ	ŋ	0.375
s	z	0.372
ɣ	ç	0.348
ˈɔː	ˈɔʏ̯	0.333
r	æ	0.333
s	s	0.326
ˈu	ˈʊ	0.324
s	ʃ	0.302
t	tʰ	0.294
ˈu	ˈɔ	0.265
ˈɛː	ˈoː	0.25
w	-	0.235
ˈe	ˈɛː	0.222
ɣ	j	0.217
ˈi	ˈiː	0.208
ˈu	ˈʏ	0.206
ˈɑu̯	ˈɔʏ̯	0.2
ɣ	ɡ	0.174
ɣ	x	0.174
ˈe	-	0.167
ɑ	ɪ	0.158
ˈɑi̯	ˈɪ	0.154
ˈu	ˈœː	0.147
ˈɑ	ˈɒː	0.146
x	x	0.143
ˈɑu̯	ˈoː	0.133
ð	ɾ	0.133
w	w	0.118
ˈe	ˈʏ	0.111
ˈe	ˈiː	0.111
x	-	0.107
j	j	0.1
ɣ	ŋ	0.087
d	t	0.087
r	-	0.083
b	-	0.083
ˈɑ	ˈɛː	0.073
ˈɑ	ˈɛ	0.073
ˈɑ	ˈaː	0.073
ˈɑ	-	0.073
ˈu	ˈuː	0.059
