Québécois French	Gascon	probability
o	ˈɔ_s	1.0
p	p	1.0
ɑ	ˈa	1.0
ɛɪ̯	ˈɛ_s	1.0
ʊ	ˈu	1.0
ʏ	ˈy	1.0
ʣ	d	1.0
ʦ	t	1.0
a	ˈe	0.051
b	β	0.131
e	ˈi	0.061
e	e	0.071
m	m_ɔ	0.101
n	n_ɔ	0.151
oʊ̯	ˈɛ_t	0.511
w	ˈy	0.521
z	z	0.801
øʏ̯	ˈu	0.071
øʏ̯	w	0.511
œ	ˈa	0.051
œ	e	0.401
ɔ	ˈu	0.551
ɛ	w	0.1
ɛ	ˈe	0.1
ɥ	ˈy	0.601
ʁ	ɾ_e	0.061
ʁ	ɾ_ɔ	0.071
ẽɪ̯̃	n	0.142
ẽɪ̯̃	ŋ	0.312
j	-	0.312
k	s_k	0.052
u	ˈu_ʎ	0.092
y	ˈy_β	0.242
øʏ̯	ˈɔ	0.332
ɑɔ̯	ˈɔ	0.772
ɔ	u	0.382
ɛ	ˈa	0.112
ɛ	ɔ	0.292
ɡ	ɣ	0.232
ʒ	-	0.172
a	ˈa	0.443
ã	ˈa_ŋ	0.223
e	ˈa	0.613
j	ʎ	0.083
j	ˈɛ	0.123
l	-	0.153
n	ɔ	0.133
æɛ̯	ˈe	0.123
æɛ̯	ˈa	0.373
œ	w_ˈe	0.423
ɒ̃ʊ̯̃	ˈu_ŋ	0.513
ɛ	e	0.103
ɛ	ˈu	0.133
ɪ	ˈi	0.873
ʃ	k_ˈa	0.13
ã	ˈa_n	0.114
ã	m	0.124
d	d	0.94
ẽɪ̯̃	ˈa_ŋ	0.224
m	m	0.874
n	-	0.074
v	β	0.314
ɒ̃ʊ̯̃	ŋ	0.104
ɲ	ɲ	0.244
ʁ	ð_e	0.074
f	-	0.125
f	h	0.875
j	ˈe	0.075
l	l_ˈe	0.05
n	n	0.555
t	t	0.65
u	ˈu	0.725
w	ˈi	0.465
æɛ̯	ˈe_j	0.05
ɛ	ɾ_ɔ	0.065
ɛ	ˈɛ	0.095
ʃ	k_ɔ	0.225
a	a	0.506
ã	ˈe_n	0.36
b	b	0.856
d	-	0.06
e	ˈa_ð	0.066
ẽɪ̯̃	ɲ	0.136
k	<#_a	0.06
l	l_ɔ	0.156
l	l	0.606
s	ʃ	0.066
t	t_ɔ	0.196
øʏ̯	-	0.086
ɒ̃ʊ̯̃	ˈu_n	0.166
ɔ	ˈɔ	0.066
ɲ	ɲ_ɔ	0.756
ʁ	ɾ	0.216
ʃ	k	0.596
ʒ	ʒ	0.76
i	ˈi_t	0.077
i	ˈi	0.27
j	ʎ_ɔ	0.287
n	ŋ	0.087
s	-	0.117
u	u	0.147
ɒ̃ʊ̯̃	ˈu	0.157
ɪ	ˈɛ	0.127
ʁ	-	0.117
ã	n	0.18
i	i	0.068
s	s	0.818
y	ˈy	0.758
æɛ̯	ˈa_j	0.098
æɛ̯	j	0.108
ɑɔ̯	w	0.228
ɡ	ɡ	0.768
ʁ	r	0.408
ʒ	ʤ_e	0.068
e	e_s	0.189
ẽɪ̯̃	ˈi_ŋ	0.149
i	-	0.09
i	ˈe_j	0.169
i	ˈe	0.239
j	ˈe_ʎ	0.119
k	k	0.879
oʊ̯	ˈa_w	0.489
v	b	0.639
z	z_ɔ	0.199
æɛ̯	ˈɛ	0.189
œ	ˈe	0.099
ɒ̃ʊ̯̃	-	0.059
ɥ	w	0.399
