Old French	Piedmontese	probability
θ	-	1.0
ˈɛ_w	ˈø	1.0
ˈỹ	ˈy	1.0
ˈy_j	ˈø	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi	1.0
ˈi_r	e	1.0
ˈẽ_j	ˈe	1.0
ˈã_j	ˈa	1.0
ˈã	ˈa	1.0
ˈa_j	ˈa_ɡ	1.0
ʧ	k	1.0
ʎ_ə	j_a	1.0
ʎ	j	1.0
ɲ	ɲ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
ɔ	u	1.0
ŋ	ŋ	1.0
z_ə	z_a	1.0
z	z	1.0
y	-	1.0
w_ˈɛ	ˈø	1.0
v	v	1.0
ũ	u	1.0
t_ə	t_a	1.0
s_ˈɛ	s_ˈɛ	1.0
r_ə	e	1.0
r_t	r_t	1.0
p	p	1.0
o	-	1.0
n_ə	ŋ_a	1.0
n_d	n	1.0
m	m	1.0
l_ə	l_a	1.0
k	k	1.0
j_ˈe	ˈe	1.0
j_s	z	1.0
ĩ	i	1.0
i	i	1.0
f	f	1.0
e_s	s	1.0
d	d	1.0
b	b	1.0
ã	a	1.0
a	a	1.0
s	s	0.926
r	r	0.9
t	t	0.888
ˈu	ˈu	0.821
ˈy	ˈy	0.802
ʤ	ʤ	0.785
ˈa	ˈa	0.74
j_ˈɛ	ˈɛ	0.719
ˈɛ_r	ˈɛ_r	0.709
ˈe	ˈe	0.709
ə	a	0.708
ˈũ	ˈu	0.684
ˈi	ˈi	0.671
ˈẽ	ˈɛ	0.647
e	-	0.647
ʦ	s	0.643
u	u	0.53
ˈɔ	ˈɔ	0.512
ˈɔ_j	ˈi	0.505
ˈɔ_j	ˈe	0.495
n	n	0.48
n	ŋ	0.46
l	j	0.453
l	l	0.444
w	w	0.437
w	ˈø	0.406
ˈɛ	ˈɛ	0.392
j	j	0.357
e	i	0.353
ˈɛ_r	r	0.291
ˈẽ	-	0.286
j_ˈɛ	ˈe	0.281
ʦ	-	0.28
ˈa	-	0.26
j	-	0.244
u	ˈø	0.243
ˈɛ	-	0.239
u	ˈu	0.227
ʤ	-	0.215
j	ˈa	0.212
ˈɔ	ˈɛ	0.21
ˈi	ˈɛ	0.209
ˈy	-	0.198
ˈɛ	ˈa	0.187
ˈɛ	ˈe	0.182
ˈu	-	0.179
ˈɔ	ˈe	0.175
ˈũ	ˈɔ	0.158
ˈũ	-	0.158
w	-	0.157
ˈe	ˈa	0.151
ə	e	0.147
ˈe	-	0.14
ˈi	ˈe	0.12
l	-	0.103
ˈɔ	ˈu	0.102
j	d	0.098
ʦ	ʧ	0.077
j	ˈe	0.068
ˈẽ	ˈə	0.067
t	-	0.067
ə	-	0.06
n	m	0.06
r	-	0.057
ə	i	0.056
s	z	0.052
