Gallurese	Gallurese	probability
ˈe_r	ˈi_ɾ	1.0
ˈe_n	ˈi_n	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_i	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ʧː	ʃː	1.0
ʧ_i	ʃ_ə	1.0
ʦ	ʦ	1.0
ʤ	ʤ_ˈi	1.0
ʣ	ʦː	1.0
ʒ	-	1.0
ʃː	ʃː	1.0
ɲː	ɲː	1.0
ɟ	ʤ	1.0
ŋ	ŋ	1.0
u_#>	#>	1.0
t	t	1.0
sː	sː	1.0
r_ˈa	ɾ	1.0
r_i	ɾ_ə	1.0
pː	p	1.0
o	ə	1.0
n_d	nː	1.0
mː	mː	1.0
l_u	l_ə	1.0
l_b	ɾ_v	1.0
kː	kː	1.0
fː	fː	1.0
f_j	ʃ	1.0
f	f	1.0
e	ə	1.0
c	k_j	1.0
bː	bː	1.0
a_t	a_t	1.0
a_r	ə_ɾ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɟ	<#_j	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
n	n	0.953
p	p	0.939
ˈa	ˈa	0.932
tː	tː	0.929
k	k	0.889
ˈu	ˈu	0.885
u	ə	0.851
#>	ə_#>	0.833
v	v	0.812
s	s	0.773
a	ə	0.763
ɡ	ɡ	0.75
m	m	0.739
ɖː	lː	0.733
ʧ	ʃ	0.706
ˈi	ˈi	0.684
ʦː	ʦː	0.667
z	s	0.667
r	ɾ	0.615
rː	ɾ_n	0.6
nː	nː	0.6
cː	kː_j	0.6
i	ə	0.574
ˈɛ	ˈɛ	0.538
ˈo	ˈo	0.533
ˈɔ	ˈɔ	0.529
ɟː	ʤː	0.5
ɟː	j	0.5
ˈe	ˈɛ	0.471
ˈo	ˈu	0.467
d	ɾ	0.458
d	d	0.458
l	l	0.44
ˈe	ˈe	0.412
rː	rː	0.4
nː	-	0.4
cː	kː	0.4
b	v	0.4
j	j_ə	0.375
j	j	0.375
ʦː	ʧː	0.333
z	z	0.333
l	ɾ	0.32
ˈɛ	j_ˈɛ	0.308
ˈɔ	w_ˈɔ	0.294
r	r	0.269
ɖː	ʎː	0.267
b	b_w	0.267
ɡ	k	0.25
j	ə	0.25
i	i	0.241
ʧ	-	0.235
s	ʃ	0.227
a	a	0.211
b	b	0.2
v	v_j	0.188
#>	j_ə_#>	0.167
ˈɛ	ˈe	0.154
b	-	0.133
m	mː	0.13
m	m_j	0.13
l	w	0.12
l	-	0.12
u	u	0.119
ˈe	ˈi	0.118
ˈu	-	0.115
r	-	0.115
k	k_w	0.111
ˈɔ	ˈu	0.088
ˈɔ	ˈo	0.088
d	t	0.083
ˈi	ˈe	0.079
ˈi	i	0.079
tː	dː	0.071
ˈa	ˈɛ	0.068
p	k	0.061
ʧ	ʧ	0.059
i	e	0.056
i	-	0.056
ˈi	ˈe_v	0.053
ˈi	ə	0.053
ˈi	-	0.053
