Lithuanian	Polish	probability
ˈɪ_s	ɔ	1.0
ˈɛ	z̥	1.0
ʊ	-	1.0
ɫ̌	-	1.0
ɫ	w	1.0
ɛ̂ʊ̯	ˈu	1.0
ɛɪ̯	ˈi_x	1.0
ɐʊ̯	-	1.0
ɐɪ̯	j_ˈa	1.0
ɐ_ŋ	ˈɛ_ŋ	1.0
ɐ_s	ɨ	1.0
æ̂ː	ʐ_ˈɔ	1.0
æ̂ɪ̯	ˈi	1.0
z	ˈɔ	1.0
ǔə̯	-	1.0
uː	ˈɨ	1.0
tʲ_ɪ	ʨ	1.0
tʲ	ʨ	1.0
t_ɐ	ɨ	1.0
ř	r	1.0
pʲ	p	1.0
p	-	1.0
ǒː	ˈa	1.0
oː	ˈa	1.0
ň	n	1.0
m̌	-	1.0
m	m	1.0
k_tʲ	ʦ	1.0
ǐː	-	1.0
ǐə̯	-	1.0
îː	ˈɨ	1.0
îə̯	-	1.0
iː	ɛ	1.0
iə̯	-	1.0
ěː	a	1.0
bʲ	b	1.0
b	b	1.0
âː	-	1.0
âʊ̯	ˈɔ_ɲ	1.0
âɪ̯	-	1.0
aː	w̃	1.0
n	n	0.859
vʲ	v	0.848
v	v	0.827
r	r	0.811
ɡ	ɡ	0.804
lʲ	l	0.761
ˈʊ	-	0.748
mʲ	m	0.745
t	t	0.744
sʲ	ɕ	0.737
ɪ	-	0.731
ˈɐ	a	0.69
dʲ	ʥ	0.685
ˈɪ	-	0.615
ʑ	ʑ	0.611
kʲ	k	0.6
ɛ	-	0.578
ɡʲ	-	0.577
ɐ	ˈɔ	0.559
k	k	0.545
d	d	0.535
ʒ	ɡ	0.533
eː	a	0.519
ɕ	ɕ	0.516
ûː	ˈɨ	0.512
nʲ	ɲ	0.51
ʃ	x	0.502
ôː	ˈa	0.5
ôː	-	0.5
ʃ	s	0.498
nʲ	-	0.49
ûː	-	0.488
ɕ	-	0.484
eː	j	0.481
ʒ	z	0.467
d	d̥	0.465
ɡʲ	ʐ	0.423
ɛ	ˈɛ	0.422
rʲ	r	0.409
kʲ	ʈ͡ʂ	0.4
æ̌ː	ɛ	0.398
ʑ	z	0.389
ǎː	-	0.388
rʲ	ʐ	0.387
ˈɪ	ʨ	0.385
ǎː	ˈɔ	0.354
dʲ	-	0.315
ˈɐ	-	0.31
æ̌ː	ˈu	0.307
æ̌ː	ˈɛ	0.295
ɪ	ˈɛ	0.269
sʲ	x	0.263
ǎː	ˈu	0.258
t	-	0.256
mʲ	m_j	0.255
ˈʊ	ˈu	0.252
lʲ	w	0.239
s	ɔ	0.237
k	ʦ	0.231
k	-	0.225
rʲ	ˈɛ_r	0.204
ɐ	-	0.201
s	s	0.199
ɡ	-	0.196
r	-	0.189
v	-	0.173
vʲ	f	0.152
s	ɨ	0.149
n	-	0.141
s	ʐ̊	0.115
s	ɡ̊	0.115
s	k	0.115
ɐ	ˈɛ	0.105
ɐ	a	0.078
s	-	0.07
ɐ	u	0.056
