East Low German	Alsatian	probability
b	b̥	0.942
b	f	0.061
b_m	n	1.0
d	d̥	0.734
d	t	0.211
d	ʃ	0.043
d	-	0.035
f	f	0.953
f	b̥	0.051
h	h	1.0
j	ɡ̊	0.761
j	j	0.232
k	ʃ	0.527
k	k	0.17
k	-	0.137
k	x	0.077
kʰ	kʰ	0.864
kʰ	ɡ̊	0.134
l	l	1.0
m	m	0.824
m	ə	0.107
m	v	0.055
n	n	0.789
n	ə	0.17
n	-	0.035
p	f	0.549
p	p͡f	0.216
p	p	0.098
r	ʁ	1.0
s	s	0.76
s	ʃ	0.237
t	t	0.543
t	s	0.342
t	ʦ	0.109
tʰ	ʦ	0.899
tʰ	t	0.084
v	ʋ	1.0
w	w	1.0
x	x	0.695
x	-	0.175
x	ʁ	0.109
z	s	1.0
æ	ə_ʁ	0.553
æ	-	0.369
æ	i	0.046
æ	ʁ_ə	0.041
ç	-	0.327
ç	k	0.248
ç	ʃ_t	0.169
ç	ʃ	0.147
ç	j	0.097
ŋ	ŋ	0.737
ŋ	j_ə	0.15
ŋ	v	0.099
ɡ	ɡ̊	0.855
ɡ	v	0.125
ɣ	-	0.501
ɪ	i	1.0
ɾ	t	0.57
ɾ	d̥	0.272
ɾ	s	0.124
ʃ	ʃ	1.0
ˈa	ˈɒ	0.811
ˈa	ˈɒː	0.188
ˈae̯	ˈəi̯	0.435
ˈae̯	ˈei̯	0.157
ˈae̯	ˈiː	0.148
ˈae̯	ˈeː	0.137
ˈae̯	ˈæː	0.065
ˈaʊ̯	ˈʊː	0.504
ˈaʊ̯	ˈoː	0.276
ˈaʊ̯	ˈɒ	0.105
ˈaʊ̯	ˈøː	0.092
ˈaʊ̯	ˈœ	0.036
ˈaː	ˈɒː	0.407
ˈaː	ˈɒː_ʁ	0.354
ˈaː	ˈæ	0.167
ˈeː	ˈeː	1.0
ˈiː	ˈiː	0.435
ˈiː	ˈei̯	0.149
ˈiː	ˈe	0.137
ˈiː	ˈi	0.137
ˈiː	ˈiː_ʁ	0.098
ˈoː	ˈoː	0.45
ˈoː	ˈæː	0.297
ˈoː	ˈu	0.185
ˈuː	ˈyː	0.557
ˈuː	ˈo	0.117
ˈuː	ˈøi̯	0.093
ˈuː	ˈɔi̯	0.091
ˈuː	ˈi	0.089
ˈyː	ˈiː	0.331
ˈyː	ˈi	0.218
ˈyː	ˈeː	0.126
ˈøː	ˈi	0.66
ˈøː	ˈu	0.166
ˈœ	ˈe	0.501
ˈœː	ˈi	0.425
ˈœː	ˈoː	0.245
ˈœː	ˈe	0.141
ˈɒː	ˈoː	0.335
ˈɒː	ˈɒ	0.276
ˈɒː	ˈɒː	0.091
ˈɒː	ˈaː	0.087
ˈɒː	ˈø	0.087
ˈɔ	ˈu	0.38
ˈɔ	ˈɒ	0.266
ˈɔ	ˈo	0.231
ˈɔ	ˈoː	0.083
ˈɔʏ̯	ˈiː	0.67
ˈɔʏ̯	ˈeː	0.151
ˈɔʏ̯	ˈai̯	0.1
ˈɛ	ˈæː	0.224
ˈɛ	ˈi	0.195
ˈɛ	ˈæ	0.112
ˈɛ	ˈɒ	0.112
ˈɛ	ˈaː	0.112
ˈɛɪ̯	ˈæː	0.501
ˈɛː	ˈæ	0.312
ˈɛː	ˈɒː	0.272
ˈɛː	ˈe	0.237
ˈɛː	ˈiː	0.129
ˈɪ	ˈi	0.627
ˈɪ	ˈe	0.12
ˈɪ	ˈəi̯	0.104
ˈɪ	ˈiː	0.091
ˈɪ	ˈɒ	0.053
ˈʊ	ˈu	0.444
ˈʊ	ˈo	0.396
ˈʊ	ˈøː	0.121
ˈʊ	ˈyː	0.043
ˈʏ	ˈu	0.437
ˈʏ	ˈi	0.331
ˈʏ	w	0.219
