Dutch	West Frisian	probability
b	b	0.975
b	v	0.041
d	d	0.664
d	t	0.19
d	-	0.076
d	ʦ_j	0.04
d	ʦ	0.036
f	f	0.569
f	-	0.409
j	j	1.0
k	k	0.884
k	ʦ	0.115
l	l	0.561
l	l_v	0.425
m	m	1.0
n	n	0.645
n	-	0.338
n_t	n	1.0
p	p	1.0
s	s	1.0
t	t	0.947
t	-	0.044
v	f	0.789
v	-	0.145
v	v	0.067
w	j	0.66
w	-	0.165
z	s	0.857
z	z	0.077
z	ɕ	0.059
ŋ	ŋ	0.86
ŋ	χ	0.077
ŋ	n	0.062
ə	ə	0.768
ə	-	0.21
ɦ	h	1.0
ɪ	ɪ	0.644
ɪ	ə	0.244
ɫ	l	0.981
ɫ	n	0.032
ɾ	r	0.939
ɾ	-	0.051
ɾ_s	s	1.0
ɾ_t	t	1.0
ʋ	ʋ	0.48
ʋ	v	0.416
ʋ	-	0.069
ʋ	ˈɔ	0.04
ˈaː	ˈiə̯	0.351
ˈaː	ˈaː	0.233
ˈaː	ˈø	0.09
ˈaː	ˈɛi̯	0.06
ˈaː	ˈiː	0.06
ˈeː	ˈiə̯	0.244
ˈeː	ˈɪə̯	0.136
ˈeː	ˈaː	0.136
ˈeː	ˈeː	0.093
ˈeː	ˈi	0.081
ˈi	ˈiə̯	0.406
ˈi	ˈɪə̯	0.165
ˈi	ˈɛ	0.144
ˈi	j_ˈɪ	0.109
ˈi	ˈøə̯	0.066
ˈoː	ˈɪə̯	0.381
ˈoː	ˈuː	0.143
ˈoː	ˈeː	0.103
ˈoː	ˈuə̯	0.078
ˈoː	ˈy	0.061
ˈoː_t	ˈɪə̯	1.0
ˈoː_ɾ	ˈoə̯	1.0
ˈu	ˈuə̯	0.484
ˈu	ˈiə̯	0.272
ˈu	ˈoː	0.149
ˈu	ˈɵ	0.078
ˈu_d	ˈuə̯	1.0
ˈyː	j_ˈuə̯	1.0
ˈøː	ˈoə̯	1.0
ˈœy̯	ˈuː	0.774
ˈœy̯	ˈyː	0.213
ˈɑ	ˈa	0.448
ˈɑ	ˈɛː	0.174
ˈɑ	ˈaː	0.102
ˈɑ	ˈɔː	0.087
ˈɑ	ˈɪə̯	0.07
ˈɑu̯	ˈɔː	0.715
ˈɑu̯	ˈɔu̯	0.28
ˈɔ	ˈɔ	0.572
ˈɔ	ˈoə̯	0.128
ˈɔ	ˈuː	0.102
ˈɔ	ˈu	0.072
ˈɔ	ˈyː	0.063
ˈɛ	ˈɪ	0.351
ˈɛ	ˈa	0.149
ˈɛ	ˈɛ	0.141
ˈɛ	j_ˈɛ	0.12
ˈɛ	ˈɛi̯	0.104
ˈɛi̯	ˈiː	0.438
ˈɛi̯	ˈi	0.288
ˈɛi̯	ˈɛ_j	0.101
ˈɛi̯	ˈɛi̯	0.063
ˈɛi̯	j	0.063
ˈɪ	ˈɪ	0.582
ˈɪ	ˈi	0.185
ˈɪ	j_ˈɔ	0.088
ˈɪ	ˈɛi̯	0.057
ˈɪ	ˈiː	0.057
ˈʏ	ˈɪ	0.656
ˈʏ	ˈɛː	0.144
ˈʏ	ˈø	0.144
χ	χ	0.349
χ	ɡ	0.267
χ	-	0.136
χ	k	0.113
χ	ɣ	0.103
