Corsican	Ligurian	probability
a	a	0.839
a	-	0.129
b	b	0.742
b	ʤ	0.137
b	-	0.065
b	v	0.056
c	ʤ	0.691
c	ʧ	0.262
d	d	0.722
d	-	0.254
e	e	0.707
e	-	0.243
f	f	1.0
i	i	0.558
i	e	0.315
j	-	0.405
j	j	0.375
j	ʧ	0.168
k	k	0.604
k	ɡ	0.24
k	-	0.156
l	l	0.574
l	-	0.252
l	r	0.092
l	j	0.062
m	m	0.892
m	ŋ	0.069
n	ŋ	0.574
n	n	0.358
n	-	0.068
o	w	0.379
o	u	0.337
o	ɔː	0.284
p	p	0.72
p	v	0.177
p	-	0.103
r	r	0.588
r	-	0.279
r	j	0.122
s	s	0.846
s	-	0.096
t	t	0.665
t	-	0.264
u	u	0.751
u	-	0.17
v	v	0.896
v	-	0.08
w	w	0.936
w	ɔː	0.064
z	z	0.686
z	s	0.194
z	ʃ	0.119
ŋ	ŋ	0.819
ŋ	n	0.181
ɟ	z	0.719
ɟ	ʤ	0.225
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʃ	ʃ	0.502
ʃ	s	0.32
ʃ	-	0.178
ʎ	ʤ	1.0
ʒ	ʒ	1.0
ʣ	z	1.0
ʤ	-	0.585
ʤ	z	0.415
ʦ	s	0.65
ʦ	j	0.2
ʦ	-	0.083
ʦ	ʒ	0.066
ʧ	s	0.405
ʧ	ʒ	0.339
ʧ	-	0.183
ʧ	ʧ	0.072
ˈa	ˈa	0.618
ˈa	ˈaː	0.296
ˈa	ˈɛː	0.073
ˈe	ˈeː	0.452
ˈe	ˈe	0.34
ˈe	ˈɛ	0.087
ˈe	ˈɛː	0.082
ˈi	ˈi	0.532
ˈi	ˈiː	0.255
ˈi	-	0.096
ˈi	ˈe	0.085
ˈo	ˈu	0.444
ˈo	ˈɔː	0.096
ˈo	ˈɔ	0.095
ˈo	ˈuː	0.093
ˈo	ˈyː	0.091
ˈo	ˈø	0.085
ˈo	ˈøː	0.058
ˈu	ˈy	0.524
ˈu	ˈyː	0.213
ˈu	ˈu	0.074
ˈu	ˈeː	0.056
ˈu	ˈuː	0.054
ˈɔ	ˈu	0.311
ˈɔ	ˈɔː	0.214
ˈɔ	ˈøː	0.121
ˈɔ	w	0.09
ˈɔ	ˈuː	0.082
ˈɔ	ˈɔ	0.071
ˈɔ	ˈø	0.059
ˈɔ	-	0.051
ˈɛ	ˈe	0.599
ˈɛ	ˈɛː	0.124
ˈɛ	-	0.095
ˈɛ	ˈa	0.056
ˈɛ	ˈi	0.055
