Aromanian	Aromanian	probability
ˈə	ˈi	1.0
ˈo	ˈo	1.0
ˈi_ʎ	ˈi	1.0
ˈa_w	ˈo_w	1.0
ˈa_v	ˈau̯	1.0
ʧ	ʧ	1.0
ʃ	ʃ	1.0
ɨ	ɨ	1.0
ɡ_ˈi	b_ˈi	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ç	f	1.0
z	z	1.0
w	w	1.0
v	v	1.0
u_r	o_r	1.0
u_#>	#>	1.0
u	u	1.0
t_u_#>	t_#>	1.0
t_r	t_r	1.0
t	t	1.0
s_i	s_ə	1.0
s_#>	s_#>	1.0
s	s	1.0
r_ˈa	r_ˈa	1.0
r_#>	r_#>	1.0
r	r	1.0
p	p	1.0
o̯ˈa	o̯ˈa	1.0
n_i	nʲ	1.0
n_#>	n_#>	1.0
n	n	1.0
m_#>	m_#>	1.0
l_#>	l_#>	1.0
l	l	1.0
k_ˈo	k_ˈo	1.0
k_u	k_u	1.0
i_r	e_r	1.0
i_n	e_n	1.0
i_#>	#>	1.0
e̯ˈa_w	e̯ˈa	1.0
e	e	1.0
d	d	1.0
b	b	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_a_r	<#_r	1.0
<#_a	<#	1.0
ˈu	ˈu	0.941
k	k	0.917
ə	ə	0.909
ˈa	ˈa	0.905
ˈe	ˈe	0.889
m	m	0.875
ˈɨ	ˈɨ	0.857
i	e	0.856
f	f	0.846
r_ə	r_ə	0.778
ˈi	ˈi	0.763
ʦ	ʧ	0.72
a	a	0.7
ʤ	ʒ	0.571
ʎ	j	0.571
k_ʎ	kʲ	0.571
ʣ	ʤ	0.5
ʣ	z	0.5
ɲ	m_j	0.5
ɲ	m	0.5
e̯ˈa	ˈe	0.5
j	j	0.474
ʤ	ʤ	0.429
ʎ	-	0.429
k_ʎ	k	0.429
a	ˈa	0.3
j	v	0.263
e̯ˈa	ˈa	0.25
e̯ˈa	e̯ˈa	0.25
ʦ	ʦ	0.24
r_ə	r	0.222
j	j_e	0.158
f	-	0.154
ˈɨ	-	0.143
ˈe	-	0.111
j	-	0.105
ˈa	ˈe	0.095
ə	-	0.091
i	i	0.089
k	p_j	0.083
ˈi	ˈe	0.079
m	n	0.062
m	m_e	0.062
ˈu	-	0.059
ˈi	ˈɨ	0.053
ˈi	e	0.053
ˈi	-	0.053
